"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745146364668857E9,"2025-04-20 18:52:44.669 UTC+08:00"
"PAUSE",2.877835407916573E2,1.745146652448176E9,"2025-04-20 18:57:32.448 UTC+08:00"
