"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745145015319023E9,"2025-04-20 18:30:15.319 UTC+08:00"
"PAUSE",2.125408630833263E2,1.745145227860011E9,"2025-04-20 18:33:47.860 UTC+08:00"
