"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.103083338E-3,-2.102371901E-1,-4.144400358E-2,-2.446084656E-2
1.411108334E-2,-2.555809915E-1,-1.886066608E-2,-1.341698319E-2
2.411908335E-2,-2.684465051E-1,-8.168159984E-4,-2.482672036E-2
3.412708335E-2,-2.259072810E-1,4.960379563E-3,-5.994262919E-2
4.413508334E-2,-1.672109663E-1,-1.037202124E-2,-7.284139097E-2
5.414308334E-2,-1.200067103E-1,-1.669516414E-2,-6.569985300E-2
6.415108334E-2,-7.532531768E-2,9.254308417E-3,-5.092624575E-2
7.415908333E-2,-2.219871432E-2,1.764433086E-2,-2.782119438E-2
8.416708335E-2,7.210907340E-2,7.239102386E-3,5.163683090E-4
9.417508334E-2,1.982912421E-1,-8.839200251E-3,4.234078154E-2
1.041830833E-1,3.235717714E-1,-3.706176579E-2,1.043981537E-1
1.141910833E-1,4.175629914E-1,-8.118874580E-2,1.569987833E-1
1.241990833E-1,4.654862881E-1,-1.343488544E-1,1.877559423E-1
1.342070833E-1,4.665555358E-1,-1.956508160E-1,2.017385960E-1
1.442150833E-1,4.182740152E-1,-2.326477170E-1,1.888126880E-1
1.542230833E-1,3.337250650E-1,-2.241583914E-1,1.510225981E-1
1.642310833E-1,2.482024729E-1,-1.753297001E-1,1.222897992E-1
1.742390833E-1,1.869588196E-1,-8.591300994E-2,1.243409663E-1
1.842470833E-1,1.471038163E-1,1.819772646E-3,1.460281610E-1
1.942550833E-1,1.198285744E-1,6.949254870E-2,1.646489501E-1
2.042624583E-1,8.613079786E-2,1.079475284E-1,1.714048535E-1
2.142704583E-1,4.077370092E-2,1.137431040E-1,1.572818458E-1
2.242784583E-1,-1.090467162E-2,9.618727863E-2,1.374961585E-1
2.342864583E-1,-4.415117577E-2,7.853761315E-2,1.247427240E-1
2.442944583E-1,-7.087372988E-2,4.984055459E-2,1.188462973E-1
2.543024583E-1,-8.530727029E-2,1.749113575E-2,1.174337566E-1
2.643104583E-1,-8.059690893E-2,5.486882292E-4,1.300638020E-1
2.743184583E-1,-6.106102094E-2,1.773300208E-2,1.496998221E-1
2.843264583E-1,-4.056607932E-2,4.742726684E-2,1.674038768E-1
2.943344583E-1,-1.098848134E-2,6.374472380E-2,1.839916408E-1
3.043424583E-1,3.922302648E-2,1.025280729E-1,1.894007921E-1
3.143504583E-1,7.654921710E-2,1.104659885E-1,1.931788325E-1
3.243584583E-1,9.523657709E-2,7.589927316E-2,1.788440347E-1
3.343664583E-1,8.275407553E-2,8.033143356E-3,1.637303382E-1
3.443744583E-1,4.381056130E-2,-6.407179683E-2,1.426826715E-1
3.543824583E-1,-1.102499198E-2,-1.353830099E-1,1.224002987E-1
3.643904583E-1,-6.905863434E-2,-2.243413180E-1,1.014128029E-1
3.743984583E-1,-1.196195409E-1,-3.230452538E-1,6.670355797E-2
3.844064583E-1,-1.568866223E-1,-3.900251091E-1,2.676228806E-2
3.944144583E-1,-1.609388888E-1,-4.268965721E-1,6.601360627E-3
4.044224583E-1,-1.454378217E-1,-3.973584473E-1,-1.644717762E-3
