"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767961125255087E9,"2026-01-09 20:18:45.255 UTC+08:00"
"PAUSE",2.380559644583409E2,1.767961363306646E9,"2026-01-09 20:22:43.307 UTC+08:00"
