"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767964341733200E9,"2026-01-09 21:12:21.733 UTC+08:00"
"PAUSE",2.376276104999997E2,1.767964579357876E9,"2026-01-09 21:16:19.358 UTC+08:00"
