"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767875145447793E9,"2026-01-08 20:25:45.448 UTC+08:00"
"PAUSE",1.591889868333310E2,1.767875304635076E9,"2026-01-08 20:28:24.635 UTC+08:00"
