"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.035620832E-2,2.833475190E-1,1.729089642E-1,-6.096657872E-2
2.036420834E-2,3.641359760E-1,2.341941431E-1,-9.238717675E-2
3.037220833E-2,3.265240902E-1,2.648598656E-1,-8.130202532E-2
4.037920832E-2,3.623937616E-1,3.777606098E-1,-1.216524911E-1
5.038720834E-2,5.251497667E-1,6.074321508E-1,-1.723887813E-1
6.039520833E-2,7.370463569E-1,8.706459522E-1,-6.162848353E-2
7.040320833E-2,8.028864437E-1,1.074915142E0,1.012439543E-1
8.041120833E-2,7.513501813E-1,1.154927198E0,3.018245012E-1
9.041820833E-2,6.843614821E-1,1.030460515E0,7.653338706E-1
1.004256667E-1,5.350444616E-1,9.152803805E-1,6.553056443E-1
1.104336667E-1,3.045141107E-1,7.816087183E-1,3.665982020E-1
1.204416667E-1,4.572149149E-1,7.766855089E-1,1.654136378E-1
1.304486667E-1,5.889214010E-1,7.912050225E-1,2.936904395E-1
1.404566667E-1,6.059916527E-1,7.231809276E-1,3.999939895E-1
1.504646667E-1,5.839242608E-1,6.233918336E-1,3.982135123E-1
1.604726667E-1,4.832027187E-1,5.084448198E-1,2.385096806E-1
1.704806667E-1,3.530882833E-1,3.934955036E-1,-2.301873386E-2
1.804876667E-1,2.278260867E-1,3.282197097E-1,-2.804008877E-1
1.904956667E-1,1.093285613E-1,2.765040474E-1,-5.354184276E-1
2.005036667E-1,3.519141259E-2,2.690970870E-1,-7.713845694E-1
2.105116667E-1,6.861119192E-2,3.166140464E-1,-8.023309582E-1
2.205186667E-1,1.828948026E-1,4.478026519E-1,-7.620079744E-1
2.305266667E-1,4.001842067E-1,5.974794954E-1,-7.892203313E-1
2.405346667E-1,7.093191527E-1,7.711066074E-1,-7.495417106E-1
2.505426667E-1,9.586799499E-1,9.911138704E-1,-4.623574680E-1
2.605506667E-1,1.003788003E0,1.095035338E0,-2.993715942E-1
2.705576667E-1,8.515376899E-1,9.975593293E-1,-2.202874178E-1
2.805656667E-1,6.567716143E-1,8.240653512E-1,-1.421873277E-1
2.905736667E-1,4.480256866E-1,6.889962045E-1,-1.089687109E-2
3.005816667E-1,3.245185318E-1,6.308313192E-1,2.616821963E-1
3.105886667E-1,2.009847356E-1,6.131673192E-1,3.101825112E-1
3.205966667E-1,1.655334509E-1,6.814752234E-1,2.016435707E-1
3.306046667E-1,1.772693974E-1,7.706459199E-1,7.511976421E-2
3.406126667E-1,2.504697765E-1,8.354000326E-1,-2.745852470E-3
3.506196667E-1,3.474829962E-1,8.682744677E-1,-5.766933382E-2
3.606276667E-1,3.530266317E-1,8.165594997E-1,4.149008811E-2
3.706356667E-1,2.745759280E-1,7.057057196E-1,2.623458552E-1
3.806436667E-1,1.470802687E-1,5.924895912E-1,3.218471217E-1
3.906516667E-1,-5.407367991E-2,5.631347049E-1,1.002265388E-1
4.006586667E-1,-2.690702263E-1,6.422724929E-1,-2.559449083E-1
4.106666667E-1,-4.206930598E-1,7.968996258E-1,-6.953017688E-1
4.206746667E-1,-4.560254816E-1,9.564856361E-1,-1.036853423E0
4.306826667E-1,-4.703878513E-1,1.060307920E0,-1.078732935E0
4.406896667E-1,-4.814185140E-1,1.034361339E0,-8.206362516E-1
4.506976667E-1,-4.936435801E-1,8.438956714E-1,-3.823073316E-1
4.607056667E-1,-4.871533169E-1,6.159318097E-1,7.584715784E-2
4.707136667E-1,-4.672978536E-1,5.548292832E-1,3.314967817E-1
4.807216667E-1,-4.539305339E-1,6.362138274E-1,3.303934121E-1
4.907286667E-1,-4.499939691E-1,8.489325361E-1,-5.135024786E-3
5.007366667E-1,-4.105472635E-1,1.117898901E0,-4.599659568E-1
5.107446667E-1,-3.735702027E-1,1.326423914E0,-8.462341923E-1
5.207526667E-1,-3.449470222E-1,1.514941947E0,-1.122933792E0
5.307596667E-1,-3.395111217E-1,1.597477443E0,-1.228339795E0
5.407676667E-1,-3.249169830E-1,1.521138826E0,-1.040865782E0
5.507756667E-1,-2.831240822E-1,1.355327724E0,-7.381004637E-1
5.607836667E-1,-3.557627267E-1,1.186402249E0,-3.183259284E-1
5.707906667E-1,-3.708834802E-1,1.025023482E0,1.185628223E-1
5.807986667E-1,-2.891035363E-1,9.477648794E-1,4.054184514E-1
5.908066667E-1,-2.143792083E-1,9.853816257E-1,5.521075505E-1
6.008146667E-1,-2.180772799E-1,1.063034550E0,5.126604795E-1
6.108226667E-1,-2.000631414E-1,1.125968132E0,2.980787748E-1
6.208296667E-1,-2.111875788E-1,1.195353093E0,3.362149000E-2
6.308376667E-1,-4.271587281E-1,1.233735021E0,-2.715008408E-1
6.408456667E-1,-6.753153279E-1,1.225230173E0,-5.156080610E-1
6.508536667E-1,-8.637900187E-1,1.242488595E0,-7.216347045E-1
6.608606667E-1,-9.816426967E-1,1.252425207E0,-9.421413928E-1
6.708686667E-1,-9.700292493E-1,1.316372842E0,-1.099965345E0
6.808766667E-1,-9.698549292E-1,1.349273371E0,-1.109461808E0
6.908846667E-1,-9.740483330E-1,1.291128658E0,-1.036352901E0
7.008916667E-1,-9.695046810E-1,1.239487804E0,-8.585905284E-1
7.108996667E-1,-1.007508659E0,1.242006492E0,-6.467880052E-1
7.209076667E-1,-1.009955061E0,1.311192794E0,-6.079391044E-1
7.309156667E-1,-1.005664740E0,1.394009248E0,-5.316159832E-1
7.409226667E-1,-9.622346185E-1,1.468340369E0,-4.985716134E-1
7.509306667E-1,-8.347282606E-1,1.547636361E0,-5.192923915E-1
7.609386667E-1,-7.625523502E-1,1.614484362E0,-5.311657476E-1
7.709466667E-1,-6.877440964E-1,1.716145369E0,-4.491883689E-1
7.809546667E-1,-5.944232655E-1,1.755726779E0,-3.358155352E-1
7.909616667E-1,-4.713033425E-1,1.709757139E0,-9.108851016E-2
8.009696667E-1,-4.123532126E-1,1.581555474E0,2.640047103E-1
8.109776667E-1,-4.214078454E-1,1.414035085E0,6.428639388E-1
8.209856667E-1,-4.793018950E-1,1.193100015E0,9.210820609E-1
8.309926667E-1,-5.557657879E-1,1.000524964E0,1.194407818E0
8.410006667E-1,-6.649772313E-1,8.127484307E-1,1.521198760E0
8.510086667E-1,-7.789276238E-1,7.844800667E-1,1.699379209E0
8.610166667E-1,-7.577063971E-1,7.757816756E-1,1.711870615E0
8.710236667E-1,-6.621670595E-1,7.866770849E-1,1.682808784E0
8.810316667E-1,-5.957136729E-1,7.239504211E-1,1.739177697E0
8.910396667E-1,-5.769555858E-1,5.948817603E-1,1.830978983E0
9.010476667E-1,-5.813184126E-1,4.207363292E-1,1.794007623E0
9.110546667E-1,-5.948034076E-1,2.471049780E-1,1.562247968E0
9.210626667E-1,-5.953007133E-1,1.182781360E-1,1.232466175E0
9.310706667E-1,-5.408386138E-1,1.171708927E-3,9.100214678E-1
9.410786667E-1,-3.942591500E-1,-1.099106243E-1,7.916036564E-1
9.510866667E-1,-1.957206153E-1,-1.827662369E-1,8.456202346E-1
9.610936667E-1,-1.156180823E-1,-2.543633826E-1,1.160633715E0
9.711016667E-1,-2.921185800E-2,-4.594680298E-1,1.539053233E0
9.811096667E-1,9.914903398E-2,-7.049494553E-1,1.736738239E0
9.911176667E-1,2.041242884E-1,-8.325068302E-1,1.730166553E0
1.001124667E0,2.775612423E-1,-7.884452098E-1,1.408218859E0
1.011132667E0,3.626880958E-1,-6.335110250E-1,8.397028524E-1
1.021140667E0,4.314238700E-1,-4.451719530E-1,2.378688258E-1
1.031148667E0,4.887343309E-1,-2.994284949E-1,-3.159303242E-1
1.041155667E0,4.179296657E-1,-2.666083293E-1,-6.991650242E-1
1.051163667E0,2.575310386E-1,-3.232402574E-1,-8.801211458E-1
1.061171667E0,1.767569620E-1,-4.065913298E-1,-9.893231606E-1
1.071179667E0,1.845765349E-1,-4.613426837E-1,-9.818410635E-1
1.081186667E0,2.787421057E-1,-4.391254570E-1,-8.728676748E-1
1.091194667E0,4.277815297E-1,-4.284067067E-1,-9.059190613E-1
1.101203083E0,5.423265474E-1,-3.335376792E-1,-1.062612746E0
1.111211083E0,6.196838218E-1,-2.073674101E-1,-1.220989260E0
1.121218083E0,7.146970562E-1,-9.736754268E-2,-1.386508732E0
1.131226083E0,8.251114181E-1,-3.183684669E-2,-1.573339552E0
1.141234083E0,8.372884639E-1,4.464422241E-3,-1.738024042E0
1.151242083E0,8.227935818E-1,2.079664573E-2,-1.902538962E0
1.161250083E0,8.380605157E-1,5.330950364E-2,-1.954273957E0
1.171257083E0,7.736416677E-1,3.724676371E-2,-1.807752673E0
1.181265083E0,6.262068294E-1,-3.759628102E-2,-1.602445822E0
1.191273083E0,5.422581716E-1,-1.742809403E-1,-1.149017637E0
1.201281083E0,4.833229521E-1,-3.147126415E-1,-5.332801008E-1
1.211288083E0,3.888585885E-1,-4.716711324E-1,-1.337842941E-1
1.221296083E0,2.995174457E-1,-5.104413881E-1,6.531339884E-4
1.231304083E0,2.762901855E-1,-4.091179117E-1,-8.863034070E-2
1.241312083E0,2.498404517E-1,-1.928307203E-1,-4.190664375E-1
1.251319083E0,2.452661749E-1,2.540220514E-2,-8.201029855E-1
1.261327083E0,2.828225669E-1,2.199654555E-1,-1.168771285E0
1.271335083E0,3.370317560E-1,3.886193278E-1,-1.372798181E0
1.281343083E0,3.112114019E-1,5.261369960E-1,-1.539199998E0
1.291350083E0,2.502347185E-1,6.215763462E-1,-1.648565735E0
1.301358083E0,1.372057193E-1,6.588538809E-1,-1.718116027E0
1.311366083E0,4.843935773E-2,6.865596697E-1,-1.807912302E0
1.321374083E0,7.248307195E-2,7.254964250E-1,-1.756682507E0
1.331381083E0,9.506443407E-2,7.715303843E-1,-1.639601954E0
1.341389083E0,1.176239057E-1,8.148606643E-1,-1.482826992E0
1.351397083E0,7.876806132E-2,8.385677616E-1,-1.294992206E0
1.361405083E0,4.407024510E-2,8.333119188E-1,-1.162356890E0
1.371412083E0,2.791581351E-2,8.221977505E-1,-1.085875894E0
1.381420083E0,7.823903449E-3,8.844979329E-1,-1.047808181E0
1.391428083E0,2.646347478E-2,9.479264818E-1,-1.023627605E0
1.401436083E0,2.936179340E-2,1.002219122E0,-8.800843084E-1
1.411443083E0,4.849209230E-2,1.100043113E0,-6.455413789E-1
1.421451083E0,1.162742587E-1,1.227732854E0,-5.438881195E-1
1.431459083E0,2.095628751E-1,1.393981328E0,-4.064551628E-1
1.441467083E0,2.576293449E-1,1.502886304E0,-2.011541587E-1
1.451475083E0,2.705664740E-1,1.533403361E0,7.506070733E-3
1.461482083E0,3.502977727E-1,1.530565707E0,2.462888163E-1
1.471490083E0,3.227441577E-1,1.468863110E0,3.808227235E-1
1.481498083E0,2.776424455E-1,1.368774274E0,4.417811161E-1
1.491506083E0,2.310189771E-1,1.176011162E0,6.742155397E-1
1.501513083E0,1.300695032E-1,9.633205926E-1,1.223797678E0
1.511521083E0,2.452980056E-3,7.441764517E-1,1.830905308E0
1.521529083E0,2.243289767E-2,5.775733441E-1,2.373085456E0
1.531537083E0,6.388746394E-2,5.077648252E-1,2.653181119E0
1.541544083E0,1.339712132E-1,5.177257763E-1,2.450007917E0
1.551552083E0,1.739724631E-1,6.149339823E-1,2.029650999E0
1.561560083E0,1.621652171E-1,7.282973143E-1,1.483231620E0
1.571568083E0,1.575310063E-1,7.892136070E-1,8.886721140E-1
1.581575083E0,7.209406765E-2,7.730192316E-1,4.539865941E-1
1.591583083E0,-5.439150349E-2,6.490269041E-1,2.409082085E-1
1.601591083E0,-1.083803622E-1,4.671463376E-1,3.018806344E-1
1.611599083E0,-4.871383882E-2,2.939690958E-1,5.098403674E-1
1.621606083E0,2.243570250E-1,1.974211501E-1,8.479222834E-1
1.631614083E0,4.538619753E-1,1.455044897E-1,1.318136070E0
1.641622083E0,4.005579169E-1,-3.897512756E-2,1.797712419E0
1.651630083E0,2.065736871E-1,-3.389408720E-1,2.054794611E0
1.661637083E0,-3.123096552E-2,-6.422398947E-1,1.949029589E0
1.671645083E0,-2.587426913E-1,-8.291758177E-1,1.452039063E0
1.681653083E0,-4.988524625E-1,-8.615618641E-1,7.695426965E-1
1.691661083E0,-7.132326941E-1,-7.988096919E-1,1.678466642E-1
1.701668083E0,-7.865830909E-1,-7.464446598E-1,-2.157552409E-1
1.711676083E0,-6.865739223E-1,-6.851068559E-1,-4.505250424E-1
1.721684083E0,-6.297124545E-1,-5.452507400E-1,-5.362013698E-1
