"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767947856959223E9,"2026-01-09 16:37:36.959 UTC+08:00"
"PAUSE",1.947278817083279E2,1.767948051684082E9,"2026-01-09 16:40:51.684 UTC+08:00"
