"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.258666039E-1,4.289999837E1,1.304213061E2,5.089047840E1,7.045644915E-1,1.218211672E2,3.811437798E0,3.000000000E0
1.425849557E0,4.289999193E1,1.304213050E2,5.067451274E1,6.472804246E-1,1.330253654E2,3.624207121E0,3.000000000E0
2.425834417E0,4.289998837E1,1.304213091E2,5.066881959E1,4.800153722E-1,1.360997338E2,3.762889221E0,3.000000000E0
3.425818443E0,4.289998324E1,1.304213069E2,5.066633591E1,1.404397616E-1,1.360997364E2,3.765913816E0,3.000000000E0
4.425801396E0,4.289998367E1,1.304213064E2,5.057798117E1,1.310575923E-1,1.360997325E2,4.104972362E0,3.000000000E0
5.425786018E0,4.289998141E1,1.304213023E2,5.058798698E1,1.673647450E-1,1.360997346E2,4.124996131E0,3.000000000E0
6.425769329E0,4.289997968E1,1.304212995E2,5.062111381E1,1.168708564E-1,1.360997318E2,4.251182971E0,3.000000000E0
7.425753236E0,4.289999232E1,1.304212992E2,5.055499533E1,2.783673691E-1,1.360997322E2,4.600045833E0,3.000000000E0
8.425737858E0,4.289998751E1,1.304213041E2,5.063045055E1,4.038001320E-1,1.360997389E2,4.490535887E0,3.000000000E0
9.425721288E0,4.289998496E1,1.304213111E2,5.056648412E1,6.148341959E-1,1.360997528E2,5.019727596E0,3.000000000E0
1.042570519E1,4.289997766E1,1.304213235E2,5.062908765E1,1.113426160E0,1.277685879E2,5.540711897E0,3.000000000E0
1.142568946E1,4.289997324E1,1.304213334E2,5.083413742E1,9.295713102E-1,1.179649463E2,5.940536317E0,3.000000000E0
1.242567348E1,4.289997103E1,1.304213489E2,5.094415367E1,1.179873100E0,1.083427563E2,6.191257542E0,3.000000000E0
1.342565691E1,4.289997129E1,1.304213521E2,5.091211520E1,6.935596914E-1,1.094812282E2,6.447561956E0,3.000000000E0
1.442564118E1,4.289997152E1,1.304213688E2,5.086887513E1,0.000000000E0,1.094812283E2,6.395326088E0,3.000000000E0
1.542562425E1,4.289996999E1,1.304213660E2,5.086887513E1,0.000000000E0,1.094812283E2,5.713136427E0,3.000000000E0
1.642560887E1,4.289996990E1,1.304213658E2,5.086887513E1,0.000000000E0,1.094812283E2,5.811464201E0,3.000000000E0
1.742559242E1,4.289996905E1,1.304213643E2,5.086887513E1,0.000000000E0,1.094812283E2,5.387333595E0,3.000000000E0
1.842557669E1,4.289996852E1,1.304213633E2,5.086887513E1,0.000000000E0,1.094812283E2,5.145206875E0,3.000000000E0
1.942555988E1,4.289996848E1,1.304213632E2,5.086887513E1,0.000000000E0,1.094812283E2,5.428787693E0,3.000000000E0
2.042554426E1,4.289996921E1,1.304213662E2,5.086887513E1,0.000000000E0,1.094812283E2,5.708099518E0,3.000000000E0
2.142552829E1,4.289997471E1,1.304213621E2,5.096648449E1,1.803179699E-1,1.094812071E2,5.669250552E0,3.000000000E0
2.242551231E1,4.290000628E1,1.304213392E2,5.097884158E1,2.548373577E-1,1.094812088E2,1.993067050E1,3.000000000E0
2.342549598E1,4.290000915E1,1.304213781E2,5.093272848E1,6.588870071E-1,1.094812368E2,1.674842325E1,3.000000000E0
2.442548001E1,4.290000975E1,1.304213762E2,5.101795026E1,7.180751539E-1,1.094812400E2,2.327463411E1,3.000000000E0
2.542546344E1,4.290000834E1,1.304213792E2,5.104153467E1,7.574558035E-1,1.094812440E2,2.500803444E1,3.000000000E0
2.650171125E1,4.290001726E1,1.304214334E2,5.105114812E1,7.518915332E-1,1.094812473E2,1.982358001E1,3.000000000E0
2.842541492E1,4.289998735E1,1.304214137E2,5.107693989E1,1.064479727E0,1.094812606E2,2.811873911E1,3.000000000E0
2.942539883E1,4.289997453E1,1.304213924E2,5.110803929E1,8.336171858E-1,1.094812492E2,2.985939976E1,3.000000000E0
3.042538249E1,4.289997760E1,1.304213995E2,5.117741199E1,7.559824493E-1,1.094812562E2,3.106849491E1,3.000000000E0
3.150009191E1,4.289997778E1,1.304214052E2,5.127058589E1,6.343651503E-1,1.094812600E2,2.653929227E1,3.000000000E0
3.250080407E1,4.289994528E1,1.304214817E2,5.125388077E1,6.649184924E-1,1.094812718E2,2.359064888E1,3.000000000E0
3.350043607E1,4.289994387E1,1.304213831E2,5.132161325E1,5.528221774E-1,1.094811705E2,3.458198052E1,3.000000000E0
3.450085676E1,4.289995135E1,1.304213599E2,5.131256613E1,0.000000000E0,1.094811652E2,3.930827910E1,3.000000000E0
3.550220478E1,4.289995811E1,1.304213381E2,5.131256613E1,0.000000000E0,1.094811652E2,4.524024384E1,3.162144435E0
3.650416338E1,4.289996222E1,1.304213249E2,5.131256613E1,0.000000000E0,1.094811652E2,4.111654944E1,3.312748180E0
3.749951708E1,4.289996633E1,1.304213116E2,5.131256613E1,0.000000000E0,1.094811652E2,4.661069428E1,3.399609111E0
3.849994540E1,4.289995774E1,1.304215410E2,5.131256613E1,0.000000000E0,1.094811652E2,2.986004361E1,3.433259245E0
3.949934280E1,4.289996140E1,1.304214974E2,5.131256613E1,0.000000000E0,1.094811652E2,4.100148279E1,3.438859150E0
4.050106859E1,4.289996537E1,1.304214500E2,5.131256613E1,0.000000000E0,1.094811652E2,4.713812561E1,3.451141409E0
4.149977732E1,4.289996823E1,1.304214158E2,5.131256613E1,0.000000000E0,1.094811652E2,4.542059750E1,3.458818332E0
4.249855208E1,4.289996304E1,1.304214104E2,5.076805787E1,4.629965174E-2,1.094811858E2,4.224626450E1,3.693643992E0
4.350137711E1,4.289996291E1,1.304213876E2,5.078571615E1,1.468203256E-1,1.094811862E2,4.803695917E1,3.626127645E0
4.449946582E1,4.289992991E1,1.304215619E2,5.080350245E1,1.538605859E-1,1.094811882E2,2.965955881E1,3.423638020E0
4.550076461E1,4.289992755E1,1.304215762E2,5.076561238E1,7.064072872E-1,1.094812561E2,4.081080357E1,3.433726777E0
4.650027871E1,4.289992696E1,1.304215496E2,5.090734758E1,7.174804470E-1,1.094812571E2,4.207784140E1,3.030115821E0
4.750055444E1,4.289992666E1,1.304215208E2,5.100717244E1,7.164626690E-1,1.094812588E2,4.742130980E1,3.000000000E0
4.850233328E1,4.289992778E1,1.304214959E2,5.101837867E1,7.083292643E-1,1.094812610E2,5.042331191E1,3.000000000E0
4.949897861E1,4.289992628E1,1.304214836E2,5.107423112E1,6.996582477E-1,1.094812636E2,4.589528891E1,3.000000000E0
5.050344396E1,4.289990904E1,1.304216240E2,5.115394137E1,6.862954107E-1,1.094812662E2,3.047835709E1,3.000000000E0
5.149872804E1,4.289990969E1,1.304216066E2,5.112433606E1,6.816206183E-1,1.094812697E2,3.743998496E1,3.000000000E0
5.250168037E1,4.289991694E1,1.304215774E2,5.115243160E1,7.038864493E-1,1.094812741E2,3.516459195E1,3.000000000E0
5.350041318E1,4.289991966E1,1.304215693E2,5.128865325E1,0.000000000E0,1.094812866E2,4.467544883E1,3.000000000E0
5.450073564E1,4.289992957E1,1.304215244E2,5.127658423E1,0.000000000E0,1.094812548E2,4.270051934E1,3.000000000E0
5.550018954E1,4.289993170E1,1.304215047E2,5.127658423E1,0.000000000E0,1.094812548E2,4.344324577E1,3.000000000E0
5.649717069E1,4.289999374E1,1.304215658E2,5.126134448E1,9.529034252E-2,1.094813365E2,4.754160931E1,3.000000000E0
5.749471855E1,4.290000654E1,1.304215570E2,5.129504947E1,0.000000000E0,1.094813423E2,4.887056569E1,3.000000000E0
5.849535286E1,4.290001402E1,1.304216700E2,5.129504947E1,0.000000000E0,1.094813423E2,2.752129825E1,3.000000000E0
5.948945808E1,4.290001605E1,1.304216520E2,5.129504947E1,0.000000000E0,1.094813423E2,2.965195661E1,3.000000000E0
6.049104619E1,4.290001777E1,1.304216368E2,5.129504947E1,0.000000000E0,1.094813423E2,2.854231917E1,3.000000000E0
6.149126720E1,4.290001922E1,1.304216240E2,5.129504947E1,0.000000000E0,1.094813423E2,2.729493430E1,3.000000000E0
6.249069476E1,4.290002042E1,1.304216134E2,5.129504947E1,0.000000000E0,1.094813423E2,2.589576932E1,3.000000000E0
6.348930871E1,4.290002154E1,1.304216035E2,5.129504947E1,0.000000000E0,1.094813423E2,2.623971703E1,3.000000000E0
6.448230720E1,4.290000113E1,1.304217046E2,5.126787454E1,1.897581952E-1,1.094814417E2,2.469046691E1,3.000000000E0
6.548100734E1,4.289999710E1,1.304217387E2,5.122863525E1,4.176362261E-1,1.094814851E2,3.767946288E1,3.137487128E0
6.647451007E1,4.290001485E1,1.304217403E2,5.127037957E1,4.695305858E-1,1.094814890E2,4.282694198E1,3.015933445E0
6.747266495E1,4.290002415E1,1.304217431E2,5.128394425E1,4.685249440E-1,1.094814924E2,3.843268835E1,3.000000000E0
6.846552980E1,4.290004105E1,1.304217422E2,5.124959664E1,4.631673627E-1,1.094814945E2,3.462882657E1,3.000000000E0
6.946629643E1,4.290004181E1,1.304217432E2,5.123231449E1,4.660205890E-1,1.094814957E2,2.911640362E1,3.000000000E0
7.046680140E1,4.290007109E1,1.304217454E2,5.125847459E1,5.500252670E-1,1.094815037E2,2.198190543E1,3.000000000E0
