"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.455015833E-1,2.200432122E-1,-1.876216978E-1,-9.172395617E-2
8.555095833E-1,2.617195547E-1,-1.319307387E-1,-6.323132664E-2
8.655175833E-1,2.843344808E-1,-6.424873322E-2,-2.283005603E-2
8.755255833E-1,2.625703514E-1,-4.049254209E-2,9.878089651E-3
8.855335833E-1,1.782986671E-1,-1.062038243E-1,1.768142730E-2
8.955415833E-1,3.862226382E-2,-2.644131482E-1,-1.265064534E-2
9.055495833E-1,-1.029494554E-1,-4.657680690E-1,-9.041241556E-2
9.155575833E-1,-2.155015618E-1,-6.524072289E-1,-2.039195299E-1
9.255655833E-1,-2.782343030E-1,-7.698511481E-1,-3.257187605E-1
9.355735833E-1,-2.992799282E-1,-7.779588699E-1,-4.120395482E-1
9.455815833E-1,-2.769012451E-1,-6.876850128E-1,-4.463852048E-1
9.555895833E-1,-2.149167210E-1,-5.023673773E-1,-4.322259724E-1
9.655965833E-1,-1.217356846E-1,-2.874787748E-1,-3.694674075E-1
9.756045833E-1,-4.056600109E-2,-1.274901778E-1,-3.023938239E-1
9.856125833E-1,1.394391060E-2,-4.460455477E-2,-2.584158182E-1
9.956205833E-1,4.244079813E-2,9.794770740E-3,-2.531986833E-1
1.005628583E0,5.284807459E-2,8.345399052E-2,-2.777294517E-1
1.015636583E0,4.056291282E-2,1.540719718E-1,-3.066601753E-1
1.025644583E0,3.696094081E-2,2.522605360E-1,-3.122224212E-1
1.035652583E0,4.444495589E-2,3.628197908E-1,-2.894034088E-1
1.045660583E0,6.570249051E-2,4.510638118E-1,-2.419948280E-1
1.055668583E0,9.727506340E-2,4.935843647E-1,-1.832891703E-1
1.065676583E0,1.335161924E-1,4.457383454E-1,-1.280480325E-1
1.075684583E0,1.701724827E-1,3.051471412E-1,-9.304396808E-2
1.085692583E0,2.053951323E-1,1.125384793E-1,-8.301634341E-2
1.095700583E0,2.325508446E-1,-1.049512327E-1,-9.245032072E-2
1.105708583E0,2.418556511E-1,-3.086095750E-1,-1.258902401E-1
1.115716583E0,2.365469038E-1,-4.529390633E-1,-1.641566753E-1
1.125724583E0,2.070556432E-1,-5.174133182E-1,-1.994489431E-1
1.135732583E0,1.569320261E-1,-4.869115949E-1,-2.179986537E-1
1.145740583E0,9.635677189E-2,-3.684097528E-1,-2.198274285E-1
1.155748583E0,2.079171315E-2,-1.755098403E-1,-2.092056721E-1
1.165756583E0,-7.285913080E-2,2.668029629E-2,-1.859704256E-1
1.175764583E0,-1.529345214E-1,2.170113623E-1,-1.680564135E-1
1.185771583E0,-2.085834146E-1,3.560099900E-1,-1.513932347E-1
1.195779583E0,-2.373831123E-1,4.290959239E-1,-1.413962692E-1
1.205787583E0,-2.426339239E-1,4.373014867E-1,-1.347387731E-1
1.215795583E0,-2.318316102E-1,4.053512812E-1,-1.325741559E-1
