"Time (s)","X (hPa)"
1.304266497E2,1.005631561E3
1.314996627E2,1.005631409E3
1.325726437E2,1.005631180E3
1.336456217E2,1.005630722E3
1.347186267E2,1.005630264E3
1.357916287E2,1.005630112E3
1.368646377E2,1.005629730E3
1.379376507E2,1.005629501E3
1.390106927E2,1.005629501E3
1.400837157E2,1.005629425E3
1.411567477E2,1.005629501E3
1.422297367E2,1.005629501E3
1.433027327E2,1.005630493E3
1.443757667E2,1.005631332E3
1.454488677E2,1.005632477E3
1.465219027E2,1.005632477E3
1.475949067E2,1.005632248E3
1.486678927E2,1.005630341E3
1.497408757E2,1.005629730E3
1.508138737E2,1.005627594E3
1.518868577E2,1.005627136E3
1.529598417E2,1.005627136E3
1.540328307E2,1.005627518E3
1.551058697E2,1.005627518E3
1.561789297E2,1.005627518E3
1.572519597E2,1.005627747E3
1.583249997E2,1.005627747E3
1.593980707E2,1.005627975E3
1.604711347E2,1.005627975E3
1.615441867E2,1.005629044E3
1.626172017E2,1.005629654E3
1.636902277E2,1.005630341E3
1.647632637E2,1.005630951E3
1.658362977E2,1.005630951E3
1.669093247E2,1.005629959E3
1.679823257E2,1.005628815E3
1.690553377E2,1.005628052E3
1.701283547E2,1.005627365E3
1.712013587E2,1.005626984E3
1.722743407E2,1.005625916E3
1.733473637E2,1.005625000E3
1.744204157E2,1.005623322E3
1.754935007E2,1.005621948E3
1.765665837E2,1.005620804E3
1.776396257E2,1.005620193E3
1.787127007E2,1.005620193E3
1.797858227E2,1.005619812E3
1.808589577E2,1.005620193E3
1.819320887E2,1.005620193E3
1.830051787E2,1.005620804E3
1.840782537E2,1.005621033E3
1.851513447E2,1.005621872E3
1.862244447E2,1.005622711E3
1.872975517E2,1.005622940E3
1.883706437E2,1.005623016E3
1.894437157E2,1.005623016E3
1.905167307E2,1.005623322E3
1.915897747E2,1.005623322E3
1.926628337E2,1.005623322E3
1.937358527E2,1.005623016E3
1.948089007E2,1.005622711E3
1.958819847E2,1.005622253E3
1.969550607E2,1.005621490E3
1.980282297E2,1.005621414E3
1.991013737E2,1.005620880E3
2.001745237E2,1.005620575E3
2.012475967E2,1.005619736E3
2.023206617E2,1.005619202E3
2.033937437E2,1.005618515E3
2.044668147E2,1.005617447E3
2.055398337E2,1.005616913E3
2.066129197E2,1.005615845E3
2.076860097E2,1.005614319E3
2.087591317E2,1.005614319E3
2.098322807E2,1.005614319E3
2.109053807E2,1.005613708E3
2.119784807E2,1.005613327E3
2.130515867E2,1.005612488E3
2.141246787E2,1.005610580E3
2.151977867E2,1.005608673E3
2.162708527E2,1.005607605E3
2.173438937E2,1.005606689E3
2.184169167E2,1.005606537E3
2.194899297E2,1.005606689E3
2.205629867E2,1.005606537E3
2.216359897E2,1.005606537E3
2.227089857E2,1.005606537E3
2.237819737E2,1.005606537E3
2.248549537E2,1.005606537E3
2.259279367E2,1.005606537E3
2.270008987E2,1.005606537E3
2.280739207E2,1.005606537E3
2.291469127E2,1.005607529E3
2.302198877E2,1.005608063E3
2.312928797E2,1.005609283E3
2.323659047E2,1.005609741E3
2.334389117E2,1.005609741E3
2.345119097E2,1.005608215E3
2.355849177E2,1.005606995E3
2.366579207E2,1.005605927E3
2.377309437E2,1.005604782E3
2.388039537E2,1.005604401E3
2.398769807E2,1.005604248E3
2.409500017E2,1.005603943E3
2.420230277E2,1.005603790E3
2.430960817E2,1.005603561E3
2.441691437E2,1.005603104E3
2.452421797E2,1.005603104E3
2.463152777E2,1.005603180E3
2.473883427E2,1.005603333E3
2.484613827E2,1.005603638E3
2.495344827E2,1.005604630E3
2.506075717E2,1.005605469E3
2.516806937E2,1.005605469E3
