"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.568983334E-2,1.011848974E-1,1.601182531E-1,2.713885742E-1
2.569783333E-2,2.504367398E-1,3.083923130E-1,3.565000606E-1
3.570683334E-2,2.894530536E-1,5.258715324E-1,1.030834883E-1
4.571483334E-2,1.483152828E-1,6.225075153E-1,1.789657295E-2
5.572383334E-2,3.141706777E-1,7.820996652E-1,1.196872419E-1
6.573183334E-2,4.724889020E-1,1.066625325E0,2.464648175E-1
7.574083334E-2,1.582266788E-1,9.105982956E-1,2.182169187E-1
8.574883334E-2,3.201469341E-2,6.465935122E-1,1.769811845E-1
9.575783333E-2,-2.265938226E-1,4.888520792E-1,-5.691165161E-1
1.057658333E-1,-2.448290955E-1,3.743086329E-1,-6.188266200E-1
1.157748333E-1,1.382678295E-2,3.973824402E-1,-1.948110992E-1
1.257828333E-1,1.984007780E-1,4.782124491E-1,1.703586280E-1
1.357908333E-1,3.070829753E-1,4.812817622E-1,3.121191090E-1
1.457998333E-1,2.683079687E-1,4.879326046E-1,2.416391104E-1
1.558078333E-1,1.864491788E-1,4.166215339E-1,1.125366819E-1
1.658168333E-1,2.106949326E-1,4.599378536E-1,-4.723614693E-2
1.758248333E-1,3.233423644E-1,6.216525793E-1,-2.121656352E-1
1.858338333E-1,4.336512937E-1,7.607356203E-1,-3.295075589E-1
1.958418333E-1,4.508354930E-1,7.683171201E-1,-3.447109044E-1
2.058508333E-1,4.173959976E-1,7.405451846E-1,-4.115363932E-1
2.158588333E-1,3.712585425E-1,7.250386611E-1,-4.582614934E-1
2.258678333E-1,3.076220155E-1,7.076917264E-1,-4.583182114E-1
2.358758333E-1,2.898234382E-1,7.165324241E-1,-5.234433299E-1
2.458848333E-1,3.416863224E-1,7.217372500E-1,-5.724646318E-1
2.558928333E-1,2.801479957E-1,6.967660578E-1,-4.527048844E-1
2.659018333E-1,2.537357571E-1,6.820880847E-1,-3.251215625E-1
2.759098333E-1,2.637302932E-1,6.822386505E-1,-2.423004305E-1
2.859188333E-1,2.113747810E-1,7.034649204E-1,-3.048510200E-1
2.959268333E-1,1.026317909E-1,7.364405854E-1,-4.817795795E-1
3.059358333E-1,2.982487917E-2,7.981591891E-1,-6.372932965E-1
3.159438333E-1,-5.328889221E-2,8.695899450E-1,-6.820052004E-1
3.259528333E-1,-8.110028724E-2,9.602270501E-1,-6.536222309E-1
3.359608333E-1,-1.195945864E-2,9.868030107E-1,-6.858064753E-1
3.459698333E-1,-2.820499030E-2,9.570333009E-1,-6.906871462E-1
3.559778333E-1,-6.548173013E-2,9.076732991E-1,-6.221589482E-1
3.659868333E-1,-9.221641978E-2,8.666515730E-1,-4.677994716E-1
3.759948333E-1,-7.122352688E-2,8.652234636E-1,-1.250590789E-1
3.860028333E-1,-5.065041380E-2,8.474511440E-1,2.984307772E-1
3.960118333E-1,9.054785741E-3,7.828158760E-1,7.415427196E-1
4.060198333E-1,1.508570218E-2,6.467549685E-1,1.138296182E0
4.160288333E-1,1.276793213E-3,5.093386763E-1,1.387667651E0
4.260368333E-1,-3.118571127E-2,5.016848172E-1,1.226203222E0
4.360458333E-1,-7.220445212E-2,6.558951167E-1,6.394000483E-1
4.460538333E-1,-1.097058072E-1,8.769630647E-1,-1.234212738E-1
