"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.035620832E-2,-3.605206299E1,4.715682983E0,-3.922967529E1
2.036420834E-2,-3.601145935E1,4.635345459E0,-3.879211426E1
3.037220833E-2,-3.595397949E1,4.677825928E0,-3.893292236E1
4.037920832E-2,-3.588354492E1,4.784759521E0,-3.927105713E1
5.038720834E-2,-3.551765442E1,4.784805298E0,-3.868310547E1
6.039520833E-2,-3.545480347E1,4.815536499E0,-3.937554932E1
7.040320833E-2,-3.538494873E1,4.918899536E0,-3.907482910E1
8.041120833E-2,-3.517366028E1,4.991424561E0,-3.903442383E1
9.041820833E-2,-3.499169922E1,5.177612305E0,-3.985278320E1
1.004256667E-1,-3.479043579E1,5.267028809E0,-3.950891113E1
1.104336667E-1,-3.469688416E1,5.311080933E0,-4.018292236E1
1.204416667E-1,-3.457182312E1,5.352859497E0,-4.072625732E1
1.304486667E-1,-3.437094116E1,5.375534058E0,-4.041271973E1
1.404566667E-1,-3.418913269E1,5.368377686E0,-4.111743164E1
1.504646667E-1,-3.411715698E1,5.193771362E0,-4.076007080E1
1.604726667E-1,-3.409213257E1,5.339843750E0,-4.116333008E1
1.704806667E-1,-3.396250916E1,5.211257935E0,-4.135351562E1
1.804876667E-1,-3.402607727E1,5.123489380E0,-4.089056396E1
1.904956667E-1,-3.402607727E1,5.123489380E0,-4.089056396E1
2.005036667E-1,-3.403616333E1,5.128814697E0,-4.140118408E1
2.105116667E-1,-3.401025391E1,5.059722900E0,-4.139227295E1
2.205186667E-1,-3.407980347E1,5.113449097E0,-4.113861084E1
2.305266667E-1,-3.421937561E1,5.052093506E0,-4.134515381E1
2.405346667E-1,-3.423281860E1,5.005355835E0,-4.103918457E1
2.505426667E-1,-3.438903809E1,5.058792114E0,-4.130792236E1
2.605506667E-1,-3.449681091E1,5.097427368E0,-4.103149414E1
2.705576667E-1,-3.472573853E1,5.067779541E0,-4.071545410E1
2.805656667E-1,-3.471931458E1,4.974822998E0,-4.130114746E1
2.905736667E-1,-3.481951904E1,4.885604858E0,-4.104827881E1
3.005816667E-1,-3.479246521E1,4.926773071E0,-4.135260010E1
3.105886667E-1,-3.472665405E1,4.869613647E0,-4.162329102E1
3.205966667E-1,-3.472309875E1,4.878753662E0,-4.114630127E1
3.306046667E-1,-3.456950378E1,4.879364014E0,-4.144354248E1
3.406126667E-1,-3.454716492E1,4.971389771E0,-4.144683838E1
3.506196667E-1,-3.452488708E1,4.977233887E0,-4.116125488E1
3.606276667E-1,-3.445912170E1,5.122741699E0,-4.145202637E1
3.706356667E-1,-3.423693848E1,5.021804810E0,-4.133099365E1
3.806436667E-1,-3.430273438E1,4.940200806E0,-4.184680176E1
3.906516667E-1,-3.423567200E1,5.117065430E0,-4.175201416E1
4.006586667E-1,-3.413937378E1,5.021636963E0,-4.172033691E1
4.106666667E-1,-3.414768982E1,5.220779419E0,-4.213995361E1
4.206746667E-1,-3.410969543E1,5.110839844E0,-4.193811035E1
4.306826667E-1,-3.408528137E1,5.126434326E0,-4.244140625E1
4.406896667E-1,-3.403416443E1,5.228317261E0,-4.230694580E1
4.506976667E-1,-3.386518860E1,5.192657471E0,-4.196490479E1
4.607056667E-1,-3.373254395E1,5.158599854E0,-4.236016846E1
4.707136667E-1,-3.395965576E1,5.006820679E0,-4.226434326E1
4.807216667E-1,-3.393803406E1,5.006225586E0,-4.188525391E1
4.907286667E-1,-3.386462402E1,4.938095093E0,-4.229864502E1
5.007366667E-1,-3.405932617E1,4.805862427E0,-4.183355713E1
5.107446667E-1,-3.410760498E1,4.714385986E0,-4.269055176E1
5.207526667E-1,-3.420968628E1,4.575210571E0,-4.217602539E1
5.307596667E-1,-3.440995789E1,4.394973755E0,-4.179010010E1
5.407676667E-1,-3.458474731E1,4.470291138E0,-4.184973145E1
5.507756667E-1,-3.460580444E1,4.317657471E0,-4.146380615E1
5.607836667E-1,-3.459869385E1,4.272689819E0,-4.173242188E1
5.707906667E-1,-3.475482178E1,4.266372681E0,-4.187396240E1
5.807986667E-1,-3.487261963E1,4.180465698E0,-4.121893311E1
5.908066667E-1,-3.487324524E1,4.305206299E0,-4.172833252E1
6.008146667E-1,-3.487324524E1,4.305206299E0,-4.172833252E1
6.108226667E-1,-3.475885010E1,4.297485352E0,-4.149829102E1
6.208296667E-1,-3.462544250E1,4.253097534E0,-4.174511719E1
6.308376667E-1,-3.455538940E1,4.373275757E0,-4.199267578E1
6.408456667E-1,-3.431817627E1,4.333770752E0,-4.194256592E1
6.508536667E-1,-3.399617004E1,4.425445557E0,-4.248236084E1
6.608606667E-1,-3.375405884E1,4.577011108E0,-4.252172852E1
6.708686667E-1,-3.369279480E1,4.582931519E0,-4.264916992E1
6.808766667E-1,-3.339405823E1,4.765136719E0,-4.328881836E1
