"Time (s)","X (hPa)"
-5.725307917E-1,1.005065460E3
4.334032083E-1,1.005066376E3
1.439355208E0,1.005067291E3
2.445263208E0,1.005069885E3
3.451179208E0,1.005069885E3
3.802086208E0,1.005069885E3
4.875125208E0,1.005069046E3
5.948167208E0,1.005068893E3
7.021214208E0,1.005067596E3
8.094301208E0,1.005065231E3
9.167336208E0,1.005062561E3
1.024036321E1,1.005060806E3
1.131336621E1,1.005057907E3
1.238637021E1,1.005055847E3
1.345936621E1,1.005055847E3
1.453237421E1,1.005056076E3
1.560536521E1,1.005056229E3
1.667833721E1,1.005056458E3
1.775130921E1,1.005056458E3
1.882430721E1,1.005056000E3
1.989724821E1,1.005056000E3
2.097023321E1,1.005056076E3
2.204324021E1,1.005056610E3
2.311624821E1,1.005057755E3
2.418928821E1,1.005059128E3
2.526232121E1,1.005060883E3
2.633535221E1,1.005062561E3
2.740837621E1,1.005063171E3
2.848139821E1,1.005063171E3
2.955440221E1,1.005061340E3
3.062742221E1,1.005058365E3
3.170042421E1,1.005055161E3
3.277343921E1,1.005052261E3
3.384637621E1,1.005049515E3
3.491934821E1,1.005047150E3
3.599236521E1,1.005046921E3
3.706538121E1,1.005046310E3
3.813835921E1,1.005046310E3
3.921131021E1,1.005046158E3
4.028426721E1,1.005046082E3
4.135721621E1,1.005046082E3
4.243018921E1,1.005045547E3
4.350316621E1,1.005045547E3
4.457612821E1,1.005045776E3
4.564905821E1,1.005046158E3
4.672198621E1,1.005047150E3
4.779492921E1,1.005048676E3
4.886787521E1,1.005050201E3
4.994083021E1,1.005050507E3
5.101383021E1,1.005050812E3
5.208679221E1,1.005050964E3
5.315971021E1,1.005051193E3
5.423258121E1,1.005051804E3
5.530549521E1,1.005052261E3
5.637842521E1,1.005052261E3
5.745139421E1,1.005052261E3
5.852436121E1,1.005051193E3
5.959735021E1,1.005049438E3
6.067029621E1,1.005045776E3
6.174320521E1,1.005042114E3
6.281618521E1,1.005038147E3
6.388917321E1,1.005034714E3
6.496214421E1,1.005032425E3
6.603509921E1,1.005031662E3
6.710803521E1,1.005031433E3
6.818101621E1,1.005031128E3
6.925402021E1,1.005031128E3
7.032702121E1,1.005030746E3
7.139999521E1,1.005030136E3
7.247295721E1,1.005030136E3
7.354592721E1,1.005029678E3
7.461896021E1,1.005029678E3
7.569196421E1,1.005029907E3
7.676496721E1,1.005030289E3
7.783798421E1,1.005030289E3
7.891101921E1,1.005030594E3
7.998394521E1,1.005031128E3
8.105694821E1,1.005031662E3
8.212991221E1,1.005033112E3
8.320284721E1,1.005034332E3
8.427582621E1,1.005035858E3
8.534882221E1,1.005036011E3
8.642183321E1,1.005036011E3
8.749486621E1,1.005035172E3
8.856785121E1,1.005034714E3
8.964084521E1,1.005033569E3
