"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.350968361E-3,4.289993827E1,1.304212338E2,5.128472788E1,2.099714059E0,9.800683274E1,1.428287114E1,4.462320733E0
3.610098362E-2,4.290019156E1,1.304216353E2,4.944900781E1,NaN,NaN,3.745735288E1,4.553763496E0
4.408849478E-1,4.290006377E1,1.304216015E2,5.105355380E1,NaN,NaN,2.881799398E1,3.000000000E1
6.720170021E0,4.290019156E1,1.304216353E2,5.104122954E1,NaN,NaN,3.745735288E1,3.000000000E1
1.271940494E1,4.290002153E1,1.304216848E2,5.127878666E1,NaN,NaN,3.483005700E1,3.000000000E1
1.871541393E1,4.290007223E1,1.304216855E2,5.129416593E1,NaN,NaN,3.482953980E1,3.000000000E1
2.465902698E1,4.290015473E1,1.304216680E2,5.160459954E1,NaN,NaN,3.482655457E1,3.000000000E1
3.079814100E1,4.290000756E1,1.304217778E2,5.183806361E1,NaN,NaN,3.483728731E1,3.000000000E1
3.668882704E1,4.290019156E1,1.304216353E2,5.193269043E1,NaN,NaN,3.745735288E1,3.000000000E1
4.267884302E1,4.290019156E1,1.304216353E2,5.196393610E1,NaN,NaN,3.745735288E1,3.000000000E1
4.868168199E1,4.289995349E1,1.304218322E2,5.206356322E1,NaN,NaN,3.672797209E1,3.000000000E1
5.469566798E1,4.290001022E1,1.304217572E2,5.167449842E1,NaN,NaN,3.483083457E1,3.000000000E1
6.068626404E1,4.290007872E1,1.304217388E2,5.165224844E1,NaN,NaN,3.482914382E1,3.000000000E1
6.669370604E1,4.290022781E1,1.304217960E2,5.165132882E1,NaN,NaN,3.475453655E1,3.000000000E1
6.673310804E1,4.290016866E1,1.304217561E2,5.162635182E1,NaN,NaN,2.787451945E1,3.000000000E1
7.272584295E1,4.290012773E1,1.304217313E2,5.161240671E1,NaN,NaN,3.482892543E1,3.000000000E1
7.872017694E1,4.290009770E1,1.304217496E2,5.165200819E1,NaN,NaN,3.482915679E1,3.000000000E1
8.471149695E1,4.290003211E1,1.304217586E2,5.166515810E1,NaN,NaN,3.482951427E1,3.000000000E1
9.071439898E1,4.290019156E1,1.304216353E2,5.199627109E1,NaN,NaN,3.745735288E1,3.000000000E1
9.671230996E1,4.290002042E1,1.304216570E2,5.198067112E1,NaN,NaN,3.136247774E1,3.000000000E1
1.027159560E2,4.290006264E1,1.304215698E2,5.181697997E1,NaN,NaN,2.884857734E1,3.000000000E1
1.088804460E2,4.290002381E1,1.304213752E2,5.165403186E1,NaN,NaN,2.890761535E1,3.000000000E1
1.147682440E2,4.290000474E1,1.304215325E2,5.163664048E1,9.731430411E-1,NaN,2.470982801E1,3.000000000E1
1.207240100E2,4.290005208E1,1.304215430E2,5.159089953E1,NaN,NaN,2.313130915E1,3.000000000E1
1.222793494E2,4.290013553E1,1.304215145E2,5.087885842E1,NaN,NaN,3.321673901E1,4.366997242E0
1.232793353E2,4.290013413E1,1.304215223E2,5.103094093E1,NaN,NaN,3.330284769E1,5.164947033E0
1.242793218E2,4.290012093E1,1.304215383E2,5.191735920E1,5.148189664E-1,NaN,3.257069593E1,5.897142410E0
1.252793065E2,4.290012556E1,1.304215383E2,5.191735926E1,5.148189664E-1,3.600000000E2,3.257069593E1,5.897142410E0
1.262792927E2,4.290010786E1,1.304214977E2,5.172827874E1,NaN,NaN,3.149058107E1,3.742450476E0
1.272792783E2,4.290009428E1,1.304214557E2,5.232655202E1,NaN,NaN,3.052027081E1,4.404110909E0
1.282792642E2,4.290009433E1,1.304214412E2,5.304634986E1,NaN,NaN,3.029735668E1,5.112554550E0
1.292792493E2,4.290009043E1,1.304214420E2,5.304614586E1,NaN,NaN,3.083349567E1,6.012014866E0
1.302792360E2,4.290008652E1,1.304214440E2,5.304614586E1,NaN,NaN,3.152057478E1,6.989909649E0
1.312792212E2,4.290008892E1,1.304214474E2,5.306950294E1,NaN,NaN,3.233322477E1,8.018604279E0
1.322792073E2,4.290008892E1,1.304214474E2,5.306950294E1,NaN,NaN,3.331155477E1,9.095043182E0
1.332791930E2,4.290008794E1,1.304214429E2,5.304687743E1,NaN,NaN,3.443866689E1,1.020475197E1
1.342791783E2,4.290008794E1,1.304214429E2,5.304687743E1,NaN,NaN,3.578277354E1,1.134586811E1
1.352791642E2,4.290013818E1,1.304213789E2,5.421542637E1,NaN,NaN,3.495410394E1,1.238883877E1
1.362791501E2,4.290015664E1,1.304213418E2,5.500858711E1,NaN,NaN,3.438728552E1,1.342543983E1
1.372791359E2,4.290017846E1,1.304212944E2,5.554840174E1,NaN,NaN,3.388458405E1,1.447657871E1
1.382791222E2,4.290019112E1,1.304212686E2,5.566162427E1,NaN,NaN,3.447079248E1,1.571273994E1
1.392791075E2,4.290020438E1,1.304212332E2,5.616268516E1,NaN,NaN,3.443230447E1,1.690158463E1
1.402790929E2,4.290022207E1,1.304212012E2,5.676656511E1,NaN,NaN,3.439932330E1,1.814549065E1
1.412790784E2,4.290024917E1,1.304211702E2,5.847431490E1,NaN,NaN,3.392587560E1,1.921858215E1
1.422790637E2,4.290027069E1,1.304211532E2,5.988085995E1,1.703195214E0,NaN,3.344806395E1,2.027872467E1
1.432790502E2,4.290029977E1,1.304211251E2,5.101324012E1,NaN,NaN,3.308498478E1,3.000000000E0
1.442790359E2,4.290031102E1,1.304211116E2,5.101324012E1,NaN,NaN,3.371145268E1,3.960719109E0
1.452790213E2,4.290031966E1,1.304210995E2,5.102114687E1,NaN,NaN,3.423042877E1,4.562906742E0
1.462790067E2,4.290022654E1,1.304211961E2,5.110363468E1,NaN,NaN,3.111036898E1,5.298657894E0
1.472789924E2,4.290022357E1,1.304211917E2,5.112028712E1,NaN,NaN,3.174078772E1,6.167772293E0
1.482789782E2,4.290020454E1,1.304212016E2,5.107246472E1,NaN,NaN,3.222377063E1,7.120328426E0
1.492789648E2,4.290020066E1,1.304211816E2,5.109307351E1,NaN,NaN,3.259343135E1,8.143522263E0
1.502789505E2,4.290019997E1,1.304211627E2,5.109555718E1,NaN,NaN,3.308665595E1,9.234880447E0
1.512789360E2,4.290020657E1,1.304211455E2,5.244719610E1,NaN,NaN,3.346997548E1,1.025512505E1
1.522789216E2,4.290018076E1,1.304211713E2,5.423711636E1,NaN,NaN,3.112277613E1,1.110621929E1
1.532789073E2,4.290018019E1,1.304211573E2,5.477166034E1,NaN,NaN,3.135510738E1,1.213880348E1
1.542788932E2,4.290015796E1,1.304212067E2,5.573418589E1,6.288243532E-1,NaN,3.171696970E1,1.301623631E1
1.552788790E2,4.290015796E1,1.304212067E2,5.573418593E1,6.288243532E-1,NaN,3.171696970E1,1.301623631E1
1.562788652E2,4.290015850E1,1.304212147E2,5.116469314E1,7.362055182E-1,NaN,3.200681890E1,3.000000000E0
1.572788509E2,4.290014041E1,1.304212416E2,5.110374529E1,6.288243532E-1,NaN,3.298502586E1,3.128817797E0
1.582788357E2,4.290014041E1,1.304212416E2,5.110374533E1,6.288243532E-1,NaN,3.298502586E1,3.128817797E0
1.592788217E2,4.290018427E1,1.304211365E2,5.090712197E1,7.362055182E-1,3.195318861E-15,3.017224541E1,3.000000000E0
1.602788076E2,4.290020013E1,1.304210967E2,5.080407518E1,7.331912518E-1,7.031438309E-16,2.791878121E1,3.000000000E0
1.612787930E2,4.290022355E1,1.304210141E2,5.065275891E1,1.185899615E0,NaN,2.439564896E1,3.000000000E0
1.622787786E2,4.290020368E1,1.304210435E2,5.078595658E1,1.185899615E0,NaN,2.341382985E1,3.000000000E0
1.632787652E2,4.290018499E1,1.304210731E2,5.095030302E1,9.935261607E-1,NaN,2.225588811E1,3.000000000E0
1.642787631E2,4.290019393E1,1.304210731E2,5.095030314E1,9.935261607E-1,3.600000000E2,2.225588811E1,3.000000000E0
1.652787482E2,4.290001760E1,1.304212258E2,5.092505985E1,5.237777483E-1,NaN,1.116671789E1,3.000000000E0
1.669917238E2,4.290003829E1,1.304210610E2,5.092573462E1,0.000000000E0,NaN,1.000927513E1,3.000000000E0
1.679917096E2,4.290001949E1,1.304210677E2,5.097843900E1,4.947172385E-1,NaN,1.379943234E1,3.878975989E0
1.689916960E2,4.290001029E1,1.304211228E2,5.153305265E1,1.403812460E0,1.128486239E2,1.319857013E1,4.061513789E0
1.699916817E2,4.290001117E1,1.304211199E2,5.148916289E1,0.000000000E0,NaN,1.325526472E1,4.877269261E0
1.709916669E2,4.290000535E1,1.304211671E2,5.087976811E1,3.686233753E-1,NaN,1.325526472E1,4.809217230E0
1.719916534E2,4.290001733E1,1.304211426E2,5.054772874E1,9.264353984E-1,3.325894685E2,1.413252189E1,5.100036706E0
1.729916385E2,4.290002906E1,1.304211198E2,5.047622036E1,9.739170912E-1,3.188270037E2,1.491206713E1,5.404384680E0
1.739916240E2,4.290001023E1,1.304211093E2,5.004772097E1,1.190206651E0,2.675069322E2,1.426815492E1,5.644757089E0
1.749916105E2,4.290000334E1,1.304211032E2,5.028449102E1,4.973501119E-1,NaN,1.340068561E1,5.681286875E0
1.759915966E2,4.290000129E1,1.304210980E2,5.051286746E1,3.501377018E-1,NaN,1.340068561E1,5.794792320E0
1.769915824E2,4.289999316E1,1.304210822E2,5.085793732E1,9.043745768E-1,2.734753993E2,1.300562095E1,5.940572375E0
1.779915679E2,4.289998952E1,1.304210836E2,5.081127445E1,9.361808456E-1,2.839581701E2,1.269359091E1,5.937041136E0
1.789915544E2,4.289998470E1,1.304210821E2,5.076816504E1,4.732348591E-1,NaN,1.326464189E1,6.086989086E0
1.799915390E2,4.289998181E1,1.304210784E2,5.090661118E1,1.304081977E-1,NaN,1.326464189E1,5.652879336E0
1.809915252E2,4.289997587E1,1.304210753E2,5.103259551E1,9.771741291E-2,NaN,1.399169649E1,5.717068279E0
1.819915110E2,4.289997204E1,1.304210676E2,5.101170826E1,4.832735410E-2,NaN,1.406511818E1,5.582252992E0
1.829914967E2,4.289998192E1,1.304210309E2,5.125925672E1,0.000000000E0,2.852085216E2,1.514632559E1,6.235918621E0
1.839914818E2,4.289998365E1,1.304210147E2,5.134924937E1,1.775986101E-1,NaN,1.564234344E1,6.581935320E0
1.849914681E2,4.289998066E1,1.304210164E2,5.143402690E1,2.355173543E-1,NaN,1.552332526E1,6.539153267E0
1.859914532E2,4.289998082E1,1.304210148E2,5.148654614E1,0.000000000E0,NaN,1.561655758E1,6.882957710E0
1.869914392E2,4.289998674E1,1.304209912E2,5.163620813E1,0.000000000E0,1.241634860E2,1.580663009E1,7.011692870E0
1.879914249E2,4.289997922E1,1.304210001E2,5.158758305E1,2.695484152E-1,NaN,1.561987565E1,6.868804219E0
1.889914105E2,4.289997513E1,1.304210061E2,5.146304071E1,2.798547990E-1,NaN,1.599759721E1,6.909415143E0
1.899913969E2,4.289995946E1,1.304210583E2,5.142952240E1,1.295541846E-1,NaN,1.428294741E1,6.585438430E0
1.909913831E2,4.289996176E1,1.304210223E2,5.156723216E1,2.915676210E-1,NaN,1.633461647E1,6.760281819E0
1.919913687E2,4.289996076E1,1.304210170E2,5.179291881E1,3.559093229E-1,NaN,1.680048848E1,7.305855213E0
1.929913541E2,4.289996069E1,1.304210144E2,5.202897914E1,1.485687445E-1,NaN,1.828298123E1,7.965157158E0
1.939913392E2,4.289994106E1,1.304210327E2,5.178910990E1,0.000000000E0,NaN,3.013129066E1,7.961714233E0
1.949913254E2,4.289995018E1,1.304210242E2,5.178910990E1,0.000000000E0,NaN,1.563699553E1,8.276985883E0
1.959913114E2,4.289995051E1,1.304210630E2,5.159794063E1,1.422667850E-1,NaN,1.474869668E1,8.554300347E0
1.969912969E2,4.289994711E1,1.304210593E2,5.138474894E1,0.000000000E0,NaN,1.170631891E1,8.372641362E0
1.979912832E2,4.289994060E1,1.304210617E2,5.125779684E1,2.120279595E-1,NaN,1.791853593E1,8.120461752E0
1.989912685E2,4.289993611E1,1.304210762E2,5.030481329E1,5.001794372E-1,8.126794035E1,1.782002449E1,8.038570929E0
1.999912543E2,4.289994206E1,1.304211032E2,4.970456939E1,1.373379626E0,5.690755497E1,1.755977668E1,8.111708071E0
2.009912403E2,4.289995230E1,1.304211173E2,4.916401190E1,1.515637846E0,5.349046645E1,1.711412401E1,7.880681597E0
2.019912266E2,4.289995161E1,1.304211827E2,4.899499520E1,1.200177998E0,6.312319377E1,1.600185233E1,7.917670119E0
2.029912115E2,4.289994969E1,1.304212296E2,4.901976284E1,7.190795582E-1,2.599503426E2,1.464227215E1,7.681248508E0
2.039911976E2,4.289995171E1,1.304212184E2,4.914607173E1,6.755403068E-1,2.553207888E2,1.495146497E1,7.820238444E0
