"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.850250010E-3,-5.498066711E-1,6.990463257E-2,9.640103302E0
1.385725001E-2,-6.867718506E-1,1.380130005E-1,9.904902649E0
2.386525000E-2,-7.668553162E-1,4.263134766E-1,1.000384689E1
3.387225000E-2,-5.792953491E-2,8.231382751E-1,1.010144394E1
4.388025001E-2,2.647993469E-1,9.008267212E-1,1.031699570E1
5.388825000E-2,5.852828979E-2,5.816903687E-1,1.077968353E1
6.389525000E-2,-1.089733887E-1,2.459385681E-1,1.072549622E1
7.390325001E-2,-3.438349915E-1,1.667532349E-1,1.048210236E1
8.391025002E-2,-4.153862000E-1,2.275268555E-2,1.025921585E1
9.391825000E-2,-3.721261597E-1,2.380050659E-2,1.010114456E1
1.039262500E-1,-3.424877930E-1,6.421646118E-2,9.856702881E0
1.139332500E-1,-1.749861145E-1,1.609153748E-1,9.633516998E0
1.239412500E-1,-1.317260742E-2,2.933898926E-1,9.536668396E0
1.339482500E-1,1.978884888E-1,4.143383789E-1,9.527836761E0
1.439562500E-1,4.239184570E-1,5.168751526E-1,9.567653961E0
1.539642500E-1,5.640270996E-1,6.023474121E-1,9.611662445E0
1.639712500E-1,5.502557373E-1,6.167175293E-1,9.538165283E0
1.739792500E-1,5.276527405E-1,6.749464417E-1,9.363927612E0
1.839862500E-1,4.857398987E-1,7.533833313E-1,9.144783325E0
1.939942500E-1,4.013154602E-1,7.375163269E-1,9.023685150E0
2.040022500E-1,3.972738647E-1,7.864645386E-1,8.912316742E0
2.140092500E-1,4.293072510E-1,9.208850098E-1,8.910221100E0
2.240172500E-1,4.034111023E-1,1.017284546E0,8.901539154E0
2.340242500E-1,3.712280273E-1,1.073717194E0,8.849597168E0
2.440322500E-1,2.671943665E-1,1.060843964E0,8.859326935E0
2.540402500E-1,1.416055298E-1,1.010997620E0,8.929830322E0
2.640472500E-1,1.417552185E-1,9.702822876E-1,9.017547913E0
2.740552500E-1,1.610650635E-1,9.223818970E-1,9.175319824E0
2.840622500E-1,2.139051819E-1,8.442443848E-1,9.453142090E0
2.940702500E-1,1.892065430E-1,7.370672607E-1,9.778116302E0
3.040782500E-1,1.209484863E-1,6.149212646E-1,9.999206543E0
3.140852500E-1,6.855743408E-2,5.029541016E-1,1.010623398E1
3.240932500E-1,4.790039062E-3,3.977229309E-1,1.019799316E1
3.341018333E-1,5.538482666E-3,3.842509460E-1,1.020682480E1
3.441088333E-1,5.298980713E-2,4.284091187E-1,1.019170624E1
3.541168333E-1,3.832031250E-2,4.463717651E-1,1.014066238E1
3.641238333E-1,-1.107696533E-2,4.272116089E-1,1.008452911E1
3.741318333E-1,-1.496887207E-2,4.369413757E-1,1.009994705E1
3.841398333E-1,2.589614868E-2,4.070036316E-1,1.013841705E1
3.941468333E-1,3.338058472E-2,3.525169373E-1,1.024020538E1
4.041548333E-1,-4.326004028E-2,2.794688416E-1,1.022703278E1
4.141618334E-1,-9.535171509E-2,2.607577515E-1,1.016506165E1
4.241698333E-1,-8.397537231E-2,3.118016052E-1,1.005159760E1
4.341778333E-1,-9.160949707E-2,4.568499756E-1,9.857002258E0
4.441848334E-1,-3.248245239E-2,5.825885010E-1,9.648635559E0
4.541928333E-1,6.017486572E-2,7.999365234E-1,9.393416290E0
4.641998333E-1,9.340576172E-2,9.560618591E-1,9.153315582E0
4.742078334E-1,2.829116821E-2,9.626481628E-1,8.906029816E0
4.842158333E-1,-1.291813660E-1,9.169931030E-1,8.807384949E0
4.942228333E-1,-2.993774414E-1,8.614585876E-1,8.829538879E0
5.042308334E-1,-2.966830444E-1,8.054750061E-1,8.930578766E0
5.142378333E-1,-1.520837402E-1,8.431965637E-1,9.155411224E0
5.242458333E-1,-1.242416382E-1,8.747808838E-1,9.286089478E0
5.342528333E-1,-1.812730408E-1,8.536747742E-1,9.223669281E0
5.442608333E-1,-3.010240173E-1,7.846682739E-1,9.045839081E0
5.542688333E-1,-4.564009094E-1,6.776408386E-1,8.945397949E0
5.642758333E-1,-5.137316895E-1,6.372248840E-1,8.975784760E0
5.742838333E-1,-5.342390442E-1,5.857319641E-1,9.065897369E0
5.842908333E-1,-5.409750366E-1,5.170248413E-1,9.133257294E0
5.942988333E-1,-4.906796265E-1,4.884342957E-1,9.251810760E0
6.043068334E-1,-4.132905579E-1,4.800517273E-1,9.446705475E0
6.143138333E-1,-2.534230042E-1,4.480183411E-1,9.637558594E0
6.243218333E-1,-4.700225830E-2,3.592529297E-1,9.916278992E0
6.343288333E-1,1.326242065E-1,2.468367004E-1,1.029618896E1
6.443368333E-1,3.324586487E-1,1.954934692E-1,1.062161224E1
6.543448333E-1,3.836521912E-1,9.954299927E-2,1.088865692E1
6.643518333E-1,2.628533936E-1,-9.101074219E-2,1.104089035E1
6.743598333E-1,1.290316772E-1,-7.334747314E-2,1.096754288E1
6.843668333E-1,1.869612122E-1,1.552272034E-1,1.064750839E1
6.943748333E-1,2.456391907E-1,4.529580688E-1,1.019260437E1
7.043828333E-1,2.186952209E-1,6.824308777E-1,9.618548126E0
7.143898333E-1,1.079255676E-1,9.066645813E-1,8.930279388E0
7.243978333E-1,-2.110610962E-1,1.011296997E0,8.340356140E0
7.344048333E-1,-5.848338318E-1,1.041833496E0,7.810158691E0
7.444128333E-1,-9.075627136E-1,1.025068359E0,7.566764832E0
7.544208333E-1,-1.120270386E0,1.007854156E0,7.582482147E0
7.644278333E-1,-1.207389221E0,9.813592529E-1,8.043523407E0
7.744358333E-1,-1.138233032E0,9.497749329E-1,8.747659149E0
7.844428333E-1,-1.015637970E0,9.265731812E-1,9.484277344E0
7.944508333E-1,-8.936416626E-1,8.647517395E-1,1.005893234E1
8.044588333E-1,-7.798782349E-1,6.554869080E-1,1.059451859E1
8.144658333E-1,-6.538403320E-1,4.634362793E-1,1.091694809E1
8.244738333E-1,-4.953199768E-1,4.721182251E-1,1.099867813E1
8.344808333E-1,-3.215313721E-1,5.080435181E-1,1.084958817E1
8.444888333E-1,-3.068618774E-1,5.846841431E-1,1.062295944E1
8.544968333E-1,-2.329156494E-1,6.619235229E-1,1.039573196E1
8.645038333E-1,-1.453477478E-1,7.382647705E-1,1.019275406E1
8.745118333E-1,-1.076261902E-1,8.334667969E-1,9.981992340E0
8.845188333E-1,-3.712280273E-2,9.083111572E-1,9.790989532E0
8.945268333E-1,5.089416504E-3,9.882449341E-1,9.545649719E0
9.045338334E-1,3.712280273E-2,1.079255676E0,9.219627686E0
9.145418333E-1,1.098715210E-1,1.174308014E0,9.087751923E0
9.245498333E-1,6.406677246E-2,1.179098053E0,8.955876160E0
9.345568334E-1,6.391708374E-2,1.229543152E0,8.811276855E0
