"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.251708324E-3,-1.037415266E-1,-2.747369185E-2,2.892788500E-2
1.525870833E-2,-1.602458060E-1,5.909555405E-2,4.435877502E-2
2.526470833E-2,-2.244904637E-1,1.257061064E-1,4.047481716E-2
3.527070832E-2,-3.218417764E-1,1.451162994E-1,3.645823896E-2
4.527670832E-2,-4.333125055E-1,1.319300830E-1,1.503789797E-2
5.528270832E-2,-5.492566824E-1,1.273747385E-1,-5.553400517E-2
6.528870831E-2,-5.146429539E-1,1.662394255E-1,-1.369441748E-1
7.529570832E-2,-4.137967527E-1,1.551388353E-1,-1.734965891E-1
8.530170831E-2,-3.183168769E-1,1.550364196E-1,-1.504324526E-1
9.530770834E-2,-2.386489809E-1,1.611856669E-1,-8.276019990E-2
1.053137083E-1,-1.769278347E-1,1.529566497E-1,-7.006686646E-4
1.153197083E-1,-1.185641214E-1,1.384243071E-1,7.189816982E-2
1.253257083E-1,-6.105715781E-2,1.176455244E-1,1.270407885E-1
1.353327083E-1,-1.162414905E-2,7.805970311E-2,1.506198645E-1
1.453387083E-1,2.106082626E-2,1.367592020E-3,1.464376450E-1
1.553447083E-1,3.946349770E-2,-9.613998979E-2,1.384629905E-1
1.653507083E-1,4.553577304E-2,-1.816937774E-1,1.445901245E-1
1.753567083E-1,4.297487810E-2,-2.324440479E-1,1.686448604E-1
1.853637083E-1,3.287883475E-2,-2.564263344E-1,1.876294762E-1
1.953697083E-1,8.714784868E-3,-2.701458037E-1,2.119026780E-1
2.053757083E-1,-1.697772555E-2,-2.944930494E-1,2.305452526E-1
2.153817083E-1,-3.163976222E-2,-3.205645978E-1,2.098807245E-1
2.253877083E-1,-3.375803679E-2,-2.997413576E-1,1.475718021E-1
2.353937083E-1,-3.432324529E-2,-2.425116450E-1,5.666923523E-2
2.454007083E-1,-6.701561064E-2,-1.518393755E-1,-2.979517356E-2
2.554067083E-1,-1.283117235E-1,-4.642959684E-2,-9.313393384E-2
2.654127083E-1,-1.943399310E-1,7.945206761E-2,-1.329996884E-1
2.754187083E-1,-2.521907091E-1,2.116164863E-1,-1.267391294E-1
2.854247083E-1,-2.812895179E-1,3.192594945E-1,-7.451630384E-2
2.954317083E-1,-2.747562528E-1,3.858675361E-1,3.748138668E-3
3.054377083E-1,-2.424707413E-1,3.532012105E-1,4.393177480E-2
3.154437083E-1,-1.891925335E-1,2.534577250E-1,2.698466554E-2
3.254497083E-1,-1.353521347E-1,1.129172891E-1,-2.222745121E-2
3.354557083E-1,-9.147255123E-2,-4.727052990E-3,-9.514053911E-2
3.454617083E-1,-8.114410937E-2,-8.735775203E-2,-1.453659832E-1
3.554687083E-1,-1.045812517E-1,-1.589786708E-1,-1.645958722E-1
3.654747083E-1,-1.453364938E-1,-1.850619316E-1,-1.424070299E-1
3.754807083E-1,-1.700639427E-1,-1.320575774E-1,-8.827215433E-2
3.854867083E-1,-1.544433981E-1,-2.502171509E-2,-2.993951179E-2
3.954927083E-1,-9.445171058E-2,8.527655900E-2,6.593465339E-3
4.054997083E-1,-1.196402218E-2,1.859320551E-1,1.832388528E-2
4.155057083E-1,5.498704687E-2,2.604078948E-1,9.915753268E-3
4.255117083E-1,9.346098453E-2,2.975478470E-1,-6.922344211E-3
4.355177083E-1,9.031525999E-2,2.855548561E-1,-2.594477125E-2
4.455237083E-1,5.463353917E-2,2.348153442E-1,-4.959657416E-2
4.555297083E-1,-6.009524222E-4,1.447256655E-1,-5.943216011E-2
4.655367083E-1,-5.755597726E-2,1.761889085E-2,-6.913584471E-2
4.755427083E-1,-1.070364416E-1,-1.231142506E-1,-7.668323815E-2
4.855487083E-1,-1.283174455E-1,-2.397707701E-1,-7.963481545E-2
4.955547083E-1,-1.305425167E-1,-3.377450109E-1,-1.020437181E-1
5.055607083E-1,-1.155327410E-1,-4.065556526E-1,-1.328540146E-1
5.155677083E-1,-1.002158374E-1,-4.207340479E-1,-1.582294106E-1
5.255737083E-1,-9.561524540E-2,-3.919658959E-1,-1.718385965E-1
5.355797083E-1,-1.025386602E-1,-3.168871403E-1,-1.770898104E-1
5.455861250E-1,-1.111480221E-1,-2.241427004E-1,-1.635297984E-1
5.555921250E-1,-1.121613532E-1,-1.083196998E-1,-1.422926784E-1
5.655981250E-1,-1.056339666E-1,-8.348962292E-4,-1.304615140E-1
5.756051250E-1,-8.399365097E-2,8.873546869E-2,-1.311680526E-1
5.856111250E-1,-6.250695139E-2,1.574144363E-1,-1.347979307E-1
5.956171250E-1,-4.654848948E-2,2.108454406E-1,-1.293160766E-1
6.056231250E-1,-2.635388076E-2,2.458894104E-1,-1.243440509E-1
6.156291250E-1,-1.627754420E-2,2.695111334E-1,-1.182920113E-1
6.256361250E-1,-2.697945572E-2,2.476899624E-1,-1.127443835E-1
6.356421250E-1,-4.237838835E-2,1.855110079E-1,-1.117041558E-1
6.456481250E-1,-6.275341660E-2,9.236760437E-2,-1.069779247E-1
6.556541250E-1,-7.206408679E-2,-6.636210717E-3,-1.043078452E-1
6.656601250E-1,-5.950050429E-2,-1.023771763E-1,-1.180112287E-1
6.756661250E-1,-1.549389958E-2,-1.638613194E-1,-1.388051957E-1
6.856731250E-1,4.952721298E-2,-1.707978398E-1,-1.399987340E-1
6.956791250E-1,1.023070738E-1,-1.558681577E-1,-1.290384978E-1
7.056851250E-1,1.245333999E-1,-1.309639215E-1,-9.921676666E-2
7.156911250E-1,1.161785349E-1,-1.274434924E-1,-8.143750578E-2
7.256971250E-1,9.254823625E-2,-1.411935389E-1,-7.866240293E-2
7.357041250E-1,8.601629734E-2,-1.411927491E-1,-7.979051769E-2
7.457101250E-1,1.034229323E-1,-1.150493473E-1,-8.509872854E-2
7.557161250E-1,1.352104396E-1,-6.319414079E-2,-8.307792246E-2
7.657221250E-1,1.539102048E-1,-4.102924094E-2,-7.859086245E-2
7.757281250E-1,1.446844786E-1,-5.615999177E-2,-8.114030957E-2
7.857341250E-1,1.043684930E-1,-1.123728156E-1,-8.368822932E-2
7.957411250E-1,2.654800378E-2,-2.239504755E-1,-1.046334580E-1
8.057471250E-1,-8.263288438E-2,-3.715246618E-1,-1.426263005E-1
8.157531250E-1,-2.120824903E-1,-4.900259972E-1,-1.967587769E-1
8.257591250E-1,-3.281789422E-1,-5.273107290E-1,-2.464672178E-1
8.357651250E-1,-4.130725563E-1,-4.646899700E-1,-2.724045217E-1
8.457721250E-1,-4.640104175E-1,-3.477016091E-1,-2.698727548E-1
8.557781250E-1,-4.858933389E-1,-2.324602455E-1,-2.488321811E-1
8.657841250E-1,-4.810693264E-1,-1.484653205E-1,-2.246343493E-1
8.757901250E-1,-4.718614519E-1,-1.429352611E-1,-2.203104347E-1
8.857961250E-1,-4.705857635E-1,-2.078289241E-1,-2.373912483E-1
8.958021250E-1,-4.514328241E-1,-2.317553014E-1,-2.378439754E-1
9.058091250E-1,-4.052675068E-1,-1.789662391E-1,-2.299731821E-1
9.158151250E-1,-3.433593810E-1,-4.533519968E-2,-2.165420651E-1
9.258211250E-1,-2.690232992E-1,1.285585761E-1,-1.817983687E-1
9.358271250E-1,-1.625559628E-1,3.155878186E-1,-1.079507843E-1
9.458331250E-1,-3.146741539E-2,4.603918493E-1,-2.381797507E-2
9.558401250E-1,1.068553030E-1,5.062251091E-1,4.251071438E-2
9.658461250E-1,2.500140667E-1,4.563150704E-1,7.464867830E-2
9.758521250E-1,3.690424263E-1,3.407455981E-1,6.430415809E-2
9.858581250E-1,4.479261637E-1,1.936748326E-1,4.413035512E-2
9.958641250E-1,4.744586945E-1,3.025394119E-2,7.334261201E-3
1.005870125E0,4.546183944E-1,-1.142397001E-1,-2.822737209E-2
1.015877125E0,4.058950543E-1,-2.230460793E-1,-6.142260879E-2
1.025883125E0,3.458318710E-1,-2.960688472E-1,-9.439086169E-2
1.035889125E0,2.918131053E-1,-3.464238942E-1,-1.347369552E-1
1.045895125E0,2.483135611E-1,-3.870764971E-1,-1.813236326E-1
1.055901125E0,2.062129676E-1,-4.436308444E-1,-2.457508147E-1
1.065907125E0,1.681046635E-1,-4.966525435E-1,-3.126673698E-1
1.075914125E0,1.533115953E-1,-5.095164180E-1,-3.610585928E-1
