"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.034092903E-2,4.290012882E1,1.304212894E2,5.424244308E1,NaN,NaN,8.625508456E1,5.432674327E1
3.960895538E-2,4.290012882E1,1.304212894E2,5.424244308E1,NaN,NaN,8.782655541E1,5.432713228E1
4.368009567E-1,4.290023085E1,1.304216196E2,5.148265388E1,NaN,NaN,3.507170006E1,3.972960022E1
6.723060966E0,4.290018223E1,1.304215683E2,5.150399726E1,NaN,NaN,2.492698063E1,3.389184009E1
1.272366095E1,4.290009090E1,1.304215636E2,5.153910657E1,NaN,NaN,2.518789968E1,3.155673604E1
1.872674692E1,4.290003833E1,1.304215723E2,5.159893718E1,NaN,NaN,2.858328989E1,3.062269441E1
2.472542000E1,4.290003486E1,1.304216589E2,5.184640942E1,NaN,NaN,3.483456444E1,3.024907777E1
3.073170590E1,4.290004958E1,1.304215443E2,5.198972533E1,NaN,NaN,2.399845639E1,3.009963111E1
3.673618197E1,4.290009825E1,1.304216624E2,5.249339902E1,NaN,NaN,3.196713454E1,3.003985244E1
4.273176098E1,4.290016043E1,1.304216497E2,5.212880479E1,NaN,NaN,3.016761684E1,3.001594098E1
4.873797596E1,4.290014285E1,1.304216385E2,5.216526505E1,NaN,NaN,3.186972250E1,3.000637639E1
5.471875095E1,4.290018090E1,1.304216306E2,5.216216887E1,NaN,NaN,2.854609921E1,3.000255056E1
6.089360690E1,4.290007835E1,1.304216738E2,5.188624441E1,NaN,NaN,3.779360220E1,3.000102022E1
6.672841597E1,4.290007534E1,1.304217070E2,5.183884251E1,NaN,NaN,3.661694722E1,3.000040809E1
7.270609498E1,4.289998056E1,1.304217456E2,5.201419448E1,NaN,NaN,3.778143172E1,3.000016324E1
7.873381901E1,4.289990974E1,1.304217323E2,5.194547135E1,NaN,NaN,3.778438790E1,3.000006529E1
8.472934401E1,4.290009117E1,1.304217669E2,5.205834866E1,NaN,NaN,3.778259644E1,3.000002612E1
9.072745097E1,4.289989724E1,1.304219012E2,5.161977377E1,NaN,NaN,4.032692384E1,3.000001045E1
9.662535501E1,4.290025410E1,1.304218357E2,5.159526586E1,NaN,NaN,3.777447589E1,3.000000418E1
1.027350529E2,4.290019402E1,1.304217304E2,5.167646445E1,NaN,NaN,3.680635196E1,3.000000167E1
1.087300529E2,4.290021279E1,1.304217561E2,5.161608602E1,NaN,NaN,3.679881874E1,3.000000067E1
1.147323099E2,4.290020897E1,1.304217359E2,5.170926229E1,NaN,NaN,3.679945150E1,3.000000027E1
1.207505150E2,4.290023620E1,1.304217728E2,5.168525431E1,NaN,NaN,3.680093886E1,3.000000011E1
1.267385850E2,4.290025660E1,1.304217550E2,5.170060258E1,NaN,NaN,3.679809790E1,3.000000004E1
1.327465279E2,4.290021045E1,1.304217295E2,5.181665615E1,NaN,NaN,3.679974567E1,3.000000002E1
1.387341419E2,4.290020274E1,1.304217477E2,5.182586516E1,NaN,NaN,3.679850679E1,3.000000001E1
1.447350980E2,4.290026673E1,1.304217843E2,5.177005047E1,NaN,NaN,3.679941684E1,3.000000000E1
1.507334360E2,4.290024400E1,1.304217629E2,5.193227233E1,NaN,NaN,3.679914048E1,3.000000000E1
1.567361879E2,4.290029816E1,1.304217272E2,5.163481560E1,NaN,NaN,3.680024474E1,3.000000000E1
1.627390250E2,4.290022687E1,1.304217471E2,5.167720559E1,NaN,NaN,3.778244499E1,3.000000000E1
1.687319280E2,4.290027112E1,1.304217962E2,5.164465654E1,NaN,NaN,3.679856323E1,3.000000000E1
1.749014939E2,4.290025107E1,1.304217605E2,5.166365693E1,NaN,NaN,3.680987724E1,3.000000000E1
1.806684929E2,4.290025561E1,1.304217522E2,5.169122022E1,NaN,NaN,3.776531215E1,3.000000000E1
1.857322999E2,4.290020091E1,1.304217328E2,5.188489515E1,NaN,NaN,3.672316090E1,3.000000000E1
1.917318859E2,4.290008687E1,1.304217463E2,5.174247331E1,NaN,NaN,3.778269129E1,3.000000000E1
1.978979549E2,4.290008136E1,1.304216756E2,5.192178719E1,NaN,NaN,3.395958230E1,3.000000000E1
2.037258190E2,4.290006104E1,1.304216647E2,5.193345518E1,NaN,NaN,3.368299614E1,3.000000000E1
2.097248950E2,4.290016215E1,1.304216254E2,5.204767623E1,NaN,NaN,2.571416171E1,3.000000000E1
2.157472819E2,4.290015457E1,1.304215493E2,5.150192539E1,NaN,NaN,2.001078548E1,3.000000000E1
2.157931340E2,4.290015466E1,1.304215491E2,5.150018780E1,NaN,NaN,2.001036294E1,3.000000000E1
2.157947290E2,4.290015466E1,1.304215491E2,5.150018780E1,NaN,NaN,2.001036386E1,3.000000000E1
2.179648410E2,4.290015445E1,1.304215495E2,5.150629513E1,NaN,NaN,2.207106599E1,3.000005079E1
2.179768349E2,4.290015445E1,1.304215495E2,5.150629513E1,NaN,NaN,2.207106772E1,3.000005079E1
2.182401789E2,4.290015477E1,1.304215487E2,5.150018780E1,NaN,NaN,2.212636334E1,3.000005113E1
2.182487060E2,4.290015477E1,1.304215487E2,5.150018780E1,NaN,NaN,2.212642362E1,3.000005113E1
2.217262590E2,4.290022289E1,1.304215164E2,5.144843770E1,NaN,NaN,2.030129905E1,3.000000000E1
2.276155479E2,4.290022573E1,1.304214622E2,5.129118289E1,NaN,NaN,2.355393684E1,3.000000000E1
2.338919300E2,4.290019122E1,1.304215068E2,5.148792539E1,NaN,NaN,2.494262661E1,3.000000000E1
2.398962519E2,4.290018979E1,1.304214073E2,5.156479532E1,NaN,NaN,2.493756921E1,3.000000000E1
2.457232549E2,4.290000250E1,1.304214595E2,5.177066977E1,NaN,NaN,2.493380886E1,3.000000000E1
2.517241189E2,4.290016113E1,1.304214006E2,5.156033151E1,NaN,NaN,2.493746504E1,3.000000000E1
2.573054229E2,4.290016984E1,1.304213472E2,5.154193581E1,NaN,NaN,4.500486321E1,3.000000000E1
2.577145280E2,4.290016601E1,1.304214609E2,5.151957537E1,NaN,NaN,2.309926138E1,3.000000000E1
2.612912158E2,4.290016798E1,1.304214555E2,5.959631053E1,NaN,NaN,2.791421837E1,1.846212921E2
2.637078919E2,4.290018409E1,1.304214310E2,5.171194284E1,NaN,NaN,2.133269852E1,3.000000000E1
2.672912158E2,4.290017620E1,1.304214243E2,5.122236419E1,NaN,NaN,2.383616445E1,1.739299164E2
2.682912165E2,4.290015464E1,1.304214054E2,5.122239015E1,NaN,NaN,1.742570567E1,1.770756378E2
2.692912163E2,4.290014558E1,1.304214011E2,4.093279285E1,NaN,NaN,1.635348757E1,3.000000000E0
2.702912166E2,4.290014417E1,1.304214072E2,3.700737553E1,NaN,NaN,1.408988309E1,3.000000000E0
