"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.496374993E-3,-7.849857211E-2,-7.189385593E-2,2.307712846E-2
1.350737500E-2,-9.337685257E-2,-1.199673787E-1,3.597436240E-3
2.351837500E-2,-1.167288423E-1,-1.763451546E-1,-2.582206624E-3
3.352837500E-2,-1.852495819E-1,-2.217499167E-1,1.900324598E-2
4.353937501E-2,-2.893078625E-1,-2.300934643E-1,8.450207859E-2
5.355037501E-2,-3.451623321E-1,-2.698256671E-1,1.207871139E-1
6.356137499E-2,-3.759194314E-1,-2.602759898E-1,1.028246507E-1
7.357137502E-2,-3.389667571E-1,-2.134711891E-1,5.551385880E-2
8.358237499E-2,-2.476386428E-1,-1.807908863E-1,1.336163096E-2
9.359337500E-2,-1.277316660E-1,-1.224604696E-1,-1.825577463E-3
1.036043750E-1,-2.234491706E-2,-5.973408371E-2,5.468224175E-3
1.136143750E-1,5.907750502E-2,3.861931618E-3,5.163811520E-2
1.236253750E-1,1.177865416E-1,5.541078374E-2,1.225226671E-1
1.336363750E-1,1.655271649E-1,9.938783199E-2,2.077353001E-1
1.436473750E-1,2.144262493E-1,1.303478926E-1,3.008889556E-1
1.536573750E-1,2.752661705E-1,1.462765187E-1,3.852443099E-1
1.636683750E-1,3.488253653E-1,1.392295212E-1,4.323154092E-1
1.736793750E-1,4.152379334E-1,8.121494949E-2,4.429787099E-1
1.836903750E-1,4.596559405E-1,-2.273287252E-2,4.099914432E-1
1.937003750E-1,4.595568776E-1,-1.449035257E-1,3.485717773E-1
2.037113750E-1,4.281618595E-1,-2.486994117E-1,2.712908089E-1
2.137223750E-1,3.587939441E-1,-2.924455404E-1,1.908721030E-1
2.237333750E-1,2.608001530E-1,-2.527556717E-1,1.338502169E-1
2.337433750E-1,1.416679025E-1,-1.403473914E-1,1.084372550E-1
2.437543750E-1,2.827355452E-2,2.766954154E-2,1.133888885E-1
2.537653750E-1,-5.787890777E-2,2.136007994E-1,1.316448599E-1
2.637763750E-1,-1.102579385E-1,3.680666685E-1,1.301495284E-1
2.737863750E-1,-1.402003914E-1,4.507250488E-1,1.005913690E-1
2.837973750E-1,-1.588467509E-1,4.534052610E-1,4.903361946E-2
2.938083750E-1,-1.891348809E-1,3.965329230E-1,-7.964152843E-3
3.038183750E-1,-2.323331833E-1,3.016434014E-1,-4.996560141E-2
3.138293750E-1,-2.796391845E-1,1.941076368E-1,-6.026617438E-2
3.238403750E-1,-3.176628947E-1,9.295703471E-2,-4.935223982E-2
3.338513750E-1,-3.263189793E-1,2.422137372E-2,-5.148117244E-2
3.438613750E-1,-2.903363407E-1,1.951665804E-2,-6.714296341E-2
3.538723750E-1,-2.564108670E-1,3.623172268E-2,-9.382650256E-2
3.638833750E-1,-2.649378777E-1,4.039274156E-2,-1.383422762E-1
3.738943750E-1,-3.088730872E-1,4.925121367E-2,-1.734312922E-1
3.839043750E-1,-3.709584773E-1,5.034055561E-2,-1.956406385E-1
3.939153750E-1,-4.264502227E-1,4.988195747E-2,-2.070048749E-1
