"Time (s)","X (hPa)"
-5.440306667E-1,1.005673294E3
4.621093333E-1,1.005675354E3
1.468278333E0,1.005677490E3
2.474419333E0,1.005679703E3
3.480520333E0,1.005679779E3
3.831141333E0,1.005680237E3
4.904280333E0,1.005680237E3
5.977400333E0,1.005679092E3
7.050543333E0,1.005677414E3
8.123714333E0,1.005674973E3
9.196915333E0,1.005672455E3
1.027005333E1,1.005670090E3
1.134320433E1,1.005668793E3
1.241635833E1,1.005668488E3
1.348946233E1,1.005668488E3
1.456258433E1,1.005669022E3
1.563575633E1,1.005669327E3
1.670886333E1,1.005669327E3
1.778202533E1,1.005669327E3
1.885516833E1,1.005670929E3
1.992832933E1,1.005672836E3
2.100146933E1,1.005674515E3
2.207463733E1,1.005676422E3
2.314777933E1,1.005678482E3
2.422092833E1,1.005679321E3
2.529410033E1,1.005679321E3
2.636727333E1,1.005678787E3
2.744043633E1,1.005677261E3
2.851356333E1,1.005674744E3
2.958669333E1,1.005672379E3
3.065983233E1,1.005670776E3
3.173295533E1,1.005669327E3
3.280612133E1,1.005669327E3
3.387925733E1,1.005669708E3
3.495242833E1,1.005670471E3
3.602560133E1,1.005670547E3
3.709878433E1,1.005670700E3
3.817198833E1,1.005670929E3
3.924522833E1,1.005670929E3
4.031844733E1,1.005670929E3
4.139163933E1,1.005671005E3
4.246481533E1,1.005673218E3
4.353801633E1,1.005674744E3
4.461116633E1,1.005676422E3
4.568434633E1,1.005677414E3
4.675749933E1,1.005677719E3
4.783067033E1,1.005677719E3
4.890385233E1,1.005676193E3
4.997696333E1,1.005673676E3
5.105007933E1,1.005671387E3
5.212322233E1,1.005668793E3
5.319636133E1,1.005666962E3
5.426944233E1,1.005666351E3
5.534258033E1,1.005666351E3
5.641570633E1,1.005666962E3
5.748884333E1,1.005667572E3
5.856195533E1,1.005667725E3
5.963511833E1,1.005667953E3
6.070827333E1,1.005668030E3
6.178137933E1,1.005668793E3
6.285449833E1,1.005669861E3
6.392766633E1,1.005671997E3
6.500079633E1,1.005673676E3
6.607397833E1,1.005675964E3
6.714712733E1,1.005677261E3
6.822023533E1,1.005677261E3
6.929339033E1,1.005675735E3
7.036653733E1,1.005673523E3
7.143967333E1,1.005672379E3
7.251276633E1,1.005670700E3
7.358588033E1,1.005670166E3
7.465901733E1,1.005670166E3
7.573211733E1,1.005671997E3
7.680523133E1,1.005673294E3
7.787836633E1,1.005673294E3
7.895153233E1,1.005672150E3
8.002466933E1,1.005671539E3
8.109778133E1,1.005669479E3
8.217091333E1,1.005667419E3
8.324406533E1,1.005666122E3
8.431721033E1,1.005666122E3
8.539031533E1,1.005666122E3
8.646343733E1,1.005666351E3
8.753659133E1,1.005666351E3
8.860975033E1,1.005666351E3
8.968289633E1,1.005666351E3
9.075605633E1,1.005667725E3
9.182922633E1,1.005668488E3
9.290241033E1,1.005670090E3
9.397559233E1,1.005670776E3
9.504872933E1,1.005670776E3
9.612187533E1,1.005670090E3
9.719504533E1,1.005669632E3
9.826821033E1,1.005668488E3
9.934133133E1,1.005667725E3
1.004144803E2,1.005667419E3
1.014876563E2,1.005667419E3
1.025608473E2,1.005667572E3
1.036340263E2,1.005667572E3
1.047072023E2,1.005668640E3
1.057803103E2,1.005669708E3
1.068533993E2,1.005670700E3
1.079264713E2,1.005672455E3
1.089995593E2,1.005674362E3
1.100726763E2,1.005674896E3
1.111458153E2,1.005676193E3
1.122189483E2,1.005676193E3
1.132920813E2,1.005675812E3
1.143651973E2,1.005675583E3
1.154382863E2,1.005675507E3
1.165114213E2,1.005674744E3
1.175845863E2,1.005674591E3
1.186577413E2,1.005673904E3
1.197309193E2,1.005673904E3
1.208040933E2,1.005673294E3
1.218772363E2,1.005673294E3
1.229503403E2,1.005672989E3
1.240235153E2,1.005672684E3
1.250967403E2,1.005672607E3
1.261699243E2,1.005671310E3
1.272430463E2,1.005670700E3
1.283161293E2,1.005670090E3
1.293892623E2,1.005669708E3
1.304624133E2,1.005666962E3
1.315355443E2,1.005666046E3
1.326087253E2,1.005665283E3
1.336818473E2,1.005663757E3
1.347550253E2,1.005660477E3
1.358282133E2,1.005660019E3
1.369014123E2,1.005658264E3
1.379746103E2,1.005656357E3
1.390477403E2,1.005655518E3
1.401208723E2,1.005655365E3
1.411940403E2,1.005655212E3
1.422672223E2,1.005654984E3
1.433404273E2,1.005654678E3
1.444135893E2,1.005654373E3
1.454867013E2,1.005654678E3
1.465598203E2,1.005654678E3
1.476329303E2,1.005656052E3
1.487060203E2,1.005657043E3
1.497791043E2,1.005658340E3
1.508522683E2,1.005658722E3
1.519254113E2,1.005658722E3
1.529985243E2,1.005657654E3
1.540716513E2,1.005656433E3
1.551447743E2,1.005655212E3
1.562179093E2,1.005654297E3
1.572910023E2,1.005654144E3
1.583641263E2,1.005653915E3
1.594371903E2,1.005653839E3
1.605102833E2,1.005653839E3
1.615833933E2,1.005653839E3
1.626564893E2,1.005653839E3
1.637295633E2,1.005655365E3
1.648026663E2,1.005656586E3
1.658757603E2,1.005658264E3
