"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.176192546E1,4.289807305E1,1.304197346E2,4.845952287E1,1.117678553E0,7.774327628E1,4.285411934E0,3.000000000E0
5.276187003E1,4.289807460E1,1.304197461E2,4.852666508E1,4.663747542E-1,NaN,4.211277339E0,3.502271832E0
5.376181662E1,4.289807692E1,1.304197443E2,4.847570262E1,2.905121018E-1,NaN,7.278391770E0,3.704119349E0
5.476176584E1,4.289807686E1,1.304197416E2,4.856414435E1,1.482491206E-1,NaN,9.302007476E0,4.008455128E0
5.576171768E1,4.289808054E1,1.304197418E2,4.853750447E1,2.014061241E-1,NaN,9.617670787E0,3.700055519E0
5.676167357E1,4.289807840E1,1.304197260E2,4.859284933E1,2.697832280E-1,NaN,1.070016495E1,3.759954347E0
5.776163042E1,4.289807222E1,1.304196920E2,4.872760119E1,8.687017204E-1,2.503249102E2,1.073971964E1,3.638705912E0
5.876158965E1,4.289806793E1,1.304196797E2,4.904666521E1,8.547877108E-1,2.330224449E2,1.080234588E1,3.983001441E0
5.976155031E1,4.289806742E1,1.304196795E2,4.902789310E1,3.051618586E-1,NaN,1.051992582E1,4.171316214E0
6.076151276E1,4.289807196E1,1.304196847E2,4.867851160E1,4.023132642E-1,3.417568854E2,1.012744287E1,4.098515785E0
