"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.507902500E-1,2.418888500E-3,-9.928538650E-2,1.719314307E-1
8.607962500E-1,5.100224912E-2,-8.774556965E-2,1.761265546E-1
8.708032500E-1,9.073874354E-2,-7.438874990E-2,1.683416069E-1
8.808092500E-1,1.193096638E-1,-4.654194415E-2,1.634706706E-1
8.908152500E-1,1.254993826E-1,-2.048131637E-2,1.637846678E-1
9.008222500E-1,1.033338457E-1,-1.116840169E-2,1.522934437E-1
9.108282500E-1,5.733332783E-2,-1.501533762E-2,1.289431155E-1
9.208352500E-1,-1.433152705E-3,-4.227975756E-2,1.031696349E-1
9.308412500E-1,-5.119271949E-2,-9.752064943E-2,7.937801629E-2
9.408472500E-1,-8.660110086E-2,-1.630713344E-1,6.013413891E-2
9.508542500E-1,-1.053340435E-1,-2.188019753E-1,4.885085672E-2
9.608602500E-1,-1.160938442E-1,-2.654060125E-1,4.335838556E-2
9.708662500E-1,-1.194552928E-1,-2.956611216E-1,4.499036819E-2
9.808732500E-1,-1.207450107E-1,-3.138506114E-1,4.503809661E-2
9.908792500E-1,-1.173960865E-1,-3.297552764E-1,5.027653277E-2
1.000885250E0,-1.091922745E-1,-3.538472056E-1,4.666798189E-2
1.010892250E0,-1.046033800E-1,-3.743357062E-1,3.280995786E-2
1.020898250E0,-1.147431508E-1,-3.644787073E-1,2.465325780E-2
1.030905250E0,-1.412139088E-1,-3.371450603E-1,3.841327876E-2
1.040911250E0,-1.646801382E-1,-2.994846702E-1,6.652326882E-2
1.050917250E0,-1.770103127E-1,-2.656406760E-1,1.094502285E-1
1.060924250E0,-1.580957323E-1,-2.491677105E-1,1.562222391E-1
1.070930250E0,-1.149077863E-1,-2.519456446E-1,1.804958880E-1
1.080936250E0,-6.541023403E-2,-2.834280729E-1,1.710606217E-1
1.090943250E0,-1.066922210E-2,-3.183775246E-1,1.291382015E-1
1.100949250E0,3.650255501E-2,-3.432376087E-1,6.612139940E-2
1.110956250E0,5.646241456E-2,-3.552681804E-1,-5.162371323E-3
1.120962250E0,5.419596285E-2,-3.316597939E-1,-5.461271480E-2
1.130968250E0,2.605327591E-2,-2.766420841E-1,-7.299757749E-2
1.140975250E0,-4.484135658E-3,-2.199141234E-1,-7.251333445E-2
1.150981208E0,-7.128121797E-3,-1.789693534E-1,-6.258799881E-2
1.160987208E0,1.072549447E-2,-1.624948978E-1,-4.653502256E-2
1.170994208E0,4.794583470E-2,-1.942030340E-1,-3.196114302E-2
1.181000208E0,1.177300811E-1,-2.310307771E-1,-3.046693280E-2
1.191006208E0,1.986635476E-1,-2.690050602E-1,-3.045947477E-2
1.201013208E0,2.570224702E-1,-3.386578560E-1,-4.531230405E-2
1.211019208E0,2.766036093E-1,-4.027279317E-1,-5.572872609E-2
1.221026208E0,2.625895441E-1,-4.499289989E-1,-4.848271236E-2
1.231032208E0,2.240013927E-1,-4.667010605E-1,-4.456626624E-2
1.241038208E0,1.774858832E-1,-4.465162456E-1,-6.008204445E-2
1.251045208E0,1.388162524E-1,-4.093973637E-1,-9.037337452E-2
1.261051208E0,8.233124018E-2,-3.871919215E-1,-1.582996100E-1
1.271057208E0,6.274550688E-3,-3.919307590E-1,-2.562266886E-1
1.281064208E0,-6.839089096E-2,-4.172624648E-1,-3.844473064E-1
1.291070208E0,-1.265442073E-1,-4.176858962E-1,-5.323166847E-1
1.301077208E0,-1.529729515E-1,-3.399353623E-1,-6.463710070E-1
1.311083208E0,-1.271389574E-1,-1.409972161E-1,-7.049999833E-1
1.321089208E0,-6.144078448E-2,1.289472580E-1,-6.930105686E-1
1.331096208E0,2.721957676E-2,3.749658167E-1,-6.225670576E-1
1.341102208E0,1.047462672E-1,5.357017517E-1,-5.238041282E-1
1.351108208E0,1.432846040E-1,6.025745273E-1,-4.259435534E-1
1.361115208E0,1.555381417E-1,5.818710923E-1,-3.181296885E-1
1.371121208E0,1.578540206E-1,4.736588597E-1,-2.176960260E-1
1.381127208E0,1.688749641E-1,2.981564701E-1,-1.356528997E-1
1.391134208E0,1.894433498E-1,8.401566744E-2,-6.067346036E-2
1.401140208E0,1.987787187E-1,-1.122361124E-1,-1.380506717E-2
1.411147208E0,1.714570820E-1,-2.170948833E-1,-2.217919566E-3
1.421153208E0,1.181120872E-1,-2.172448784E-1,-1.411201805E-2
1.431159208E0,7.561123371E-2,-1.606045067E-1,-5.465092137E-2
1.441166208E0,4.516959563E-2,-7.284432650E-2,-1.326726526E-1
1.451172208E0,3.547595441E-2,2.098922431E-2,-2.293392718E-1
1.461178208E0,2.077519521E-2,1.029016078E-1,-3.369551003E-1
1.471185208E0,-7.464164402E-3,1.554196775E-1,-4.417254627E-1
1.481191208E0,-3.773567080E-2,1.925109327E-1,-5.205253363E-1
1.491197208E0,-7.198072970E-2,2.271458656E-1,-5.710098147E-1
1.501204208E0,-1.194078997E-1,2.582475841E-1,-6.058439612E-1
1.511210208E0,-1.596653163E-1,2.815209627E-1,-6.209028363E-1
