"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.874666618E-3,-6.599052250E-2,-1.148785427E-1,5.311153829E-3
1.588266663E-2,-1.124447137E-1,-1.858277470E-1,3.934398666E-2
2.589066664E-2,-1.103693172E-1,-2.237572819E-1,1.226873472E-1
3.589866665E-2,-5.141701177E-2,-2.801170051E-1,1.511022002E-1
4.590766662E-2,5.745780841E-2,-3.101883531E-1,1.263433099E-1
5.591566663E-2,1.231569946E-1,-3.486198783E-1,9.966867417E-2
6.592366664E-2,1.423834264E-1,-3.737087250E-1,7.273107022E-2
7.593166665E-2,1.118778884E-1,-3.637779355E-1,5.934932083E-2
8.593966666E-2,4.235314205E-2,-3.081761897E-1,6.076505780E-2
9.594766662E-2,-3.714141622E-2,-2.111135423E-1,8.305145800E-2
1.059556666E-1,-1.058543622E-1,-7.979702950E-2,1.081427336E-1
1.159636666E-1,-1.507452279E-1,6.747768074E-2,1.407236457E-1
1.259716667E-1,-1.503881067E-1,2.345718592E-1,1.851433069E-1
1.359796667E-1,-1.219805181E-1,3.732588887E-1,2.259724140E-1
1.459876666E-1,-8.325522393E-2,4.619442821E-1,2.573641837E-1
1.559966666E-1,-5.362672359E-2,4.923191667E-1,2.800381780E-1
1.660046667E-1,-4.592805356E-2,4.587769210E-1,2.653274238E-1
1.760126667E-1,-6.679084152E-2,3.795687854E-1,2.308743596E-1
1.860206666E-1,-1.028806642E-1,2.737502158E-1,1.971821785E-1
1.960286666E-1,-1.537815928E-1,1.511344612E-1,1.788203418E-1
2.060366666E-1,-1.973338574E-1,2.938991226E-2,1.831442565E-1
2.160446667E-1,-2.137099653E-1,-7.373255491E-2,1.956406832E-1
2.260526667E-1,-2.042522728E-1,-1.511114985E-1,2.019776702E-1
2.360606666E-1,-1.791306734E-1,-2.031709701E-1,1.973778605E-1
2.460686666E-1,-1.412578672E-1,-2.251686752E-1,1.813783795E-1
2.560766666E-1,-1.078388169E-1,-2.263977230E-1,1.541280299E-1
2.660846667E-1,-9.192163497E-2,-2.132227868E-1,1.056502536E-1
2.760936666E-1,-1.018476337E-1,-1.842484623E-1,5.155544728E-2
2.861016666E-1,-1.379963160E-1,-1.489176303E-1,-1.999123488E-3
2.961096666E-1,-1.824229211E-1,-7.501521707E-2,-5.089674145E-2
3.061176667E-1,-2.334605455E-1,1.243713126E-2,-8.036940545E-2
3.161256667E-1,-2.695360780E-1,1.275211573E-1,-7.734654844E-2
3.261336666E-1,-2.771143913E-1,2.311633974E-1,-5.771585926E-2
3.361416666E-1,-2.525945306E-1,2.993592024E-1,-4.416830465E-2
3.461496666E-1,-2.082078904E-1,3.413908184E-1,-4.574596137E-2
3.561576667E-1,-1.587095410E-1,3.465764821E-1,-6.369312108E-2
3.661656667E-1,-1.164787412E-1,3.104864061E-1,-8.973244578E-2
3.761736666E-1,-8.647263795E-2,2.601830065E-1,-1.157115847E-1
3.861816666E-1,-6.950325519E-2,2.088827044E-1,-1.289775223E-1
3.961906667E-1,-6.595273316E-2,1.668313891E-1,-1.278635263E-1
4.061986667E-1,-7.215493172E-2,1.298677474E-1,-1.109842733E-1
4.162066666E-1,-9.128014743E-2,1.121746823E-1,-9.120094776E-2
4.262152083E-1,-1.222963855E-1,9.072797745E-2,-7.898956537E-2
4.362232083E-1,-1.653194577E-1,5.790689588E-2,-7.478401810E-2
4.462312083E-1,-2.013078183E-1,4.095747322E-2,-7.381942123E-2
4.562392083E-1,-2.248023748E-1,2.133738436E-2,-7.611151040E-2
4.662472083E-1,-2.321095467E-1,-1.357585751E-2,-8.501020074E-2
4.762552083E-1,-2.052857131E-1,-4.640049860E-2,-9.142290801E-2
4.862632083E-1,-1.585672051E-1,-7.912169397E-2,-1.028364226E-1
4.962712083E-1,-1.066275984E-1,-1.092240959E-1,-1.049941331E-1
5.062792083E-1,-6.675341725E-2,-1.569657922E-1,-1.052255556E-1
5.162882083E-1,-4.755122587E-2,-2.196488827E-1,-1.008172259E-1
5.262962083E-1,-4.068852589E-2,-2.927854061E-1,-9.438090026E-2
5.363042083E-1,-2.601947635E-2,-3.433662355E-1,-9.267614037E-2
5.463122083E-1,1.987877302E-2,-3.319364786E-1,-9.934203327E-2
5.563202083E-1,8.829321712E-2,-2.613483369E-1,-1.086821556E-1
5.663282083E-1,1.764907241E-1,-1.588552445E-1,-1.109421104E-1
5.763362083E-1,2.686988711E-1,-4.629360139E-2,-1.021317616E-1
5.863442083E-1,3.468285501E-1,4.319420084E-2,-8.941197395E-2
5.963522083E-1,3.994238079E-1,1.133253351E-1,-8.607967198E-2
6.063602083E-1,4.139681160E-1,1.115700454E-1,-9.694350511E-2
6.163682083E-1,3.774823546E-1,4.684166610E-2,-1.209595129E-1
6.263762083E-1,3.032065332E-1,-6.431813538E-2,-1.479296088E-1
6.363852083E-1,2.121408135E-1,-1.864662617E-1,-1.823874414E-1
6.463932083E-1,1.283199489E-1,-2.818449736E-1,-2.245993465E-1
6.564012083E-1,5.952972919E-2,-3.298240900E-1,-2.759085596E-1
6.664092083E-1,-1.191674266E-3,-3.251529038E-1,-3.263054192E-1
6.764172083E-1,-7.038144022E-2,-2.680227757E-1,-3.661485016E-1
6.864252083E-1,-1.645537615E-1,-1.985254884E-1,-3.922168612E-1
6.964332083E-1,-2.640918791E-1,-1.406010985E-1,-4.045281410E-1
7.064412083E-1,-3.518920541E-1,-1.007114723E-1,-4.067271054E-1
7.164492083E-1,-4.022856653E-1,-6.731198728E-2,-3.933440149E-1
7.264572083E-1,-3.971599042E-1,-2.815339528E-2,-3.541668057E-1
7.364652083E-1,-3.172212839E-1,2.218560688E-2,-2.967117429E-1
7.464732083E-1,-1.652727723E-1,8.967836946E-2,-2.145548314E-1
7.564812083E-1,3.281976655E-2,1.551203430E-1,-1.142983586E-1
7.664902083E-1,2.390251309E-1,2.224370688E-1,-1.494673826E-2
7.764982083E-1,4.312244058E-1,2.802938521E-1,7.479294389E-2
7.865062083E-1,5.700054765E-1,2.933662236E-1,1.396512985E-1
7.965142083E-1,6.370632648E-1,2.486083508E-1,1.723217517E-1
8.065222083E-1,6.561014056E-1,1.580171883E-1,1.826124638E-1
8.165302083E-1,6.417711973E-1,3.912966698E-2,1.750379503E-1
8.265382083E-1,6.072521210E-1,-8.988583833E-2,1.504404545E-1
8.365462083E-1,5.653331876E-1,-2.244184613E-1,1.073886380E-1
8.465542083E-1,5.175579786E-1,-3.480099142E-1,4.526535049E-2
8.565622083E-1,4.540632665E-1,-4.483588338E-1,-1.739601791E-2
8.665702083E-1,3.688106835E-1,-5.132206082E-1,-8.165623248E-2
8.765782083E-1,2.680786848E-1,-5.382589102E-1,-1.475112438E-1
8.865862083E-1,1.551092714E-1,-5.134515762E-1,-2.147597969E-1
8.965952083E-1,5.301759765E-2,-4.550817013E-1,-2.707783580E-1
9.066032083E-1,-3.345470876E-2,-3.752822280E-1,-3.191003501E-1
9.166112083E-1,-8.804352582E-2,-2.766905725E-1,-3.579837978E-1
9.266192083E-1,-1.149747446E-1,-1.877314299E-1,-3.850998282E-1
9.366272083E-1,-1.157182306E-1,-9.369462729E-2,-3.929900527E-1
