"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767950224620070E9,"2026-01-09 17:17:04.620 UTC+08:00"
"PAUSE",1.733282689166663E2,1.767950397945814E9,"2026-01-09 17:19:57.946 UTC+08:00"
