"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745145622093901E9,"2025-04-20 18:40:22.094 UTC+08:00"
"PAUSE",2.831635093333316E2,1.745145905257449E9,"2025-04-20 18:45:05.257 UTC+08:00"
