"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.162179167E-2,4.147604565E-2,5.010127529E-1,-3.138183099E-1
2.163079169E-2,-2.155076296E-2,5.378630023E-1,-2.605700558E-1
3.163979168E-2,-1.114068811E-1,5.538146451E-1,-1.440145826E-1
4.164879167E-2,6.179733559E-2,7.216280533E-1,-1.866548181E-1
5.165779169E-2,5.693272169E-2,8.128500261E-1,-2.136239308E-1
6.166679168E-2,-1.233350548E-1,6.695368170E-1,-2.554250908E-1
7.167579167E-2,-2.882954329E-1,6.267854845E-1,-3.668198115E-1
8.168479169E-2,-1.795078395E-1,6.012623882E-1,-3.096790659E-1
9.169279167E-2,9.712033702E-1,1.068283230E0,5.350500530E-1
1.017017917E-1,8.193705487E-1,9.590818729E-1,3.960997438E-1
1.117107917E-1,2.451028183E-1,7.764568097E-1,1.999958253E-1
1.217197917E-1,4.785453566E-2,5.052254525E-1,-2.010892546E-1
1.317287917E-1,-6.977106937E-2,4.595697349E-1,-4.847885567E-1
1.417377917E-1,2.673424655E-3,4.698864160E-1,-5.422082144E-1
1.517467917E-1,1.136201161E-1,4.591832339E-1,-6.094722444E-1
1.617557917E-1,1.611658731E-1,4.781922396E-1,-8.778553498E-1
1.717637917E-1,1.684287545E-1,4.790761925E-1,-1.091495653E0
1.817727917E-1,1.292769314E-1,3.765606149E-1,-1.154764280E0
1.917817917E-1,4.506100098E-2,2.870235904E-1,-9.767183179E-1
2.017907917E-1,-1.507322660E-2,1.851015783E-1,-6.264455420E-1
2.117997917E-1,-6.601251113E-2,1.022323530E-1,-3.266488552E-1
2.218087917E-1,-7.754265851E-2,8.717474945E-2,-1.259893709E-1
2.318177917E-1,-1.507524206E-1,7.043161288E-2,-2.622885525E-2
2.418267917E-1,-2.762883217E-1,7.023207664E-2,5.647825599E-3
2.518347917E-1,-3.799692858E-1,7.054168671E-2,-4.449146390E-3
2.618437917E-1,-4.563205468E-1,1.688610099E-2,2.494597614E-2
2.718527917E-1,-5.361109572E-1,-1.558875002E-2,7.757384062E-2
2.818617917E-1,-5.773137643E-1,-1.000897139E-1,2.624487662E-1
2.918707917E-1,-6.203680191E-1,-1.779601546E-1,5.169669539E-1
3.018797917E-1,-6.194151422E-1,-1.196723315E-1,7.417321694E-1
3.118887917E-1,-5.229378381E-1,4.371685401E-2,7.781749409E-1
3.218977917E-1,-3.846974541E-1,2.097571671E-1,7.604245484E-1
3.319057917E-1,-2.738866875E-1,3.091702120E-1,7.894939810E-1
3.419147917E-1,-2.753354814E-1,4.742152559E-1,4.727731133E-1
3.519237917E-1,-3.293330561E-1,6.623374327E-1,-4.410730183E-2
3.619327917E-1,-4.360432434E-1,7.937449068E-1,-5.060162884E-1
3.719417917E-1,-5.246776406E-1,9.334911682E-1,-8.709556353E-1
3.819507917E-1,-5.154571297E-1,1.038252223E0,-1.018548714E0
3.919597917E-1,-4.820097405E-1,1.086404994E0,-8.168577808E-1
4.019687917E-1,-4.206107602E-1,1.101139831E0,-4.559547669E-1
4.119767917E-1,-3.258378829E-1,1.151648957E0,-1.593939292E-1
4.219857917E-1,-1.916314929E-1,1.244091609E0,-2.797834218E-2
4.319947917E-1,-6.025420513E-2,1.339414234E0,-6.406618774E-2
4.420037917E-1,-7.981076606E-2,1.397000976E0,-1.742487806E-1
4.520127917E-1,-2.550620152E-1,1.408712072E0,-1.848930520E-1
4.620217917E-1,-3.769261025E-1,1.337609345E0,-5.419316411E-2
4.720307917E-1,-4.466493982E-1,1.257653787E0,1.824594408E-1
4.820387917E-1,-5.309684772E-1,1.274456054E0,3.969855970E-1
4.920477917E-1,-5.316720434E-1,1.331093208E0,5.557556283E-1
5.020567917E-1,-5.191535202E-1,1.355596842E0,7.457123691E-1
5.120652917E-1,-5.457715076E-1,1.382830541E0,8.753369540E-1
5.220742917E-1,-5.489698249E-1,1.507503996E0,5.885766345E-1
5.320832917E-1,-6.079118783E-1,1.615138080E0,1.434941804E-1
5.420922917E-1,-7.515603887E-1,1.697395395E0,-1.734640843E-1
5.521002917E-1,-8.304079722E-1,1.756652978E0,-3.276832277E-1
5.621092917E-1,-8.566832397E-1,1.794585474E0,-3.797579455E-1
5.721182917E-1,-8.927379754E-1,1.740523434E0,-2.087993932E-1
5.821272917E-1,-9.319086193E-1,1.645570060E0,7.230140626E-2
5.921362917E-1,-9.377350773E-1,1.577199299E0,3.003855014E-1
6.021452917E-1,-9.318695891E-1,1.529706898E0,4.920449513E-1
6.121542917E-1,-9.490892006E-1,1.432919545E0,7.817832577E-1
6.221622917E-1,-9.018214788E-1,1.405182547E0,9.789361668E-1
6.321712917E-1,-8.411302308E-1,1.427313088E0,1.082706703E0
6.421802917E-1,-8.266365181E-1,1.402323843E0,1.233091242E0
6.521892917E-1,-8.486070655E-1,1.393021361E0,1.272972761E0
6.621982917E-1,-8.349533784E-1,1.434326093E0,1.097633475E0
6.722072917E-1,-8.039247631E-1,1.472422749E0,9.178082049E-1
6.822162917E-1,-7.485730463E-1,1.441819884E0,7.698759878E-1
6.922242917E-1,-6.367661700E-1,1.405294521E0,7.365041739E-1
7.022332917E-1,-5.837325087E-1,1.266292171E0,7.184918261E-1
7.122422917E-1,-6.128210179E-1,1.196909037E0,6.195043123E-1
7.222512917E-1,-5.179076612E-1,1.178689479E0,6.105305904E-1
7.322602917E-1,-3.799471395E-1,1.122623671E0,7.267247057E-1
7.422692917E-1,-2.145779771E-1,1.134595918E0,8.335515815E-1
7.522772917E-1,8.503839612E-2,1.066428712E0,1.255859131E0
7.622862917E-1,2.847835951E-1,1.001103619E0,1.495819505E0
7.722952917E-1,2.619122294E-1,9.299228317E-1,1.469799981E0
7.823042917E-1,8.247976419E-2,8.467582490E-1,1.356193843E0
7.923132917E-1,-1.226137551E-1,7.005878710E-1,1.179005082E0
8.023222917E-1,-1.954603228E-1,5.042308411E-1,9.729182124E-1
8.123302917E-1,-2.153566070E-1,3.153537156E-1,7.558607966E-1
8.223392917E-1,-2.204738343E-1,7.033886142E-2,6.124970090E-1
8.323482917E-1,-2.188185972E-1,-1.802859577E-1,4.647296834E-1
8.423572917E-1,-2.207153791E-1,-3.032560457E-1,3.585278749E-1
8.523662917E-1,-2.319222440E-1,-3.961889139E-1,3.154982150E-1
8.623752917E-1,-2.599885502E-1,-5.160017247E-1,3.759911692E-1
8.723832917E-1,-3.151877644E-1,-6.429614411E-1,4.764936966E-1
8.823922917E-1,-3.704500553E-1,-8.581328376E-1,5.273714894E-1
8.924012917E-1,-4.557035924E-1,-9.846119859E-1,5.487389696E-1
9.024102917E-1,-4.789891786E-1,-1.000551496E0,3.966061127E-1
9.124192917E-1,-4.097431983E-1,-1.009530480E0,1.250234109E-1
9.224282917E-1,-3.869772469E-1,-9.789724926E-1,-2.298008376E-1
9.324372917E-1,-3.687323626E-1,-9.617528810E-1,-6.252573878E-1
9.424452917E-1,-3.555019408E-1,-8.804413540E-1,-1.036037151E0
9.524542917E-1,-2.955743758E-1,-7.674612339E-1,-1.464060938E0
9.624632917E-1,-2.309684535E-1,-6.741716125E-1,-1.816037008E0
9.724722917E-1,-1.340989840E-1,-5.607021535E-1,-2.210633433E0
9.824812917E-1,1.384891100E-2,-3.836240514E-1,-2.483903641E0
9.924892917E-1,1.777508973E-1,-3.269301063E-1,-2.401213487E0
1.002498292E0,3.716539970E-1,-3.259062223E-1,-1.933372500E0
1.012507292E0,5.942067723E-1,-3.202024827E-1,-1.182305251E0
1.022516292E0,7.628102124E-1,-3.946346509E-1,-5.720646822E-1
1.032525292E0,7.641602614E-1,-4.842590548E-1,-2.913644171E-1
1.042534292E0,6.087025315E-1,-5.984368308E-1,-3.128371471E-1
1.052542292E0,3.708467158E-1,-6.686301331E-1,-5.146327454E-1
1.062551292E0,2.213455445E-1,-6.800413399E-1,-6.822624779E-1
1.072560292E0,1.684052195E-1,-6.091242620E-1,-6.233956343E-1
1.082569292E0,1.724819713E-1,-5.665933695E-1,-4.146067661E-1
1.092578292E0,2.013615887E-1,-5.314453176E-1,-1.032361007E-1
1.102587292E0,2.352835525E-1,-5.326150531E-1,3.652410632E-1
1.112595292E0,2.271781421E-1,-5.626072495E-1,7.343833888E-1
1.122604292E0,2.315098326E-1,-5.249634598E-1,8.932405436E-1
1.132613292E0,2.266007296E-1,-4.472766218E-1,8.103428131E-1
1.142622292E0,1.301484954E-1,-3.198570950E-1,4.332956368E-1
1.152631292E0,-2.649760790E-2,-1.886016485E-1,-1.318243074E-1
1.162639292E0,-1.042379480E-1,-6.869382039E-3,-6.809743363E-1
1.172648292E0,-1.492878941E-1,1.710064995E-1,-1.050432411E0
1.182657292E0,-7.130043603E-2,2.897274160E-1,-1.150473593E0
1.192666292E0,3.017879561E-2,4.303732715E-1,-1.145996380E0
1.202675292E0,1.255085836E-1,5.359118595E-1,-1.095054853E0
