"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.010708333E-3,2.203657887E-1,2.348073699E-1,-2.182987797E-1
1.401670834E-2,3.056085450E-1,3.121161123E-1,-4.790962923E-1
2.402270833E-2,4.085487949E-1,3.730979669E-1,-2.912123895E-1
3.402870834E-2,4.717677576E-1,4.977652824E-1,-1.474726260E-2
4.403470833E-2,3.897717409E-1,6.765539874E-1,5.004573405E-2
5.403970833E-2,2.490874582E-1,7.669372503E-1,3.196146548E-2
6.404570834E-2,1.885441996E-1,6.108812041E-1,1.796714884E-1
7.405170833E-2,1.489680331E-1,2.680343190E-1,5.769564629E-2
8.405770834E-2,9.950435283E-2,1.439088211E-1,3.321487463E-1
9.406370833E-2,1.128006837E-1,1.307017151E-1,5.373398226E-1
1.040697083E-1,1.124916583E-1,3.216787219E-2,5.199659908E-1
1.140757083E-1,5.223230034E-2,-1.141627926E-1,4.820830500E-1
1.240817083E-1,-1.607289948E-3,-1.659337476E-1,3.442875659E-1
1.340877083E-1,5.307808181E-2,-7.390792876E-2,1.072870517E-1
1.440927083E-1,1.333038357E-1,4.801221862E-2,-1.301157510E-1
1.540987083E-1,1.791965118E-1,1.520385705E-1,-3.988543671E-1
1.641047083E-1,1.613370869E-1,2.099950026E-1,-6.764339733E-1
1.741107083E-1,3.495313855E-2,2.057454655E-1,-8.159362596E-1
1.841167083E-1,3.401032984E-3,1.002968515E-1,-7.124247551E-1
1.941227083E-1,3.486099008E-2,3.484311953E-2,-4.613008761E-1
2.041287083E-1,5.527040396E-2,3.801026389E-2,-3.295017117E-1
2.141337083E-1,9.112099875E-2,5.105057806E-3,-2.230549049E-1
2.241397083E-1,1.905954211E-1,7.234043643E-2,-2.217778730E-1
2.341457083E-1,2.487229757E-1,1.964757284E-1,-3.365540385E-1
2.441517083E-1,1.888544127E-1,2.604333772E-1,-4.880717683E-1
2.541577083E-1,1.640209772E-1,2.930158900E-1,-5.231176400E-1
2.641637083E-1,1.789819190E-1,3.785398243E-1,-4.615400273E-1
2.741697083E-1,2.052110483E-1,5.403453646E-1,-5.353482610E-1
2.841757083E-1,2.049537160E-1,6.592454251E-1,-5.193561262E-1
2.941817083E-1,1.187391707E-1,6.807714379E-1,-5.953997505E-1
3.041867083E-1,-3.534038868E-2,6.684729892E-1,-7.225509632E-1
3.141927083E-1,-1.534220034E-1,6.644338057E-1,-8.105498046E-1
3.241987083E-1,-2.093255695E-1,5.674702325E-1,-6.591051650E-1
3.342047083E-1,-1.937268061E-1,4.504387229E-1,-2.656746751E-1
3.442107083E-1,-8.228172630E-2,4.449802740E-1,1.483011764E-1
3.542167083E-1,9.610311884E-2,5.283851042E-1,4.366045761E-1
3.642227083E-1,1.698739669E-1,6.162943371E-1,5.140012461E-1
3.742287083E-1,6.409619126E-2,7.551433432E-1,2.355001187E-1
3.842337083E-1,-1.193963429E-1,8.234443769E-1,-1.056632799E-1
3.942397083E-1,-2.734806166E-1,8.303047688E-1,-3.990677905E-1
4.042457083E-1,-4.501159200E-1,8.667384772E-1,-6.821396863E-1
4.142517083E-1,-6.391442326E-1,8.715165295E-1,-8.246860331E-1
4.242577083E-1,-7.299400896E-1,8.249415565E-1,-8.856093425E-1
4.342637083E-1,-7.174676131E-1,8.466068061E-1,-8.728618276E-1
4.442697083E-1,-6.040662377E-1,1.035031503E0,-7.218709320E-1
4.542757083E-1,-3.887735846E-1,1.230597990E0,-5.978052950E-1
4.642807083E-1,-2.309471294E-1,1.448142771E0,-5.860523915E-1
4.742867083E-1,-1.785942486E-1,1.569531845E0,-6.853965855E-1
4.842927083E-1,-1.711604458E-1,1.597717909E0,-6.964536703E-1
4.942987083E-1,-1.122107910E-1,1.583403341E0,-6.076467437E-1
5.043047083E-1,2.576411124E-2,1.576909569E0,-2.631755751E-1
5.143107083E-1,1.886277783E-1,1.537669197E0,2.152500415E-1
5.243167083E-1,3.099848022E-1,1.472037710E0,6.644214535E-1
5.343227083E-1,4.434694266E-1,1.500295988E0,9.525394964E-1
5.443277083E-1,5.041933093E-1,1.631317180E0,1.037411832E0
5.543337083E-1,5.111757984E-1,1.750858972E0,8.412400854E-1
5.643397083E-1,4.401311050E-1,1.861572492E0,3.825207549E-1
5.743457083E-1,2.453782587E-1,1.939101894E0,-1.674239105E-1
5.843517083E-1,6.753767967E-2,1.909529309E0,-3.624794233E-1
5.943577083E-1,-8.723705884E-2,1.794825502E0,-4.800862259E-1
6.043637083E-1,-2.909874178E-1,1.710057686E0,-5.628389454E-1
6.143697083E-1,-5.397526396E-1,1.602890210E0,-4.747097111E-1
6.243747083E-1,-6.271058388E-1,1.596774900E0,-4.896844304E-1
6.343807083E-1,-6.309307218E-1,1.731721620E0,-4.649793595E-1
6.443867083E-1,-5.621067644E-1,1.885693426E0,-3.628746951E-1
6.543927083E-1,-5.093040681E-1,1.948596603E0,-2.240179414E-1
6.643987083E-1,-5.784179744E-1,1.951578829E0,-3.306132674E-2
6.744047083E-1,-6.473253644E-1,1.919998164E0,1.867150444E-1
6.844107083E-1,-6.216699748E-1,1.887311643E0,3.951343685E-1
6.944167083E-1,-5.961857624E-1,1.849138973E0,6.334896827E-1
7.044217083E-1,-5.433546341E-1,1.773040531E0,1.010190119E0
7.144277083E-1,-4.673713093E-1,1.751106602E0,1.252980546E0
7.244337083E-1,-4.654442862E-1,1.819614335E0,1.259045863E0
7.344397083E-1,-4.547350742E-1,1.840743833E0,1.063122039E0
7.444457083E-1,-4.318207863E-1,1.798312343E0,8.080431032E-1
7.544517083E-1,-4.736320692E-1,1.665350752E0,6.890762383E-1
7.644577083E-1,-5.008508946E-1,1.451005275E0,6.885219222E-1
7.744637083E-1,-5.648768097E-1,1.280489065E0,7.374379742E-1
7.844687083E-1,-6.002491753E-1,1.261222343E0,7.604695719E-1
7.944746667E-1,-6.056228396E-1,1.149861536E0,9.539621240E-1
8.044806667E-1,-5.182861954E-1,1.052710194E0,1.263508458E0
8.144866667E-1,-4.132502486E-1,9.945157805E-1,1.420419660E0
8.244926667E-1,-2.979380031E-1,8.749042600E-1,1.325504147E0
8.344986667E-1,-2.340121120E-1,7.127422589E-1,1.019862583E0
8.445046667E-1,-2.375265810E-1,5.476038057E-1,8.474650311E-1
8.545106667E-1,-2.519168345E-1,4.221562524E-1,8.663784349E-1
8.645156667E-1,-2.770056289E-1,3.555698051E-1,8.394941068E-1
