"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767956844311127E9,"2026-01-09 19:07:24.311 UTC+08:00"
"PAUSE",1.583349739999976E2,1.767957002643745E9,"2026-01-09 19:10:02.644 UTC+08:00"
