"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745147197447725E9,"2025-04-20 19:06:37.448 UTC+08:00"
"PAUSE",2.540658856666996E2,1.745147451510118E9,"2025-04-20 19:10:51.510 UTC+08:00"
