"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.505416669E-3,4.006734118E-2,3.926240280E-2,1.481139511E-1
1.451341668E-2,-2.942252159E-2,2.206020951E-1,1.475690752E-1
2.452141666E-2,-1.182692349E-1,3.640176654E-1,1.093434617E-1
3.452941668E-2,-2.021960914E-1,4.475226700E-1,4.000008106E-2
4.453741666E-2,-2.816205025E-1,5.084429979E-1,-3.896025941E-2
5.454541667E-2,-3.330839574E-1,5.287309885E-1,-9.916713834E-2
6.455341668E-2,-3.592076600E-1,5.116648078E-1,-1.168367714E-1
7.456241667E-2,-3.572781980E-1,4.749789536E-1,-1.156569943E-1
8.456941668E-2,-3.286707699E-1,3.948802650E-1,-4.612148181E-2
9.457741666E-2,-2.413755506E-1,2.532810271E-1,-4.951648042E-2
1.045864167E-1,-9.624964744E-2,1.440793425E-1,-1.124225706E-1
1.145934167E-1,7.835038751E-2,9.532059729E-2,-1.132619977E-1
1.246024167E-1,2.582618296E-1,3.564421460E-2,-9.963566810E-2
1.346104167E-1,3.915450275E-1,-1.739743166E-2,-9.116069227E-2
1.446174167E-1,4.558954537E-1,-6.120394915E-2,-8.832015842E-2
1.546264167E-1,4.628015757E-1,-8.812876791E-2,-8.161591738E-2
1.646344167E-1,4.205050766E-1,-1.140380874E-1,-6.893011928E-2
1.746414167E-1,3.507480919E-1,-1.473137438E-1,-6.088497490E-2
1.846504167E-1,2.625308633E-1,-1.792721897E-1,-5.282799527E-2
1.946584167E-1,1.671814620E-1,-2.251683176E-1,-5.650369078E-2
2.046664167E-1,1.024990976E-1,-2.641786337E-1,-6.381846219E-2
2.146744167E-1,6.525478512E-2,-2.916304767E-1,-6.330633909E-2
2.246814167E-1,5.831868201E-2,-3.225383759E-1,-8.531853557E-2
2.346894167E-1,8.274678886E-2,-3.470064104E-1,-1.177704856E-1
2.446984167E-1,1.128990427E-1,-3.658334315E-1,-1.383471191E-1
2.547054167E-1,1.164205372E-1,-3.868556321E-1,-1.516759694E-1
2.647134167E-1,7.545839995E-2,-4.047200978E-1,-1.568055302E-1
2.747214167E-1,1.467528753E-3,-3.834443688E-1,-1.442394108E-1
