"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745145294265010E9,"2025-04-20 18:34:54.265 UTC+08:00"
"PAUSE",2.253266813750088E2,1.745145519591376E9,"2025-04-20 18:38:39.591 UTC+08:00"
