"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767947623393807E9,"2026-01-09 16:33:43.394 UTC+08:00"
"PAUSE",1.961329775416671E2,1.767947819523696E9,"2026-01-09 16:36:59.524 UTC+08:00"
