"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.404970169E-3,4.290005688E1,1.304216073E2,5.142811273E1,NaN,NaN,2.887848835E1,3.000000000E1
1.168203354E-2,4.290005440E1,1.304216077E2,5.145677290E1,NaN,NaN,2.899987404E1,3.000000000E1
1.168203354E-2,4.290005440E1,1.304216077E2,5.145677290E1,NaN,NaN,2.899987404E1,3.000000000E1
5.948698521E-2,4.290005441E1,1.304216077E2,5.145751867E1,NaN,NaN,2.909766975E1,3.000000003E1
3.779525995E0,4.290009069E1,1.304215747E2,5.109521945E1,NaN,NaN,3.459634147E1,3.000000000E1
5.508298993E0,4.290019156E1,1.304216353E2,5.109568865E1,NaN,NaN,3.745735288E1,3.000030639E1
5.510161996E0,4.290019156E1,1.304216353E2,5.109568865E1,NaN,NaN,3.745735288E1,3.000030639E1
9.721457005E0,4.290003583E1,1.304216601E2,5.145909069E1,NaN,NaN,3.078697958E1,3.000000000E1
1.572352397E1,4.290007606E1,1.304217072E2,5.186397794E1,NaN,NaN,3.213893602E1,3.000000000E1
2.171538603E1,4.290001221E1,1.304216593E2,5.173350015E1,NaN,NaN,3.216579337E1,3.000000000E1
2.771665704E1,4.290019156E1,1.304216353E2,5.202983815E1,NaN,NaN,3.745735288E1,3.000000000E1
3.371773100E1,4.290000136E1,1.304217625E2,5.206494294E1,NaN,NaN,3.483023468E1,3.000000000E1
3.971761405E1,4.290002213E1,1.304217515E2,5.208501184E1,NaN,NaN,3.482961919E1,3.000000000E1
4.571337998E1,4.290000258E1,1.304217627E2,5.170300002E1,NaN,NaN,3.482956159E1,3.000000000E1
5.171494603E1,4.290000167E1,1.304217829E2,5.170476393E1,NaN,NaN,3.433766196E1,3.000000000E1
5.771549499E1,4.290003046E1,1.304217761E2,5.159744900E1,NaN,NaN,2.659709216E1,3.000000000E1
6.371624196E1,4.290011793E1,1.304217264E2,5.168283064E1,NaN,NaN,2.791228303E1,3.000000000E1
6.972011697E1,4.290019156E1,1.304216353E2,5.352032072E1,NaN,NaN,3.745735288E1,3.001599786E1
6.972841406E1,4.290004810E1,1.304217483E2,5.164641326E1,NaN,NaN,2.790689696E1,3.000000000E1
7.179329395E1,4.290019156E1,1.304216353E2,5.164449065E1,NaN,NaN,3.745735288E1,3.000214270E1
7.179903102E1,4.290019156E1,1.304216353E2,5.164449065E1,NaN,NaN,3.745735288E1,3.000214270E1
7.383922195E1,4.290019156E1,1.304216353E2,5.164665549E1,NaN,NaN,3.745735288E1,3.000223325E1
7.384470105E1,4.290019156E1,1.304216353E2,5.164665549E1,NaN,NaN,3.745735288E1,3.000223325E1
7.571248496E1,4.290019156E1,1.304216353E2,5.166690514E1,NaN,NaN,3.745735288E1,3.000000000E1
8.187857795E1,4.290006262E1,1.304217351E2,5.163773811E1,NaN,NaN,2.742477847E1,3.000000000E1
8.771532798E1,4.290009605E1,1.304217475E2,5.163756443E1,NaN,NaN,2.822902146E1,3.000000000E1
9.371525002E1,4.290007940E1,1.304217588E2,5.165633830E1,NaN,NaN,3.482925012E1,3.000000000E1
1.006742210E2,4.289999679E1,1.304217594E2,5.191568882E1,NaN,NaN,3.487198248E1,3.000000000E1
1.067041460E2,4.290002892E1,1.304217040E2,5.189577135E1,NaN,NaN,3.411502841E1,3.000000000E1
1.127041670E2,4.289998711E1,1.304217261E2,5.142303310E1,NaN,NaN,3.482947529E1,3.000000000E1
1.188828330E2,4.290003340E1,1.304216168E2,5.165437542E1,NaN,NaN,3.620671474E1,3.000000000E1
1.209886971E2,4.290003729E1,1.304216196E2,5.165555798E1,NaN,NaN,3.745340698E1,3.000006594E1
1.209915071E2,4.290003729E1,1.304216196E2,5.165555798E1,NaN,NaN,3.745341009E1,3.000006594E1
1.222808924E2,4.290001803E1,1.304216497E2,5.741907637E1,NaN,NaN,3.235400497E1,3.000000000E0
1.232808764E2,4.290002316E1,1.304216609E2,5.982317507E1,1.552093506E0,NaN,3.237050393E1,6.073348236E1
1.242808586E2,4.290003867E1,1.304216619E2,5.079994245E1,1.552093506E0,NaN,3.225036882E1,3.000000000E0
1.252808421E2,4.290007171E1,1.304215041E2,5.072550416E1,7.262109518E-1,NaN,2.313491733E1,3.000000000E0
1.262808254E2,4.290006931E1,1.304214905E2,5.070051584E1,3.840057850E-1,NaN,2.322191234E1,3.000000000E0
1.274328078E2,4.290005865E1,1.304213836E2,5.067697027E1,4.869144410E-2,NaN,1.967038148E1,3.000000000E0
1.284349915E2,4.290005513E1,1.304213693E2,5.069182962E1,4.493457079E-2,NaN,1.929148677E1,3.000000000E0
1.294350015E2,4.290004591E1,1.304213631E2,5.070087120E1,4.859428108E-2,NaN,1.886071197E1,3.000000000E0
1.304349959E2,4.290004534E1,1.304213436E2,5.069480558E1,1.648847386E-2,NaN,1.724247648E1,3.000000000E0
1.314349649E2,4.290004503E1,1.304213339E2,5.066634832E1,4.990644380E-2,NaN,1.665984814E1,3.000000000E0
1.324349545E2,4.290007119E1,1.304213439E2,5.064166820E1,4.563244432E-2,NaN,1.504418790E1,3.000000000E0
1.334349452E2,4.290007209E1,1.304213298E2,5.063408426E1,1.780473143E-1,NaN,1.278189201E1,3.000000000E0
1.344349126E2,4.290007209E1,1.304213298E2,5.063408430E1,1.780473143E-1,NaN,1.278189451E1,3.000000000E0
1.354349058E2,4.290006257E1,1.304213225E2,5.067230742E1,1.921975762E-1,NaN,1.225421182E1,3.000000000E0
1.364348997E2,4.290004344E1,1.304213121E2,5.075182234E1,1.921975762E-1,NaN,1.040690688E1,3.000000000E0
1.374348707E2,4.290004589E1,1.304213013E2,5.073995117E1,5.306032896E-1,1.096779618E-15,1.073424412E1,3.000000000E0
1.384348681E2,4.290004408E1,1.304212995E2,5.067906755E1,5.306032896E-1,3.600000000E2,1.053898264E1,3.000000000E0
1.394348652E2,4.290001908E1,1.304213307E2,5.065370590E1,1.903241575E-1,NaN,1.000505785E1,3.000000000E0
1.404348381E2,4.290001705E1,1.304213245E2,5.067083982E1,1.465742290E-1,NaN,1.055273902E1,3.000000000E0
1.414348308E2,4.290001691E1,1.304213183E2,5.067083982E1,0.000000000E0,NaN,1.023754232E1,3.000000000E0
1.424347982E2,4.290001677E1,1.304213123E2,5.067083982E1,0.000000000E0,1.051578988E-5,1.059573911E1,3.000000000E0
1.434347715E2,4.290001676E1,1.304213119E2,5.067083982E1,0.000000000E0,1.051578988E-5,1.052072889E1,3.000000000E0
1.444347447E2,4.290001675E1,1.304213114E2,5.067083982E1,0.000000000E0,1.051578988E-5,1.042142662E1,3.000000000E0
1.454347196E2,4.290002796E1,1.304213379E2,5.067083982E1,0.000000000E0,NaN,9.739265256E0,3.000000000E0
1.464346937E2,4.290002610E1,1.304213301E2,5.067083982E1,0.000000000E0,3.333064638E-5,8.935541535E0,3.000000000E0
1.474346697E2,4.290001623E1,1.304212888E2,5.067083982E1,0.000000000E0,3.333064638E-5,1.092389046E1,3.000000000E0
