"Time (s)","X (hPa)"
-5.626756667E-1,1.002659836E3
4.425993333E-1,1.002663574E3
1.447914333E0,1.002667389E3
2.453205333E0,1.002671432E3
3.458511333E0,1.002671890E3
3.810237333E0,1.002671890E3
4.882540333E0,1.002670288E3
5.954904333E0,1.002667694E3
7.027262333E0,1.002665863E3
8.099629333E0,1.002663651E3
9.171979333E0,1.002663574E3
1.024432633E1,1.002663574E3
1.131667933E1,1.002664185E3
1.238907933E1,1.002664719E3
1.346142633E1,1.002665100E3
1.453376833E1,1.002665939E3
1.560617333E1,1.002666397E3
1.667857433E1,1.002666702E3
1.775098433E1,1.002667313E3
1.882337333E1,1.002667542E3
1.989573333E1,1.002668610E3
2.096808133E1,1.002670593E3
2.204047633E1,1.002673111E3
2.311287433E1,1.002675247E3
2.418529833E1,1.002677307E3
2.525774633E1,1.002678070E3
2.633015433E1,1.002678223E3
2.740255033E1,1.002679138E3
2.847494133E1,1.002682190E3
2.954736833E1,1.002682190E3
3.061978333E1,1.002681656E3
3.169220533E1,1.002679901E3
3.276459733E1,1.002676773E3
3.383693533E1,1.002672195E3
3.490927433E1,1.002668381E3
3.598162933E1,1.002668381E3
3.705397733E1,1.002669067E3
3.812633433E1,1.002669601E3
3.919871333E1,1.002669907E3
4.027109233E1,1.002670135E3
4.134347433E1,1.002670593E3
4.241582533E1,1.002670746E3
4.348817233E1,1.002670975E3
4.456053133E1,1.002672806E3
4.563292233E1,1.002674103E3
4.670533733E1,1.002675858E3
4.777773233E1,1.002677841E3
4.885013133E1,1.002679138E3
4.992251133E1,1.002679138E3
5.099491133E1,1.002678223E3
5.206726033E1,1.002677460E3
5.313953233E1,1.002677231E3
5.421180733E1,1.002674103E3
5.528412933E1,1.002672501E3
5.635643433E1,1.002672348E3
5.742877433E1,1.002669449E3
5.850110533E1,1.002668076E3
5.957339533E1,1.002668076E3
6.064576633E1,1.002668076E3
6.171808233E1,1.002668304E3
6.279044233E1,1.002668304E3
6.386278733E1,1.002668304E3
6.493513333E1,1.002668304E3
6.600750133E1,1.002668304E3
6.707984633E1,1.002668610E3
6.815221633E1,1.002668610E3
6.922463233E1,1.002668915E3
7.029699233E1,1.002668915E3
7.136933233E1,1.002670593E3
7.244165433E1,1.002672958E3
7.351393633E1,1.002675095E3
7.458628733E1,1.002677231E3
7.565859433E1,1.002679443E3
7.673088433E1,1.002679443E3
7.780319033E1,1.002679138E3
7.887548533E1,1.002676010E3
7.994775433E1,1.002672577E3
8.102004633E1,1.002669144E3
8.209238233E1,1.002666473E3
8.316471633E1,1.002664795E3
8.423705633E1,1.002664795E3
8.530940633E1,1.002664871E3
8.638174533E1,1.002665176E3
8.745411033E1,1.002665176E3
8.852646833E1,1.002664642E3
8.959878833E1,1.002664566E3
9.067111633E1,1.002664566E3
9.174348133E1,1.002664566E3
9.281589033E1,1.002664795E3
9.388825333E1,1.002665253E3
9.496061833E1,1.002665405E3
9.603300933E1,1.002665710E3
9.710536333E1,1.002667160E3
9.817773433E1,1.002669449E3
9.925007933E1,1.002670975E3
1.003223773E2,1.002672577E3
1.013946913E2,1.002674103E3
1.024670443E2,1.002674713E3
1.035393503E2,1.002674942E3
1.046116303E2,1.002674713E3
1.056839253E2,1.002673798E3
1.067562323E2,1.002671890E3
1.078286173E2,1.002669754E3
1.089009853E2,1.002667389E3
1.099733503E2,1.002665176E3
1.110456923E2,1.002664032E3
1.121179863E2,1.002664032E3
1.131903023E2,1.002664185E3
1.142626483E2,1.002664261E3
1.153350023E2,1.002664261E3
1.164073683E2,1.002664261E3
1.174797113E2,1.002664337E3
1.185520423E2,1.002664337E3
1.196244413E2,1.002664337E3
1.206968473E2,1.002664642E3
1.217692173E2,1.002665634E3
1.228415973E2,1.002666702E3
1.239139833E2,1.002668076E3
1.249863513E2,1.002668610E3
1.260586783E2,1.002668610E3
1.271310513E2,1.002668076E3
1.282034443E2,1.002667542E3
1.292758133E2,1.002665863E3
1.303481433E2,1.002664337E3
1.314204953E2,1.002662506E3
1.324928723E2,1.002661972E3
1.335652683E2,1.002660141E3
1.346376683E2,1.002659454E3
1.357100603E2,1.002659302E3
1.367824423E2,1.002659225E3
1.378548773E2,1.002659225E3
1.389272533E2,1.002659073E3
1.399996233E2,1.002659302E3
1.410720033E2,1.002659302E3
1.421444133E2,1.002659531E3
1.432168323E2,1.002659912E3
1.442892323E2,1.002660294E3
1.453616213E2,1.002660370E3
1.464340283E2,1.002660522E3
1.475064383E2,1.002661972E3
1.485788073E2,1.002663879E3
1.496511723E2,1.002665482E3
1.507235663E2,1.002667160E3
1.517959653E2,1.002668686E3
1.528683823E2,1.002669067E3
1.539408123E2,1.002669296E3
1.550132243E2,1.002669678E3
1.560856303E2,1.002670593E3
1.571580153E2,1.002670975E3
1.582304373E2,1.002670975E3
1.593028863E2,1.002670822E3
1.603752513E2,1.002670822E3
1.614476333E2,1.002671051E3
1.625200233E2,1.002671127E3
1.635924093E2,1.002671127E3
1.646648873E2,1.002670822E3
1.657373383E2,1.002670288E3
1.668097433E2,1.002668457E3
1.678821323E2,1.002666092E3
1.689544603E2,1.002665939E3
1.700268543E2,1.002665939E3
1.710992383E2,1.002665100E3
1.721715893E2,1.002662582E3
1.732439583E2,1.002660980E3
1.743163693E2,1.002657776E3
1.753887843E2,1.002654572E3
1.764611893E2,1.002652588E3
1.775335833E2,1.002652588E3
1.786059823E2,1.002652969E3
1.796783773E2,1.002653351E3
1.807507913E2,1.002653351E3
