"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.087083333E-2,-3.278581238E1,6.900245667E0,-3.813134766E1
2.087983335E-2,-3.263661957E1,7.005073547E0,-3.762847900E1
3.088783333E-2,-3.253594208E1,7.074653625E0,-3.763427734E1
4.089683335E-2,-3.232096863E1,7.297527313E0,-3.806866455E1
5.090483333E-2,-3.195006180E1,7.356307983E0,-3.784625244E1
6.091383332E-2,-3.177972412E1,7.573474884E0,-3.853948975E1
7.092183334E-2,-3.159737015E1,7.523818970E0,-3.846899414E1
8.093083333E-2,-3.157532692E1,7.579536438E0,-3.824798584E1
9.093883334E-2,-3.157532692E1,7.579536438E0,-3.824798584E1
1.009478333E-1,-3.169717407E1,7.731864929E0,-3.874536133E1
1.109558333E-1,-3.166612625E1,7.489189148E0,-3.843029785E1
1.209648333E-1,-3.160517883E1,7.376140594E0,-3.878399658E1
1.309728333E-1,-3.171205521E1,7.203029633E0,-3.881292725E1
1.409818333E-1,-3.183509636E1,7.020771027E0,-3.819079590E1
1.509898333E-1,-3.186112022E1,6.874496460E0,-3.854663086E1
1.609988333E-1,-3.208523178E1,6.758125305E0,-3.818121338E1
1.710068333E-1,-3.212988663E1,6.662574768E0,-3.806500244E1
1.810158333E-1,-3.229693985E1,6.583656311E0,-3.863903809E1
1.910238334E-1,-3.247406769E1,6.479545593E0,-3.805609131E1
2.010328333E-1,-3.249509430E1,6.494876862E0,-3.852984619E1
2.110408333E-1,-3.257404327E1,6.373519897E0,-3.842608643E1
2.210498333E-1,-3.237537766E1,6.187610626E0,-3.829071045E1
2.310578333E-1,-3.252040863E1,6.466094971E0,-3.837567139E1
2.410668333E-1,-3.243373871E1,6.445629120E0,-3.815014648E1
2.510748333E-1,-3.226002502E1,6.360061646E0,-3.888525391E1
2.610828333E-1,-3.224861908E1,6.532939911E0,-3.868847656E1
2.710918333E-1,-3.231528473E1,6.648105621E0,-3.831219482E1
2.810998333E-1,-3.219270325E1,6.672294617E0,-3.878759766E1
2.911088333E-1,-3.222625732E1,6.708648682E0,-3.840704346E1
3.011168333E-1,-3.216114044E1,6.779819489E0,-3.852581787E1
3.111258333E-1,-3.218825912E1,6.998497009E0,-3.879467773E1
3.211338333E-1,-3.232403564E1,7.130138397E0,-3.801013184E1
3.311428333E-1,-3.233349609E1,7.371417999E0,-3.836968994E1
3.411508334E-1,-3.235425568E1,7.405548096E0,-3.837750244E1
3.511598333E-1,-3.249682236E1,7.487045288E0,-3.816540527E1
3.611678333E-1,-3.259829712E1,7.711391449E0,-3.856610107E1
3.711768333E-1,-3.268114853E1,7.782993317E0,-3.821185303E1
3.811848333E-1,-3.270343018E1,7.933128357E0,-3.841290283E1
3.911938333E-1,-3.265486145E1,8.148155212E0,-3.852044678E1
4.012018333E-1,-3.251717758E1,8.186191559E0,-3.821185303E1
4.112108334E-1,-3.260932159E1,8.462680817E0,-3.852752686E1
4.212188333E-1,-3.269942474E1,8.533893585E0,-3.816687012E1
4.312278333E-1,-3.258528137E1,8.499614716E0,-3.830163574E1
4.412358333E-1,-3.287105942E1,8.671630859E0,-3.851019287E1
4.512448333E-1,-3.278227234E1,8.690101624E0,-3.818255615E1
4.612528333E-1,-3.280401611E1,8.756912231E0,-3.825152588E1
4.712618333E-1,-3.279172516E1,8.854785919E0,-3.774945068E1
4.812698333E-1,-3.319102478E1,8.902904510E0,-3.783905029E1
4.912788333E-1,-3.318426895E1,9.068885803E0,-3.822326660E1
5.012868333E-1,-3.321831512E1,9.194328308E0,-3.767932129E1
5.112958333E-1,-3.321831512E1,9.194328308E0,-3.767932129E1
5.213038333E-1,-3.329169846E1,9.361358643E0,-3.828314209E1
5.313128333E-1,-3.337660599E1,9.620864868E0,-3.833605957E1
5.413198333E-1,-3.336765289E1,9.662300110E0,-3.796533203E1
5.513288333E-1,-3.331383133E1,9.807357788E0,-3.825091553E1
5.613368333E-1,-3.313531876E1,9.892414093E0,-3.808557129E1
5.713448333E-1,-3.312073135E1,9.962120056E0,-3.813317871E1
5.813538333E-1,-3.304180527E1,1.015062332E1,-3.867022705E1
5.913618333E-1,-3.297389984E1,1.022727203E1,-3.808666992E1
6.013708333E-1,-3.280659485E1,1.046771240E1,-3.881793213E1
6.113788333E-1,-3.279916000E1,1.052893066E1,-3.839135742E1
6.213878334E-1,-3.270624542E1,1.058865356E1,-3.829656982E1
6.313958333E-1,-3.268492126E1,1.079381943E1,-3.873529053E1
