"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767946812392991E9,"2026-01-09 16:20:12.393 UTC+08:00"
"PAUSE",2.039384097916627E2,1.767947016328125E9,"2026-01-09 16:23:36.328 UTC+08:00"
