"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.744979680640486E9,"2025-04-18 20:34:40.640 UTC+08:00"
"PAUSE",2.274336711666547E2,1.744979908071060E9,"2025-04-18 20:38:28.071 UTC+08:00"
