"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767883147573110E9,"2026-01-08 22:39:07.573 UTC+08:00"
"PAUSE",1.976442165416665E2,1.767883345214062E9,"2026-01-08 22:42:25.214 UTC+08:00"
