"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767957845164190E9,"2026-01-09 19:24:05.164 UTC+08:00"
"PAUSE",1.974803365833359E2,1.767958042641970E9,"2026-01-09 19:27:22.642 UTC+08:00"
