"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.744978407385195E9,"2025-04-18 20:13:27.385 UTC+08:00"
"PAUSE",1.489001502916799E2,1.744978556283973E9,"2025-04-18 20:15:56.284 UTC+08:00"
