"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767958412005015E9,"2026-01-09 19:33:32.005 UTC+08:00"
"PAUSE",2.049184475000075E2,1.767958616920466E9,"2026-01-09 19:36:56.920 UTC+08:00"
