"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767950443952789E9,"2026-01-09 17:20:43.953 UTC+08:00"
"PAUSE",2.548903325833380E2,1.767950698839338E9,"2026-01-09 17:24:58.839 UTC+08:00"
