"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.245375013E-3,3.695814514E-1,7.454498291E-1,9.587412872E0
1.225637499E-2,3.800596619E-1,9.746232605E-1,9.626182251E0
2.226737500E-2,2.683918762E-1,1.247505798E0,9.476942596E0
3.227737499E-2,6.855743408E-2,1.447040863E0,9.326954498E0
4.228837500E-2,-3.132984924E-1,1.512005768E0,9.017996979E0
5.229937501E-2,-6.200106812E-1,1.217568054E0,9.174721069E0
6.231037501E-2,-2.100132751E-1,9.939331055E-1,9.355694733E0
7.232037501E-2,1.556762695E-1,7.598199463E-1,9.766590271E0
8.233137502E-2,2.965333557E-1,7.111711121E-1,1.048315018E1
9.234237499E-2,3.001258850E-1,3.763174438E-1,1.095556778E1
1.023533750E-1,1.884580994E-1,2.993774414E-2,1.108010880E1
1.123633750E-1,-4.161346436E-2,-1.892065430E-1,1.088970474E1
1.223743750E-1,-2.703378296E-1,-3.736230469E-1,1.063703018E1
1.323853750E-1,-4.701722717E-1,-4.441264343E-1,1.034813095E1
1.423963750E-1,-5.454656982E-1,-4.099974060E-1,1.012494507E1
1.524063750E-1,-4.656816101E-1,-2.579136658E-1,9.927206268E0
1.624173750E-1,-2.772235107E-1,1.041833496E-1,9.732161865E0
1.724283750E-1,-9.265731812E-2,4.595443726E-1,9.425749054E0
1.824393750E-1,1.314266968E-1,7.694000244E-1,8.994495850E0
1.924493750E-1,2.607577515E-1,1.047371979E0,8.610244904E0
2.024603750E-1,3.695814514E-1,1.208287354E0,8.442892914E0
2.124713750E-1,5.158273315E-1,1.294208679E0,8.575816498E0
2.224823750E-1,5.712121582E-1,1.243763580E0,8.889713745E0
2.324923750E-1,5.209167480E-1,1.072220306E0,9.282796326E0
2.425033750E-1,4.906796265E-1,9.404942322E-1,9.583670654E0
2.525143750E-1,4.848417664E-1,8.533753967E-1,9.853110352E0
2.625253750E-1,4.951702881E-1,9.131011963E-1,9.931846619E0
2.725353750E-1,5.629792786E-1,1.104852448E0,9.753567352E0
2.825463750E-1,5.604345703E-1,1.286724243E0,9.394613800E0
2.925573750E-1,4.471202087E-1,1.373693390E0,8.974138184E0
3.025673750E-1,2.781216431E-1,1.372645569E0,8.606652374E0
3.125783750E-1,6.900650024E-2,1.319356384E0,8.427774353E0
3.225893750E-1,-6.032455444E-2,1.220711517E0,8.463250580E0
3.326003750E-1,2.395019531E-3,1.193168793E0,8.751251678E0
3.426103750E-1,3.055146790E-1,1.174457703E0,9.364376678E0
3.526213750E-1,4.837939453E-1,1.169817352E0,9.777517548E0
3.626323750E-1,5.519023132E-1,1.255888367E0,9.686506805E0
3.726433750E-1,5.040019226E-1,1.290765839E0,9.482032013E0
3.826533750E-1,3.626957703E-1,1.227896576E0,9.387578430E0
3.926643750E-1,2.070195007E-1,1.162183228E0,9.351802826E0
4.026753750E-1,8.143066406E-2,1.062640228E0,9.509275360E0
