"Time (s)","X (hPa)"
-5.702364167E-1,1.002601242E3
4.352945833E-1,1.002603302E3
1.440819583E0,1.002605362E3
2.446343583E0,1.002605438E3
3.451842583E0,1.002605438E3
3.803252583E0,1.002602463E3
4.875782583E0,1.002601013E3
5.948273583E0,1.002597122E3
7.020818583E0,1.002594070E3
8.093391583E0,1.002591782E3
9.165975583E0,1.002591171E3
1.023859458E1,1.002591171E3
1.131115558E1,1.002591171E3
1.238370258E1,1.002590942E3
1.345624358E1,1.002590714E3
1.452881258E1,1.002590408E3
1.560137858E1,1.002590408E3
1.667396758E1,1.002590408E3
1.774656258E1,1.002590561E3
1.881920158E1,1.002591400E3
1.989181158E1,1.002591858E3
2.096439958E1,1.002592621E3
2.203696958E1,1.002593307E3
2.310953158E1,1.002594299E3
2.418209358E1,1.002594604E3
2.525465958E1,1.002594757E3
2.632723558E1,1.002594604E3
2.739982858E1,1.002593002E3
2.847241858E1,1.002590332E3
2.954500658E1,1.002587128E3
3.061760558E1,1.002584305E3
3.169019958E1,1.002581253E3
3.276279958E1,1.002580032E3
3.383542458E1,1.002579956E3
3.490804858E1,1.002579346E3
3.598065658E1,1.002579346E3
3.705328958E1,1.002579041E3
3.812591858E1,1.002578506E3
3.919848958E1,1.002578354E3
4.027106058E1,1.002577972E3
4.134365558E1,1.002577667E3
4.241624458E1,1.002577515E3
4.348876258E1,1.002577438E3
4.456133058E1,1.002577362E3
4.563390358E1,1.002577362E3
4.670643158E1,1.002577362E3
4.777898258E1,1.002578201E3
4.885152558E1,1.002578583E3
4.992407958E1,1.002580185E3
5.099666658E1,1.002582016E3
5.206918458E1,1.002582016E3
5.314168058E1,1.002581635E3
5.421418858E1,1.002579117E3
5.528672758E1,1.002576752E3
5.635924658E1,1.002573700E3
5.743176358E1,1.002571030E3
5.850426958E1,1.002569656E3
5.957680858E1,1.002569580E3
6.064932658E1,1.002569580E3
6.172187258E1,1.002569275E3
6.279440258E1,1.002569199E3
6.386693358E1,1.002568665E3
6.493950358E1,1.002568283E3
6.601208058E1,1.002567596E3
6.708462458E1,1.002567520E3
6.815715258E1,1.002567596E3
6.922968658E1,1.002568283E3
7.030223958E1,1.002569504E3
