"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.534750017E-3,-3.729820633E1,7.472461700E0,-3.827032471E1
1.954174999E-2,-3.731914139E1,7.512393951E0,-3.761029053E1
2.954970833E-2,-3.729773331E1,7.605415344E0,-3.781201172E1
3.955670833E-2,-3.719255829E1,7.614711761E0,-3.750311279E1
4.956370834E-2,-3.728871536E1,7.878162384E0,-3.750811768E1
5.957070834E-2,-3.716214371E1,7.927120209E0,-3.805297852E1
6.957770835E-2,-3.721155930E1,7.817989349E0,-3.768206787E1
7.958470835E-2,-3.732522202E1,7.890693665E0,-3.810345459E1
8.959170835E-2,-3.718637466E1,7.890342712E0,-3.753588867E1
9.959870833E-2,-3.726284027E1,7.872589111E0,-3.757513428E1
1.096057083E-1,-3.744192505E1,7.868793488E0,-3.802868652E1
1.196127083E-1,-3.762781525E1,7.755355835E0,-3.752435303E1
1.296197083E-1,-3.764204788E1,7.764461517E0,-3.796429443E1
1.396267083E-1,-3.758104706E1,7.741630554E0,-3.817956543E1
1.496347083E-1,-3.749723053E1,7.744705200E0,-3.771240234E1
1.596417083E-1,-3.747316742E1,7.844577789E0,-3.812426758E1
1.696487083E-1,-3.741712189E1,7.806655884E0,-3.761083984E1
1.796557083E-1,-3.741712189E1,7.806655884E0,-3.761083984E1
1.896627083E-1,-3.750253677E1,7.900089264E0,-3.783123779E1
1.996697084E-1,-3.748299789E1,7.902019501E0,-3.810803223E1
2.096767083E-1,-3.742592239E1,7.981056213E0,-3.768188477E1
2.196837083E-1,-3.741765976E1,8.036705017E0,-3.801336670E1
2.296907083E-1,-3.730582047E1,8.110111237E0,-3.775524902E1
2.396977083E-1,-3.741527557E1,8.079929352E0,-3.766790771E1
2.497047083E-1,-3.745970154E1,8.132499695E0,-3.839343262E1
2.597117083E-1,-3.777979279E1,8.173007965E0,-3.779565430E1
2.697187084E-1,-3.781829071E1,8.169841766E0,-3.817102051E1
2.797257083E-1,-3.785419083E1,8.202529907E0,-3.823248291E1
2.897327083E-1,-3.797645950E1,8.087978363E0,-3.780493164E1
2.997397083E-1,-3.809844589E1,8.064262390E0,-3.832940674E1
3.097467083E-1,-3.799608231E1,8.035701752E0,-3.778002930E1
3.197537083E-1,-3.807415390E1,8.234649658E0,-3.811456299E1
3.297607084E-1,-3.811594391E1,8.263515472E0,-3.821368408E1
3.397677083E-1,-3.805298996E1,8.345489502E0,-3.756231689E1
3.497747083E-1,-3.828401184E1,8.633750916E0,-3.768206787E1
3.597827083E-1,-3.827408981E1,8.680397034E0,-3.757250977E1
