"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767958199110039E9,"2026-01-09 19:29:59.110 UTC+08:00"
"PAUSE",1.775578871666658E2,1.767958376665291E9,"2026-01-09 19:32:56.665 UTC+08:00"
