"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745144540895162E9,"2025-04-20 18:22:20.895 UTC+08:00"
"PAUSE",2.091144014166784E2,1.745144750009700E9,"2025-04-20 18:25:50.010 UTC+08:00"
