"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767965062394193E9,"2026-01-09 21:24:22.394 UTC+08:00"
"PAUSE",2.401225703749951E2,1.767965302513798E9,"2026-01-09 21:28:22.514 UTC+08:00"
