"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767963793663838E9,"2026-01-09 21:03:13.664 UTC+08:00"
"PAUSE",2.282236637500027E2,1.767964021883782E9,"2026-01-09 21:07:01.884 UTC+08:00"
