"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745144278684968E9,"2025-04-20 18:17:58.685 UTC+08:00"
"PAUSE",2.248805326666625E2,1.745144503562795E9,"2025-04-20 18:21:43.563 UTC+08:00"
