"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.162625007E-3,-5.450346693E-2,1.550479829E-1,4.911015928E-2
1.916962500E-2,-1.265696734E-1,2.324357033E-1,4.111508653E-2
2.917662500E-2,-1.517603844E-1,2.495313734E-1,1.414617710E-2
3.918462500E-2,-1.522099376E-1,2.228102833E-1,-2.408456430E-2
4.919162500E-2,-9.222213924E-2,1.499196440E-1,-8.823640645E-2
5.919862501E-2,3.302685171E-2,4.992087558E-2,-1.625508517E-1
6.920662500E-2,1.775258929E-1,-3.424415365E-2,-1.753619760E-1
7.921362501E-2,2.761733830E-1,-9.020382911E-2,-9.893030673E-2
8.922062500E-2,3.815462589E-1,-2.576968074E-2,-5.536299199E-3
9.922862500E-2,4.227165878E-1,2.478084341E-2,6.817387044E-2
1.092356250E-1,4.016935527E-1,1.084585413E-1,1.222295836E-1
1.192426250E-1,3.275429010E-1,1.795103550E-1,1.495759934E-1
1.292506250E-1,2.398424745E-1,2.496651709E-1,1.572702527E-1
1.392576250E-1,1.545121372E-1,2.857446373E-1,1.357931942E-1
1.492646250E-1,9.221986681E-2,2.906191945E-1,1.016553342E-1
1.592726250E-1,4.708727449E-2,2.940030098E-1,9.400407225E-2
1.692796250E-1,1.185051724E-2,2.951563299E-1,8.693379909E-2
1.792866250E-1,-1.114587858E-2,2.855087519E-1,7.848412544E-2
1.892946250E-1,-2.850489318E-2,2.695316970E-1,7.212493569E-2
1.993016250E-1,-3.886432201E-2,2.609616220E-1,6.893420219E-2
2.093086250E-1,-2.699167840E-2,2.506309450E-1,6.473882496E-2
2.193166250E-1,1.391926967E-2,2.512722611E-1,5.852647126E-2
2.293236250E-1,7.118317485E-2,2.421701849E-1,5.371935293E-2
2.393306250E-1,1.240253523E-1,2.021173090E-1,3.494539857E-2
2.493386250E-1,1.581341028E-1,1.426227540E-1,2.898483537E-3
2.593456250E-1,1.610121727E-1,6.897995621E-2,-2.120871842E-2
2.693536250E-1,1.343893111E-1,-6.982383318E-3,-3.030018508E-2
2.793606250E-1,8.960932493E-2,-7.607809454E-2,-3.136278689E-2
2.893676250E-1,3.766946495E-2,-1.353987306E-1,-1.841362938E-2
2.993756250E-1,2.449957654E-3,-1.827050000E-1,1.151923556E-2
3.093826250E-1,-8.489833213E-3,-2.184642106E-1,3.918718919E-2
3.193896250E-1,5.419323687E-3,-2.362946123E-1,5.979446322E-2
3.293976250E-1,2.178229392E-2,-2.519510090E-1,7.509006560E-2
3.394046250E-1,2.832008898E-2,-2.479623854E-1,8.417943865E-2
3.494116250E-1,1.347442996E-2,-2.261460721E-1,9.237919003E-2
3.594196250E-1,-2.531317808E-2,-2.051555663E-1,1.034259796E-1
3.694266250E-1,-6.723082811E-2,-1.805390716E-1,9.966646880E-2
3.794336250E-1,-1.010479107E-1,-1.306966841E-1,9.788534045E-2
3.894416250E-1,-1.284520477E-1,-8.599594235E-2,1.035017744E-1
3.994486250E-1,-1.298840344E-1,-2.748496272E-2,1.091844290E-1
4.094556250E-1,-1.002459824E-1,5.352945626E-2,1.257017106E-1
4.194636250E-1,-6.299155951E-2,1.292899996E-1,1.488483101E-1
4.294706250E-1,-3.364421427E-2,1.925484240E-1,1.584557891E-1
4.394776250E-1,-1.729400083E-2,2.344737649E-1,1.677928269E-1
4.494856250E-1,-1.976199634E-2,2.427868843E-1,1.704514027E-1
4.594916667E-1,-3.344452009E-2,2.206075490E-1,1.753969043E-1
4.694986667E-1,-5.318040773E-2,1.657107472E-1,1.859009415E-1
4.795066667E-1,-8.451675624E-2,7.814174145E-2,1.910893023E-1
4.895136667E-1,-1.170242429E-1,-3.374481201E-2,1.801018566E-1
4.995206667E-1,-1.403759122E-1,-1.457238048E-1,1.541916877E-1
5.095286667E-1,-1.553130448E-1,-2.277800590E-1,1.226825118E-1
5.195356667E-1,-1.702414006E-1,-2.883321047E-1,9.212246537E-2
5.295426667E-1,-1.800917685E-1,-3.006364107E-1,6.167237088E-2
5.395506667E-1,-1.756296456E-1,-2.541077733E-1,3.078475967E-2
5.495576667E-1,-1.659123302E-1,-1.701710075E-1,2.304319059E-3
5.595646667E-1,-1.600256860E-1,-7.548790425E-2,-2.601387165E-2
5.695726667E-1,-1.801103801E-1,1.451749541E-2,-3.921909258E-2
5.795796667E-1,-2.225497067E-1,8.267231286E-2,-5.085311085E-2
5.895866667E-1,-2.704600394E-1,1.303898841E-1,-6.706543267E-2
5.995946667E-1,-3.177916110E-1,1.659100652E-1,-8.824848384E-2
6.096016667E-1,-3.389310241E-1,1.965175718E-1,-1.127229333E-1
6.196086667E-1,-3.367807865E-1,2.329464257E-1,-1.250845194E-1
6.296166667E-1,-3.243580759E-1,2.684865892E-1,-1.154071763E-1
6.396236667E-1,-3.038583994E-1,2.966942489E-1,-8.978091180E-2
6.496306667E-1,-2.713737786E-1,2.967050970E-1,-5.663712695E-2
6.596386667E-1,-2.291815728E-1,2.642592788E-1,-3.574489430E-2
6.696456667E-1,-1.779952943E-1,2.088970840E-1,-2.997632883E-2
6.796526667E-1,-1.214747652E-1,1.348582804E-1,-1.959319599E-2
6.896606667E-1,-8.508864045E-2,4.124386981E-2,2.148166765E-3
6.996676667E-1,-6.161792949E-2,-5.122561008E-2,2.061771974E-2
7.096746667E-1,-4.328030348E-2,-1.502558589E-1,2.333072945E-2
7.196826667E-1,-3.344311938E-2,-2.257761806E-1,1.527652983E-2
7.296896667E-1,-2.783281356E-2,-2.731955349E-1,1.029381156E-2
7.396966667E-1,-2.424127422E-2,-2.875521183E-1,3.171453718E-3
7.497046667E-1,-2.633082494E-2,-2.852228582E-1,-3.778694896E-3
7.597116667E-1,-2.033258602E-2,-2.481590956E-1,-9.147360921E-3
7.697196667E-1,-1.588097028E-2,-1.852789670E-1,-1.570967585E-2
7.797266667E-1,-2.370001189E-2,-1.339452118E-1,-2.029244229E-2
7.897336667E-1,-4.216206819E-2,-9.063588083E-2,-2.469298616E-2
7.997416667E-1,-7.727584243E-2,-5.988676473E-2,-3.979603946E-2
8.097486667E-1,-1.252785772E-1,-4.147940874E-2,-5.309256166E-2
