"Time (s)","X (hPa)"
-5.467075000E-1,1.004299316E3
4.590965000E-1,1.004300461E3
1.464912500E0,1.004301605E3
2.470709500E0,1.004304276E3
3.476522500E0,1.004304657E3
3.827590500E0,1.004305115E3
4.900429500E0,1.004305573E3
5.973240500E0,1.004305115E3
7.046041500E0,1.004304886E3
8.118834500E0,1.004304504E3
9.191604500E0,1.004304123E3
1.026440550E1,1.004303055E3
1.133722850E1,1.004301529E3
1.241005550E1,1.004300079E3
1.348290050E1,1.004298325E3
1.455577650E1,1.004296951E3
1.562865350E1,1.004295425E3
1.670151150E1,1.004295425E3
1.777435550E1,1.004295654E3
1.884722850E1,1.004295654E3
1.992012450E1,1.004295883E3
2.099299650E1,1.004295654E3
2.206584350E1,1.004295654E3
2.313872050E1,1.004295654E3
2.421162050E1,1.004295654E3
2.528448250E1,1.004296036E3
2.635731350E1,1.004297485E3
2.743017350E1,1.004298401E3
2.850302050E1,1.004300079E3
2.957584250E1,1.004301147E3
3.064865450E1,1.004301987E3
3.172153150E1,1.004301987E3
3.279443750E1,1.004301147E3
3.386734050E1,1.004300919E3
3.494021750E1,1.004300308E3
3.601308850E1,1.004298401E3
3.708592650E1,1.004296494E3
3.815878350E1,1.004295044E3
3.923162850E1,1.004293518E3
4.030451750E1,1.004292679E3
4.137737450E1,1.004292297E3
4.245023550E1,1.004292297E3
4.352308650E1,1.004292221E3
4.459591350E1,1.004291840E3
4.566875350E1,1.004291840E3
4.674158950E1,1.004291840E3
4.781444650E1,1.004291840E3
4.888731050E1,1.004291687E3
4.996008050E1,1.004291382E3
5.103286250E1,1.004291382E3
5.210569050E1,1.004291458E3
5.317852050E1,1.004292297E3
5.425135750E1,1.004293289E3
5.532419850E1,1.004294586E3
5.639702650E1,1.004295197E3
5.746986850E1,1.004295197E3
5.854267250E1,1.004294968E3
5.961550550E1,1.004293976E3
6.068832050E1,1.004293137E3
6.176114950E1,1.004292679E3
6.283395650E1,1.004292679E3
6.390675050E1,1.004292450E3
6.497953050E1,1.004292450E3
6.605229750E1,1.004292450E3
6.712510350E1,1.004292221E3
6.819791250E1,1.004291840E3
6.927073250E1,1.004291077E3
7.034352050E1,1.004290390E3
7.141634350E1,1.004289169E3
7.248910150E1,1.004287033E3
7.356189150E1,1.004285355E3
7.463467250E1,1.004283676E3
7.570748750E1,1.004282150E3
7.678033850E1,1.004281387E3
7.785310350E1,1.004281158E3
7.892593450E1,1.004281158E3
7.999876950E1,1.004280548E3
8.107158150E1,1.004280243E3
8.214437950E1,1.004279251E3
8.321722650E1,1.004278564E3
8.429007150E1,1.004278107E3
8.536291650E1,1.004277802E3
8.643576050E1,1.004277344E3
8.750860650E1,1.004277344E3
8.858144350E1,1.004277954E3
8.965427450E1,1.004279022E3
9.072710950E1,1.004279633E3
9.179995350E1,1.004280319E3
9.287280650E1,1.004281387E3
9.394567350E1,1.004281998E3
9.501853350E1,1.004282532E3
9.609144550E1,1.004282608E3
9.716430750E1,1.004283066E3
9.823714450E1,1.004283447E3
9.930996450E1,1.004283447E3
1.003828285E2,1.004282608E3
1.014557075E2,1.004282532E3
1.025286065E2,1.004281540E3
