"Time (s)","X (hPa)"
-5.496237083E-1,1.005060654E3
4.563042917E-1,1.005062866E3
1.462275292E0,1.005065002E3
2.468256292E0,1.005067215E3
3.474267292E0,1.005068130E3
3.825091292E0,1.005068283E3
4.898085292E0,1.005068436E3
5.971098292E0,1.005068436E3
7.044138292E0,1.005067825E3
8.117196292E0,1.005066299E3
9.190177292E0,1.005064392E3
1.026314529E1,1.005062332E3
1.133611529E1,1.005059357E3
1.240908029E1,1.005057526E3
1.348207229E1,1.005056686E3
1.455510229E1,1.005056686E3
1.562808129E1,1.005056686E3
1.670106829E1,1.005056686E3
1.777398329E1,1.005056839E3
1.884690029E1,1.005056839E3
1.991983029E1,1.005056915E3
2.099275729E1,1.005057907E3
2.206576029E1,1.005058975E3
2.313871029E1,1.005060272E3
2.421163429E1,1.005061951E3
2.528457329E1,1.005063400E3
2.635750429E1,1.005063782E3
2.743042929E1,1.005063782E3
2.850336129E1,1.005062714E3
2.957632929E1,1.005060501E3
3.064925329E1,1.005058289E3
3.172216529E1,1.005056076E3
3.279509429E1,1.005054550E3
3.386804929E1,1.005053253E3
3.494101329E1,1.005053253E3
3.601398629E1,1.005053253E3
3.708697329E1,1.005053787E3
3.815996429E1,1.005053864E3
3.923289329E1,1.005053940E3
4.030581729E1,1.005053940E3
4.137874529E1,1.005053864E3
4.245169629E1,1.005053864E3
4.352464629E1,1.005054092E3
4.459760029E1,1.005054092E3
4.567059029E1,1.005054779E3
4.674357029E1,1.005056000E3
4.781652629E1,1.005058365E3
4.888952729E1,1.005060883E3
4.996251429E1,1.005062790E3
5.103547629E1,1.005064240E3
5.210846429E1,1.005065460E3
5.318142629E1,1.005065460E3
5.425443229E1,1.005064850E3
5.532744029E1,1.005064850E3
5.640042629E1,1.005065536E3
5.747342229E1,1.005065536E3
5.854636829E1,1.005064926E3
5.961937829E1,1.005064850E3
6.069235729E1,1.005063019E3
6.176532629E1,1.005060272E3
6.283828429E1,1.005057755E3
6.391126829E1,1.005055771E3
6.498429129E1,1.005053101E3
6.605726829E1,1.005053024E3
6.713023729E1,1.005053024E3
6.820320629E1,1.005053253E3
6.927617129E1,1.005053482E3
7.034911029E1,1.005053482E3
7.142205929E1,1.005053940E3
7.249502029E1,1.005054092E3
7.356796929E1,1.005054398E3
7.464092029E1,1.005054703E3
7.571383729E1,1.005055237E3
7.678678029E1,1.005055618E3
7.785974029E1,1.005056305E3
7.893266829E1,1.005057983E3
8.000560429E1,1.005058975E3
8.107856629E1,1.005060043E3
8.215150129E1,1.005061264E3
8.322444629E1,1.005063019E3
8.429741529E1,1.005064392E3
8.537040129E1,1.005065918E3
8.644340029E1,1.005067673E3
8.751637429E1,1.005069351E3
8.858936529E1,1.005069351E3
8.966231929E1,1.005069656E3
9.073528629E1,1.005069885E3
9.180827629E1,1.005069885E3
9.288122329E1,1.005069885E3
9.395415529E1,1.005070343E3
9.502707129E1,1.005070343E3
9.610000029E1,1.005070114E3
9.717293629E1,1.005070114E3
9.824587129E1,1.005070801E3
9.931883229E1,1.005071182E3
1.003917513E2,1.005071182E3
1.014646713E2,1.005070801E3
1.025376093E2,1.005069504E3
1.036106073E2,1.005068283E3
1.046835433E2,1.005066605E3
1.057565163E2,1.005063629E3
1.068295003E2,1.005062180E3
1.079024993E2,1.005060806E3
1.089754613E2,1.005059357E3
1.100483883E2,1.005057983E3
1.111213403E2,1.005057678E3
1.121942853E2,1.005057678E3
1.132672333E2,1.005057678E3
1.143402243E2,1.005057449E3
1.154132503E2,1.005057068E3
1.164862763E2,1.005057068E3
1.175592503E2,1.005058289E3
1.186322033E2,1.005059814E3
1.197051313E2,1.005060654E3
1.207780943E2,1.005061340E3
1.218510573E2,1.005061340E3
1.229240583E2,1.005060272E3
1.239970413E2,1.005058289E3
1.250700563E2,1.005056915E3
1.261430163E2,1.005055847E3
1.272159493E2,1.005054779E3
1.282888813E2,1.005054398E3
1.293618443E2,1.005054398E3
1.304348373E2,1.005054321E3
1.315078203E2,1.005054169E3
1.325807663E2,1.005054092E3
1.336537003E2,1.005053864E3
1.347266013E2,1.005053558E3
1.357995103E2,1.005053558E3
1.368724833E2,1.005055008E3
1.379454753E2,1.005056305E3
1.390185013E2,1.005057297E3
1.400914863E2,1.005057526E3
1.411644583E2,1.005057907E3
1.422374043E2,1.005057983E3
1.433103303E2,1.005057983E3
1.443833143E2,1.005058823E3
1.454563313E2,1.005060425E3
1.465293343E2,1.005061264E3
1.476023173E2,1.005061569E3
1.486753273E2,1.005061569E3
1.497482993E2,1.005060272E3
1.508213043E2,1.005058594E3
1.518943103E2,1.005057068E3
1.529672953E2,1.005056000E3
1.540403073E2,1.005054092E3
1.551133023E2,1.005052643E3
1.561862733E2,1.005052414E3
1.572592683E2,1.005051651E3
1.583322473E2,1.005051422E3
1.594051983E2,1.005051422E3
1.604781573E2,1.005051651E3
1.615511293E2,1.005052032E3
1.626241433E2,1.005052185E3
1.636971783E2,1.005052261E3
1.647701863E2,1.005052490E3
1.658432213E2,1.005052872E3
1.669162333E2,1.005053253E3
1.679892003E2,1.005054398E3
1.690622233E2,1.005055771E3
1.701352183E2,1.005056458E3
1.712081803E2,1.005056458E3
1.722811353E2,1.005055771E3
1.733541723E2,1.005054398E3
1.744271733E2,1.005052872E3
1.755001913E2,1.005051575E3
1.765731433E2,1.005050964E3
1.776461163E2,1.005050964E3
1.787191173E2,1.005050735E3
1.797921413E2,1.005050735E3
1.808651403E2,1.005050812E3
1.819381443E2,1.005050964E3
1.830111543E2,1.005050964E3
1.840841863E2,1.005050964E3
1.851571813E2,1.005051193E3
1.862301973E2,1.005051193E3
1.873031773E2,1.005051193E3
1.883761883E2,1.005051651E3
1.894491773E2,1.005052490E3
1.905222313E2,1.005054092E3
1.915952953E2,1.005055161E3
1.926683493E2,1.005055771E3
1.937413603E2,1.005056915E3
