"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.584895834E-2,-3.768865204E1,8.998313904E0,-3.763775635E1
2.585695832E-2,-3.769198608E1,9.031333923E0,-3.759484863E1
3.586395833E-2,-3.771353912E1,9.074813843E0,-3.733270264E1
4.587095833E-2,-3.751015472E1,9.303607941E0,-3.719702148E1
5.587795834E-2,-3.737721252E1,9.191165924E0,-3.718182373E1
6.588495834E-2,-3.728290558E1,9.286792755E0,-3.803326416E1
7.589195835E-2,-3.723721313E1,9.295398712E0,-3.834057617E1
8.589895832E-2,-3.713368225E1,9.272293091E0,-3.791381836E1
9.590595833E-2,-3.689435577E1,9.172065735E0,-3.856451416E1
1.059129583E-1,-3.690528870E1,9.059303284E0,-3.847009277E1
1.159199583E-1,-3.674443054E1,8.995685577E0,-3.825433350E1
1.259269583E-1,-3.659452057E1,8.963485718E0,-3.887225342E1
1.359349583E-1,-3.665181351E1,8.860389709E0,-3.833923340E1
1.459419583E-1,-3.652291489E1,8.840663910E0,-3.909478760E1
1.559489583E-1,-3.647238922E1,8.695938110E0,-3.930627441E1
1.659559583E-1,-3.647238922E1,8.695938110E0,-3.930627441E1
1.759629583E-1,-3.641034698E1,8.743537903E0,-3.893572998E1
1.859699583E-1,-3.631751251E1,8.824535370E0,-3.940240479E1
1.959769583E-1,-3.639606857E1,8.889209747E0,-3.925933838E1
2.059839583E-1,-3.634995270E1,9.103679657E0,-3.938714600E1
2.159909583E-1,-3.629344559E1,9.192108154E0,-3.945501709E1
2.259979583E-1,-3.641419601E1,9.232524872E0,-3.910290527E1
2.360059583E-1,-3.646573257E1,9.350543976E0,-3.936901855E1
2.460129583E-1,-3.648561859E1,9.514022827E0,-3.903955078E1
2.560199583E-1,-3.649726105E1,9.663696289E0,-3.872985840E1
2.660269583E-1,-3.662525558E1,9.848552704E0,-3.939898682E1
2.760339583E-1,-3.662645721E1,9.860122681E0,-3.910565186E1
2.860409583E-1,-3.667830276E1,1.010707092E1,-3.953778076E1
2.960479583E-1,-3.666532135E1,1.042730713E1,-3.915570068E1
3.060549583E-1,-3.671464539E1,1.073417282E1,-3.865545654E1
3.160619583E-1,-3.675002289E1,1.111616516E1,-3.914361572E1
3.260689583E-1,-3.667064667E1,1.141856384E1,-3.838366699E1
3.360769583E-1,-3.662348557E1,1.174365997E1,-3.859686279E1
3.460839583E-1,-3.671360016E1,1.197244263E1,-3.882806396E1
3.560909583E-1,-3.687820816E1,1.214247131E1,-3.853082275E1
3.660979583E-1,-3.684735489E1,1.229891205E1,-3.892401123E1
3.761049583E-1,-3.697412872E1,1.240188980E1,-3.884777832E1
3.861119583E-1,-3.680718231E1,1.256685257E1,-3.867633057E1
3.961189583E-1,-3.659251404E1,1.265417862E1,-3.928106689E1
4.061259583E-1,-3.657832336E1,1.270681381E1,-3.870556641E1
4.161329583E-1,-3.654116440E1,1.290646362E1,-3.908795166E1
4.261399583E-1,-3.659051514E1,1.305599213E1,-3.869195557E1
4.361469583E-1,-3.648891830E1,1.329630661E1,-3.818914795E1
4.461549583E-1,-3.653200531E1,1.350562668E1,-3.861322021E1
4.561619583E-1,-3.665803528E1,1.366836929E1,-3.822656250E1
4.661689583E-1,-3.652956390E1,1.403807068E1,-3.818359375E1
4.761759583E-1,-3.647647095E1,1.422982407E1,-3.819525146E1
4.861829583E-1,-3.644289398E1,1.429175568E1,-3.812030029E1
4.961899583E-1,-3.631246185E1,1.441386795E1,-3.888128662E1
5.061969583E-1,-3.623185730E1,1.452204132E1,-3.841839600E1
5.162039583E-1,-3.596481323E1,1.457619095E1,-3.839794922E1
5.262109583E-1,-3.580167770E1,1.468740082E1,-3.896099854E1
5.362179583E-1,-3.574372101E1,1.472900772E1,-3.844439697E1
5.462259583E-1,-3.564954758E1,1.475687408E1,-3.884875488E1
5.562329583E-1,-3.550747299E1,1.471984100E1,-3.863201904E1
5.662399583E-1,-3.543478012E1,1.460692215E1,-3.854589844E1
5.762469583E-1,-3.543478012E1,1.460692215E1,-3.854589844E1
5.862539583E-1,-3.557039642E1,1.459193039E1,-3.897186279E1
5.962609583E-1,-3.555422974E1,1.443474197E1,-3.866052246E1
6.062679583E-1,-3.558882523E1,1.434161377E1,-3.913116455E1
6.162749583E-1,-3.568636322E1,1.442518616E1,-3.892065430E1
6.262819583E-1,-3.573417282E1,1.435610962E1,-3.809912109E1
6.362889583E-1,-3.588505936E1,1.425873947E1,-3.861895752E1
6.462959583E-1,-3.591343307E1,1.425743103E1,-3.807745361E1
6.563039583E-1,-3.593415833E1,1.422113419E1,-3.804180908E1
6.663109583E-1,-3.594634247E1,1.416977310E1,-3.861627197E1
6.763179583E-1,-3.576514816E1,1.411161041E1,-3.809820557E1
6.863249583E-1,-3.568818665E1,1.397703171E1,-3.870422363E1
6.963319583E-1,-3.566084671E1,1.387147141E1,-3.843072510E1
7.063389583E-1,-3.565248871E1,1.367744827E1,-3.838983154E1
7.163459583E-1,-3.571129227E1,1.347417450E1,-3.866003418E1
7.263529583E-1,-3.561929321E1,1.341318512E1,-3.823272705E1
7.363599583E-1,-3.546018600E1,1.343518066E1,-3.869366455E1
7.463669583E-1,-3.538965607E1,1.336026001E1,-3.854461670E1
7.563739583E-1,-3.544641876E1,1.329020691E1,-3.811590576E1
7.663809583E-1,-3.526145554E1,1.329123688E1,-3.828131104E1
7.763889583E-1,-3.523910522E1,1.343838501E1,-3.750469971E1
7.863959583E-1,-3.524658966E1,1.334458923E1,-3.764562988E1
7.964029583E-1,-3.529664612E1,1.338864136E1,-3.827807617E1
8.064099583E-1,-3.518429184E1,1.331238937E1,-3.783410645E1
8.164166250E-1,-3.532863998E1,1.311043167E1,-3.859808350E1
8.264236250E-1,-3.526913452E1,1.300455856E1,-3.793927002E1
8.364306250E-1,-3.533755875E1,1.277807999E1,-3.762872314E1
8.464376250E-1,-3.538261414E1,1.261178589E1,-3.787365723E1
8.564446250E-1,-3.540390396E1,1.245522690E1,-3.748999023E1
8.664516250E-1,-3.562155914E1,1.221280289E1,-3.742767334E1
8.764586250E-1,-3.568272781E1,1.207306290E1,-3.745867920E1
8.864666250E-1,-3.595668793E1,1.196787262E1,-3.648535156E1
8.964736250E-1,-3.604012680E1,1.169793320E1,-3.702270508E1
