"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.767955984274995E9,"2026-01-09 18:53:04.275 UTC+08:00"
"PAUSE",1.528204437916720E2,1.767956137090410E9,"2026-01-09 18:55:37.090 UTC+08:00"
