"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.996666584E-4,3.718267822E-1,1.914518738E-1,9.761351166E0
9.108333339E-3,5.285508728E-1,2.477348328E-1,9.577683105E0
1.911633334E-2,6.351292419E-1,2.824626160E-1,9.463620300E0
2.912533334E-2,8.342152405E-1,4.839436340E-1,9.416618042E0
3.913333334E-2,8.729846191E-1,6.177653503E-1,9.503437500E0
4.914091667E-2,8.108638000E-1,6.565347290E-1,9.478439484E0
5.914991668E-2,8.023315430E-1,8.237370300E-1,9.223220215E0
6.915791667E-2,7.448510742E-1,1.002465363E0,9.070687408E0
7.916591667E-2,4.930746460E-1,1.025816803E0,8.840017090E0
8.917391667E-2,1.133143616E-1,6.813830566E-1,8.905880127E0
9.918291667E-2,-1.830693054E-1,-1.603166199E-1,9.830956421E0
1.091909167E-1,-1.863624573E-1,-2.158511353E-1,1.053913376E1
1.191989167E-1,-2.595602417E-1,-1.929487610E-1,1.101185074E1
1.292079167E-1,-2.254312134E-1,-4.415817261E-1,1.127141098E1
1.392159167E-1,-2.501298523E-1,-4.239184570E-1,1.132709518E1
1.492239167E-1,-1.134640503E-1,-3.013233948E-1,1.118803436E1
1.592329167E-1,1.248403931E-1,-1.537303162E-1,1.097906891E1
1.692409167E-1,2.866539001E-1,4.430786133E-2,1.065933380E1
1.792489167E-1,4.062551880E-1,2.348616028E-1,1.024858795E1
1.892569167E-1,4.604425049E-1,3.412902832E-1,9.868977356E0
1.992659167E-1,4.869374084E-1,3.938310242E-1,9.606273651E0
2.092739167E-1,4.827461243E-1,4.412823486E-1,9.544901276E0
2.192819167E-1,5.225633240E-1,4.035607910E-1,9.566905518E0
2.292909167E-1,5.306465149E-1,4.165837097E-1,9.685309296E0
2.392989167E-1,4.752616882E-1,4.764591980E-1,9.696236572E0
2.493069167E-1,4.590953064E-1,4.391867065E-1,9.557624817E0
2.593149167E-1,3.870950317E-1,4.155358887E-1,9.425150299E0
2.693239167E-1,2.695893860E-1,3.626957703E-1,9.388775940E0
2.793319167E-1,1.939965820E-1,2.586621094E-1,9.379644928E0
2.893399167E-1,1.803749084E-1,1.634600830E-1,9.432335358E0
2.993489167E-1,1.916015625E-1,1.071771240E-1,9.467512207E0
3.093569167E-1,2.127076721E-1,1.157093811E-1,9.516610107E0
3.193649167E-1,2.713856506E-1,1.516346741E-1,9.555529175E0
3.293739167E-1,3.086581421E-1,2.053729248E-1,9.543853455E0
3.393819167E-1,3.852987671E-1,2.935395813E-1,9.514813843E0
3.493899167E-1,4.427792358E-1,3.707789612E-1,9.467362518E0
3.593979167E-1,4.105961609E-1,4.239184570E-1,9.354796600E0
3.694069167E-1,3.894900513E-1,5.066963196E-1,9.241482239E0
3.794149167E-1,4.029620361E-1,5.791456604E-1,9.187594299E0
3.894229167E-1,3.562591553E-1,6.227050781E-1,9.235794067E0
3.994319167E-1,2.694396973E-1,6.243516541E-1,9.350156250E0
4.094399167E-1,1.535806274E-1,5.939648438E-1,9.580976257E0
4.194479167E-1,5.269042969E-2,5.571414185E-1,9.749825134E0
4.294569167E-1,4.131408691E-2,5.610333252E-1,9.846524048E0
4.394649167E-1,4.909790039E-2,5.816903687E-1,9.801916809E0
4.494729167E-1,2.514770508E-2,5.640270996E-1,9.853409729E0
4.594809167E-1,-4.640350342E-3,4.885839844E-1,9.953102417E0
4.694899167E-1,-1.393601990E-1,5.372328186E-1,9.880054321E0
4.794979167E-1,-2.713856506E-1,6.891668701E-1,9.705068207E0
4.895059167E-1,-3.320095825E-1,8.059240723E-1,9.460776215E0
4.995149167E-1,-3.869453430E-1,9.493258667E-1,9.267677765E0
5.095229167E-1,-4.607418823E-1,1.052012329E0,9.204958191E0
5.195309167E-1,-6.330335999E-1,1.093775482E0,9.170230408E0
5.295389167E-1,-8.192463684E-1,1.117126923E0,9.090146942E0
5.395479167E-1,-1.022523651E0,1.128503265E0,8.961414642E0
5.495559167E-1,-1.154549103E0,1.147214355E0,8.863667908E0
5.595639167E-1,-1.203647003E0,1.205293579E0,8.784482574E0
5.695729167E-1,-1.194216614E0,1.346599731E0,8.681197357E0
5.795809167E-1,-1.106648712E0,1.454974365E0,8.643326111E0
5.895889167E-1,-9.126521301E-1,1.563498688E0,8.621022491E0
5.995979167E-1,-6.655160522E-1,1.623224487E0,8.604257355E0
6.096059167E-1,-3.249742126E-1,1.629810791E0,8.713230743E0
6.196139167E-1,4.176315308E-2,1.653910675E0,8.970845032E0
6.296219167E-1,3.001258850E-1,1.578766937E0,9.429042206E0
6.396309167E-1,4.984634399E-1,1.459165649E0,1.007270370E1
6.496389167E-1,5.857319641E-1,1.288969574E0,1.086291046E1
6.596469167E-1,5.183720398E-1,1.063837738E0,1.152288803E1
6.696559167E-1,3.646417236E-1,8.578660583E-1,1.182331329E1
6.796639167E-1,2.269281006E-1,8.171507263E-1,1.163051422E1
6.896719167E-1,5.942642212E-2,9.358538818E-1,1.097248260E1
