"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.742176102238595E9,"2025-03-17 09:48:22.239 UTC+08:00"
"PAUSE",6.108403566666675E1,1.742176163316423E9,"2025-03-17 09:49:23.316 UTC+08:00"
