"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.452083566E-4,2.612068176E-1,-1.471440125E-1,9.566456451E0
9.162791655E-3,1.950444031E-1,-6.047424316E-2,9.573342133E0
1.916979166E-2,2.628533936E-1,8.996292114E-2,9.700876923E0
2.917779164E-2,2.766247559E-1,1.936972046E-1,9.777667236E0
3.918579165E-2,2.146536255E-1,2.451901245E-1,9.844278717E0
4.919279166E-2,5.493576050E-1,3.577560425E-1,9.995614014E0
5.920079164E-2,4.680766296E-1,4.436773682E-1,9.915680237E0
6.920779165E-2,3.956272888E-1,1.863624573E-1,9.962682495E0
7.921579166E-2,3.324586487E-1,1.107696533E-2,1.008662476E1
8.922279166E-2,1.284329224E-1,-4.041595459E-3,1.021580612E1
9.923079165E-2,1.053808594E-1,-1.676513672E-1,1.040022263E1
1.092387917E-1,2.049238586E-1,-2.034269714E-1,1.055380325E1
1.192457917E-1,3.194357300E-1,-1.207987976E-1,1.060230240E1
1.292537916E-1,3.661386108E-1,-7.484436035E-2,1.045575714E1
1.392607916E-1,3.498225403E-1,-1.022373962E-1,1.022733215E1
1.492687917E-1,2.631527710E-1,-7.783813477E-2,9.989027710E0
1.592757917E-1,1.703457642E-1,-6.286926270E-2,9.768536224E0
1.692837916E-1,1.624122620E-1,-8.487350464E-2,9.622440033E0
1.792917917E-1,1.904040527E-1,2.724334717E-2,9.502239990E0
1.892987917E-1,2.662962341E-1,1.507365417E-1,9.418563995E0
1.993067916E-1,3.155438232E-1,2.618055725E-1,9.362879791E0
2.093137917E-1,3.318598938E-1,3.209326172E-1,9.412875824E0
2.193217917E-1,2.713856506E-1,2.869532776E-1,9.467212830E0
2.293297916E-1,2.311193848E-1,2.803669739E-1,9.510622559E0
2.393367917E-1,2.860551453E-1,2.724334717E-1,9.607471161E0
2.493447917E-1,3.433859253E-1,2.752775574E-1,9.754914551E0
2.593517916E-1,3.676354980E-1,2.137554932E-1,9.892179108E0
2.693597917E-1,3.839515686E-1,2.317181396E-1,9.871072998E0
2.793667917E-1,4.412823486E-1,2.677931213E-1,9.765392761E0
2.893747916E-1,4.694238281E-1,2.857557678E-1,9.644743652E0
2.993827917E-1,5.128335571E-1,3.686833191E-1,9.503138123E0
3.093897917E-1,5.529501343E-1,4.385879517E-1,9.402846680E0
3.193977917E-1,5.454656982E-1,4.710704041E-1,9.302255859E0
3.294047916E-1,5.343887329E-1,4.719685364E-1,9.260642395E0
3.394127917E-1,4.213737488E-1,3.718267822E-1,9.255253601E0
3.494207917E-1,3.152444458E-1,2.636018372E-1,9.386231232E0
3.594277916E-1,2.917433167E-1,1.758842468E-1,9.527387695E0
3.694357917E-1,3.044668579E-1,2.092648315E-1,9.545799408E0
3.794427917E-1,3.845503235E-1,3.273692322E-1,9.463620300E0
3.894507916E-1,5.239105225E-1,4.599934387E-1,9.385632477E0
3.994577916E-1,6.646179199E-1,5.445675659E-1,9.363927612E0
4.094657917E-1,7.090754700E-1,5.460644531E-1,9.309291229E0
4.194737916E-1,6.251000977E-1,4.749623108E-1,9.395362244E0
4.294807916E-1,5.098397827E-1,3.219804382E-1,9.501341858E0
4.394887917E-1,3.942800903E-1,3.073109436E-1,9.534872131E0
4.494957917E-1,3.182382202E-1,3.176394653E-1,9.494905243E0
4.595037916E-1,2.168989563E-1,3.294648743E-1,9.365723877E0
4.695107916E-1,1.522334290E-1,4.177812195E-1,9.263037415E0
4.795187917E-1,1.606159973E-1,4.902305603E-1,9.217232666E0
4.895267916E-1,1.402583313E-1,4.547543335E-1,9.342222748E0
4.995337916E-1,1.350192261E-1,3.475772095E-1,9.657167816E0
5.095417917E-1,1.673519897E-1,1.812730408E-1,1.006941055E1
5.195487917E-1,1.520837402E-1,3.577560425E-2,1.032043854E1
5.295567916E-1,1.809736633E-1,-2.724334717E-2,1.039767792E1
5.395637917E-1,1.487905884E-1,-3.817062378E-2,1.035531601E1
5.495717917E-1,1.797761536E-1,1.219963074E-1,1.012793884E1
5.595797916E-1,2.245330811E-1,3.493734741E-1,9.672436066E0
5.695867917E-1,1.733395386E-1,5.918692017E-1,9.085356903E0
5.795947917E-1,1.092727661E-2,7.577243042E-1,8.510103149E0
5.896017916E-1,-2.387535095E-1,8.229885864E-1,8.121511230E0
5.996097917E-1,-4.986131287E-1,7.999365234E-1,7.937244415E0
6.096167917E-1,-7.301815796E-1,6.869215393E-1,8.107739868E0
6.196247917E-1,-8.393046570E-1,5.471122742E-1,8.687035217E0
6.296327916E-1,-8.237370300E-1,4.912783813E-1,9.359736328E0
6.396397917E-1,-7.086264038E-1,5.310955811E-1,9.821526031E0
6.496477917E-1,-5.294490051E-1,6.447093201E-1,1.000549347E1
6.596547916E-1,-4.424798584E-1,7.744894409E-1,9.964927826E0
6.696627917E-1,-4.727169800E-1,8.463400269E-1,9.717192993E0
6.796697917E-1,-6.114784241E-1,9.346563721E-1,9.416019287E0
6.896777916E-1,-8.472381592E-1,8.644523621E-1,9.245673523E0
6.996857917E-1,-9.788145447E-1,8.069718933E-1,9.222771149E0
7.096927917E-1,-9.372010803E-1,8.208929443E-1,9.266480255E0
7.197007916E-1,-8.117619324E-1,8.755293274E-1,9.403595123E0
7.297077916E-1,-5.589376831E-1,9.855505371E-1,9.618398438E0
7.397157917E-1,-3.125500488E-1,1.037193146E0,9.965975647E0
7.497227917E-1,-6.361770630E-2,1.012943573E0,1.039827667E1
7.597307916E-1,9.355545044E-2,1.004261627E0,1.067789520E1
7.697387917E-1,1.454974365E-1,9.407936096E-1,1.078866486E1
7.797457917E-1,1.083746338E-1,8.777746582E-1,1.070783295E1
7.897537916E-1,1.706451416E-2,8.481362915E-1,1.051159103E1
7.997607916E-1,-9.984237671E-2,7.961943054E-1,1.030502060E1
8.097687917E-1,-1.916015625E-1,7.973918152E-1,1.011476624E1
8.197757917E-1,-2.056723022E-1,8.069718933E-1,9.982441406E0
8.297837916E-1,-3.074606323E-1,8.086184692E-1,9.948312378E0
8.397917917E-1,-3.677851868E-1,8.358618164E-1,9.863289185E0
8.497987917E-1,-3.493734741E-1,8.931925964E-1,9.742490387E0
8.598067916E-1,-4.038601685E-1,8.762777710E-1,9.636810150E0
8.698137917E-1,-4.893324280E-1,8.340655518E-1,9.485923920E0
8.798217917E-1,-5.384303284E-1,8.548722839E-1,9.375753021E0
8.898287917E-1,-5.147795105E-1,8.376580811E-1,9.473799133E0
8.998367917E-1,-4.604425049E-1,8.029302979E-1,9.628277893E0
9.098447917E-1,-3.754193115E-1,8.560697937E-1,9.691147156E0
9.198517917E-1,-2.996768188E-1,8.922944641E-1,9.815388794E0
9.298597916E-1,-2.163002014E-1,9.006770325E-1,9.921518097E0
9.398667917E-1,-1.272354126E-1,9.307644653E-1,1.010982651E1
9.498747917E-1,1.556762695E-2,9.446855164E-1,1.042626846E1
9.598817916E-1,1.456471252E-1,8.765771484E-1,1.086276077E1
9.698897917E-1,2.186952209E-1,6.876699829E-1,1.126677063E1
9.798967917E-1,2.411485291E-1,5.989045715E-1,1.153980286E1
9.899047916E-1,2.427951050E-1,5.340893555E-1,1.148307083E1
9.999127917E-1,2.661465454E-1,6.092330933E-1,1.121138580E1
1.009919792E0,2.402503967E-1,7.283853149E-1,1.084030746E1
1.019927792E0,2.438429260E-1,7.152127075E-1,1.043959076E1
1.029934792E0,1.490899658E-1,7.015910339E-1,1.022433838E1
1.039942792E0,9.565109253E-2,6.626719666E-1,1.028361511E1
1.049949792E0,7.828720093E-2,5.748046875E-1,1.047192352E1
1.059957792E0,1.100212097E-1,5.146298218E-1,1.074765015E1
1.069965792E0,1.779798889E-1,4.050576782E-1,1.093535980E1
1.079972792E0,2.591111755E-1,3.600013733E-1,1.070543793E1
1.089980792E0,2.064207458E-1,3.275189209E-1,1.041100021E1
1.099987792E0,2.022294617E-1,3.059637451E-1,1.019365219E1
1.109995792E0,1.954934692E-1,3.266207886E-1,1.018721558E1
1.120002792E0,2.224374390E-1,2.978805542E-1,1.047327072E1
1.130010792E0,2.142045593E-1,1.683998108E-1,1.089374634E1
1.140018792E0,1.375639343E-1,-7.379653931E-2,1.110271179E1
1.150025792E0,-3.218307495E-2,-3.022215271E-1,1.097502731E1
1.160033792E0,-2.233355713E-1,-5.144801331E-1,1.066741699E1
1.170040792E0,-3.788621521E-1,-7.685018921E-1,1.042297531E1
1.180048792E0,-4.622387695E-1,-9.627978516E-1,1.023900787E1
1.190055792E0,-4.487667847E-1,-1.016386414E0,1.026400589E1
1.200063792E0,-1.899549866E-1,-9.626481628E-1,1.058329193E1
1.210071792E0,2.010319519E-1,-9.171427917E-1,1.082758392E1
1.220078792E0,4.067042542E-1,-9.916877747E-1,1.070453979E1
1.230086792E0,2.999761963E-1,-1.238674164E0,1.024200165E1
1.240093792E0,9.415420532E-2,-1.361119537E0,9.602082367E0
1.250101792E0,5.688171387E-2,-1.387614441E0,8.965605927E0
1.260108792E0,2.374063110E-1,-1.278191986E0,8.562643890E0
1.270116792E0,4.688250732E-1,-1.080602875E0,8.593779144E0
1.280124792E0,6.423143005E-1,-1.015338593E0,8.720116425E0
1.290131792E0,7.345225525E-1,-9.657916260E-1,8.582851868E0
1.300139792E0,7.749385071E-1,-8.485853577E-1,8.326584778E0
1.310146792E0,8.301736450E-1,-7.973918152E-1,8.067623291E0
1.320154792E0,8.858578491E-1,-6.939569092E-1,7.914192352E0
1.330161792E0,9.104067993E-1,-5.598358154E-1,7.869585114E0
1.340169792E0,1.044677582E0,-4.501139832E-1,8.136779480E0
1.350177792E0,1.178349609E0,-4.074526978E-1,8.616681519E0
