"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.791979166E-2,-9.583211690E-2,2.220459841E-2,2.226542123E-2
2.792679166E-2,-9.580228478E-2,8.975079283E-3,1.274382044E-2
3.793479165E-2,-8.273234218E-2,-1.340691932E-3,-7.969607599E-3
4.794179165E-2,-6.519009918E-2,-1.524665393E-2,-5.245371535E-2
5.794979166E-2,-4.635339230E-2,-3.364320844E-2,-7.648716867E-2
6.795679167E-2,-3.314278275E-2,-3.683420271E-2,-8.998007327E-2
7.796479165E-2,-5.509334151E-3,-3.532430902E-2,-9.177964181E-2
8.797279166E-2,2.840229310E-2,-4.304321483E-2,-7.048153877E-2
9.797979167E-2,7.299225032E-2,-2.572767623E-2,-4.128987342E-2
1.079877916E-1,1.246192232E-1,-4.169926979E-4,-2.904226072E-2
1.179947917E-1,1.763909757E-1,2.902143821E-2,-3.214960918E-2
1.280027917E-1,2.053083777E-1,6.250962615E-2,-3.955319524E-2
1.380107916E-1,2.121247649E-1,1.049178913E-1,-3.882708773E-2
1.480177917E-1,1.988566220E-1,1.268642098E-1,-2.363988012E-2
1.580257917E-1,1.797138900E-1,1.481639594E-1,4.229941405E-3
1.680327916E-1,1.572480053E-1,1.616805643E-1,3.305759281E-2
1.780407917E-1,1.381819844E-1,1.621733904E-1,4.944399372E-2
1.880477917E-1,1.224789321E-1,1.554118991E-1,4.997529462E-2
1.980557916E-1,1.120473295E-1,1.306418329E-1,3.533004224E-2
2.080637917E-1,1.152363569E-1,9.424668550E-2,2.227690071E-2
2.180707917E-1,1.238690987E-1,5.424640328E-2,2.340573631E-2
2.280787916E-1,1.345220059E-1,1.411709189E-2,2.756905556E-2
2.380857916E-1,1.499724835E-1,-4.595120437E-3,3.552599251E-2
2.480937917E-1,1.755934209E-1,-1.340192836E-2,4.664069787E-2
2.581017917E-1,2.106112987E-1,-1.380443014E-2,6.157940999E-2
2.681087916E-1,2.365680635E-1,-1.232451200E-2,7.026077807E-2
2.781167917E-1,2.381467521E-1,9.341440164E-4,7.778195292E-2
2.881237917E-1,2.173205614E-1,3.765301034E-2,7.684531808E-2
2.981317916E-1,1.754416078E-1,7.575906068E-2,6.821306050E-2
3.081387916E-1,1.189998984E-1,1.276736557E-1,5.059705675E-2
3.181467917E-1,5.576830357E-2,1.715409160E-1,3.084226698E-2
3.281547916E-1,6.248157006E-3,2.008303553E-1,1.158468146E-2
3.381617916E-1,-2.611948550E-2,2.016046196E-1,1.258926746E-2
3.481697917E-1,-2.077292278E-2,1.843185723E-1,2.872855775E-2
3.581767917E-1,7.067526225E-3,1.512407511E-1,5.159009993E-2
3.681847916E-1,4.276214167E-2,1.055305153E-1,6.898160279E-2
3.781917916E-1,6.267936528E-2,5.883420631E-2,7.066405565E-2
3.881997917E-1,6.221251935E-2,2.669544145E-2,5.312873796E-2
3.982077916E-1,3.421698511E-2,2.140595578E-2,2.061025240E-2
4.082147916E-1,-2.014425769E-2,3.862675652E-2,-9.549247101E-3
4.182227917E-1,-7.227390260E-2,7.653135806E-2,-2.096213214E-2
4.282297917E-1,-1.157255098E-1,1.220311970E-1,-1.323790010E-2
4.382377916E-1,-1.433362216E-1,1.549580842E-1,-2.694888972E-3
4.482447917E-1,-1.584067941E-1,1.726385355E-1,9.291466326E-3
4.582527917E-1,-1.718978584E-1,1.577667743E-1,1.845691912E-2
4.682607916E-1,-1.851606667E-1,1.109308153E-1,1.648804545E-2
4.782677917E-1,-1.967895925E-1,3.858625889E-2,5.244563799E-3
4.882757917E-1,-1.970982403E-1,-3.679957986E-2,-2.311614808E-4
4.982827916E-1,-1.731627136E-1,-8.132056892E-2,2.172530629E-3
5.082907917E-1,-1.178909391E-1,-9.385873377E-2,2.398568392E-2
5.182987917E-1,-4.371470958E-2,-8.774758130E-2,5.405730009E-2
5.283057916E-1,3.092932887E-2,-5.841325969E-2,9.171500802E-2
5.383137917E-1,9.555123746E-2,-9.615950286E-3,1.297011226E-1
5.483207917E-1,1.382291913E-1,6.457678974E-2,1.492252946E-1
5.583287917E-1,1.459920257E-1,1.355205476E-1,1.371676922E-1
5.683357916E-1,1.081455797E-1,1.748144329E-1,1.034933478E-1
5.783437917E-1,3.477250040E-2,1.720361710E-1,6.044423208E-2
5.883517917E-1,-6.816666573E-2,1.306051016E-1,2.648732997E-2
5.983587916E-1,-1.806157678E-1,5.977319181E-2,7.568008266E-3
