"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.899208354E-3,-2.250504792E-1,4.736266285E-2,6.602721754E-3
1.690620833E-2,-2.374587655E-1,2.765855938E-2,-4.438574892E-3
2.691320833E-2,-2.539655864E-1,2.805004269E-2,-1.949182712E-2
3.692120835E-2,-2.373997271E-1,6.289493293E-2,-4.673366621E-2
4.692820835E-2,-1.942730397E-1,9.793707728E-2,-8.374228328E-2
5.693520835E-2,-1.275907010E-1,1.293000579E-1,-1.010770872E-1
6.694320834E-2,-5.148926750E-2,1.433855146E-1,-1.267297119E-1
7.695020834E-2,-7.175754756E-3,1.368644089E-1,-1.671331823E-1
8.695720835E-2,-7.333946414E-3,1.222979724E-1,-1.907943040E-1
9.696520833E-2,6.202383433E-3,1.497239769E-1,-1.771383435E-1
1.069722083E-1,4.833199084E-2,1.608570516E-1,-1.361016929E-1
1.169792083E-1,9.745988250E-2,1.884844154E-1,-8.231774718E-2
1.269862083E-1,1.313294321E-1,2.371589988E-1,-2.630720660E-2
1.369942084E-1,1.404516250E-1,2.900778055E-1,2.782283910E-2
1.470012083E-1,1.075197682E-1,3.406139612E-1,6.465595216E-2
1.570082083E-1,3.416901082E-2,3.450045586E-1,7.856097072E-2
1.670162083E-1,-6.872221082E-2,2.695499957E-1,7.883661240E-2
1.770232084E-1,-1.554140747E-1,1.331946552E-1,7.954486459E-2
1.870302084E-1,-1.882380694E-1,-1.671120711E-2,9.995932877E-2
1.970382083E-1,-1.729160398E-1,-1.427653283E-1,1.266430914E-1
2.070452083E-1,-1.225181147E-1,-2.333950996E-1,1.413269639E-1
2.170522083E-1,-7.112982124E-2,-2.730838656E-1,1.427086592E-1
2.270602083E-1,-3.474251553E-2,-2.617601156E-1,1.407765299E-1
2.370672083E-1,-1.167315245E-2,-2.431342155E-1,1.388190389E-1
2.470740833E-1,1.891271956E-2,-1.967837662E-1,1.316785812E-1
2.570820833E-1,5.647476017E-2,-1.381257921E-1,1.357021928E-1
2.670890834E-1,8.638365567E-2,-1.084720194E-1,1.458019614E-1
2.770960833E-1,1.005937457E-1,-9.907425940E-2,1.587326527E-1
2.871040833E-1,1.055565476E-1,-1.051734313E-1,1.638094336E-1
2.971110833E-1,9.992419183E-2,-1.218354627E-1,1.570539325E-1
3.071180834E-1,6.693881005E-2,-1.444142759E-1,1.462369710E-1
3.171250834E-1,9.801119566E-3,-1.949617714E-1,1.186089218E-1
3.271330833E-1,-6.083017215E-2,-2.679803371E-1,8.769281954E-2
3.371400833E-1,-1.241675615E-1,-3.630813360E-1,6.859730929E-2
3.471470833E-1,-1.478939354E-1,-4.553926289E-1,6.811980903E-2
3.571550833E-1,-1.326406747E-1,-5.342767835E-1,6.304275990E-2
3.671620833E-1,-8.728864044E-2,-5.893906355E-1,4.268235713E-2
3.771690833E-1,-3.221709654E-2,-5.853506327E-1,2.346325479E-2
3.871770834E-1,1.803675294E-2,-5.063802004E-1,7.712255232E-3
3.971840834E-1,5.304938182E-2,-3.762025237E-1,1.117940643E-3
4.071910833E-1,6.675027311E-2,-2.150562704E-1,-3.748187330E-3
4.171990833E-1,4.753008485E-2,-5.841267109E-2,3.388963640E-3
4.272060833E-1,-7.615992799E-3,3.737350926E-2,1.344106533E-2
4.372130834E-1,-8.058577031E-2,6.529510766E-2,2.181619406E-3
4.472210833E-1,-1.603170931E-1,5.293591321E-2,-2.068854123E-2
4.572280833E-1,-2.333825529E-1,1.172897406E-3,-6.172188371E-2
4.672350833E-1,-3.019450903E-1,-6.193044037E-2,-1.085242778E-1
4.772420833E-1,-3.692986965E-1,-1.159224361E-1,-1.562547386E-1
4.872500833E-1,-4.343320131E-1,-1.702642292E-1,-2.019226253E-1
4.972570833E-1,-4.914942086E-1,-2.239324301E-1,-2.482071668E-1
5.072640833E-1,-5.275326371E-1,-2.577737570E-1,-2.815614045E-1
5.172720834E-1,-5.200932622E-1,-2.365250140E-1,-2.940430045E-1
