"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.372955417E-1,-2.118056417E-1,-1.093936861E-1,-1.084601805E-1
8.473035417E-1,-2.126217037E-1,-2.932733297E-1,-1.923158616E-1
8.573115417E-1,-2.092053890E-1,-4.838126302E-1,-2.885912359E-1
8.673185417E-1,-2.115523815E-1,-6.585907936E-1,-3.707135916E-1
8.773265417E-1,-2.415443659E-1,-7.784194946E-1,-4.374478757E-1
8.873345417E-1,-2.917554677E-1,-8.128917813E-1,-4.784958661E-1
8.973415417E-1,-3.471942246E-1,-7.495911121E-1,-4.991247058E-1
9.073495417E-1,-3.775916100E-1,-5.748638511E-1,-4.885856807E-1
9.173565417E-1,-3.587944806E-1,-3.030070364E-1,-4.495240450E-1
9.273645417E-1,-2.910181582E-1,-3.065164667E-3,-3.878882825E-1
9.373725417E-1,-1.816075295E-1,2.475705147E-1,-3.253924251E-1
9.473795417E-1,-3.947322443E-2,4.221864045E-1,-2.663678825E-1
9.573875417E-1,1.208413467E-1,5.181632638E-1,-2.254966050E-1
9.673945417E-1,2.649066448E-1,5.044573545E-1,-2.117110938E-1
9.774025417E-1,3.648577332E-1,3.662821949E-1,-2.192414403E-1
9.874105417E-1,4.367676973E-1,1.728229970E-1,-2.307396531E-1
9.974165417E-1,4.815516770E-1,-2.508662269E-2,-2.302949131E-1
1.007424542E0,5.091277957E-1,-1.947123110E-1,-2.258664519E-1
1.017432542E0,5.435640216E-1,-3.117278516E-1,-2.160111517E-1
1.027439542E0,5.772101879E-1,-4.020300210E-1,-2.050816119E-1
1.037447542E0,5.975385904E-1,-4.572682679E-1,-1.963925213E-1
1.047454542E0,5.936145186E-1,-4.769908488E-1,-1.910794675E-1
1.057462542E0,5.696519613E-1,-4.668641686E-1,-2.005416900E-1
1.067470542E0,5.135049224E-1,-4.654114842E-1,-2.249210328E-1
1.077477542E0,4.209648669E-1,-4.731487632E-1,-2.729743123E-1
1.087485542E0,3.176589906E-1,-4.504325688E-1,-3.329409063E-1
1.097493542E0,2.028804868E-1,-4.227237105E-1,-3.847620189E-1
1.107500542E0,8.145233244E-2,-3.763824105E-1,-4.244943857E-1
1.117508542E0,-7.045575418E-3,-2.836072147E-1,-4.463264644E-1
1.127515542E0,-4.952698946E-2,-1.648889780E-1,-4.369559884E-1
1.137523542E0,-5.170013011E-2,-5.341304839E-2,-4.098207653E-1
1.147531542E0,-3.558693826E-2,1.855575852E-2,-3.818312585E-1
1.157538542E0,4.687246401E-3,5.946750566E-2,-3.544680774E-1
1.167546542E0,5.096286535E-2,6.576181203E-2,-3.363425434E-1
1.177554542E0,7.647754252E-2,1.547999866E-2,-3.259541094E-1
1.187561542E0,7.425407320E-2,-5.949548632E-2,-3.294036090E-1
1.197569542E0,6.647764146E-2,-1.219458207E-1,-3.300177455E-1
1.207576542E0,3.556873277E-2,-1.723366976E-1,-3.264470994E-1
1.217584542E0,-2.457748633E-3,-1.964777261E-1,-3.186128736E-1
1.227592542E0,-3.726306185E-2,-1.950845867E-1,-2.956255376E-1
1.237599542E0,-6.601188332E-2,-1.858165264E-1,-2.607764900E-1
1.247607542E0,-7.760675997E-2,-1.708713323E-1,-2.269320488E-1
1.257615542E0,-6.907080114E-2,-1.440354586E-1,-1.901407391E-1
1.267622542E0,-4.837090895E-2,-1.388861835E-1,-1.594097763E-1
1.277630542E0,-3.451874480E-2,-1.522941291E-1,-1.435304135E-1
1.287637542E0,-4.449075460E-2,-1.821685582E-1,-1.415179968E-1
1.297645542E0,-7.842075825E-2,-2.062762976E-1,-1.440314800E-1
1.307653542E0,-1.428395659E-1,-2.265823931E-1,-1.483401507E-1
1.317660542E0,-2.281262279E-1,-2.378132194E-1,-1.454604864E-1
1.327668542E0,-3.123722076E-1,-2.269019336E-1,-1.278466731E-1
1.337676542E0,-3.692996800E-1,-1.877039373E-1,-1.029066965E-1
1.347683542E0,-3.967266381E-1,-1.360097975E-1,-7.075197995E-2
1.357691542E0,-4.015019536E-1,-1.222513840E-1,-4.793214798E-2
1.367698542E0,-3.849817514E-1,-1.309631616E-1,-3.335342929E-2
1.377706542E0,-3.374373913E-1,-1.170193851E-1,-2.313328348E-2
1.387714542E0,-2.821709514E-1,-7.526935637E-2,9.982138872E-4
