"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.744980575988993E9,"2025-04-18 20:49:35.989 UTC+08:00"
"PAUSE",2.100116393750068E2,1.744980785997772E9,"2025-04-18 20:53:05.998 UTC+08:00"
