"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.147400000E-2,-1.304199524E-2,3.493916005E-2,-2.697835135E-1
2.148000000E-2,1.730659620E-1,3.054505058E-1,-2.665511727E-1
3.148599999E-2,3.278027301E-1,6.952077017E-1,-3.043920135E-1
4.149199999E-2,4.766083020E-1,1.006696115E0,-2.571775013E-1
5.149800000E-2,5.980394760E-1,1.186828657E0,-7.780889869E-2
6.150499999E-2,7.651967534E-1,1.181951275E0,3.596996570E-1
7.151100000E-2,1.049180011E0,1.158641861E0,4.411946404E-1
8.151700000E-2,5.717905940E-1,6.267383413E-1,2.619757265E-1
9.152300000E-2,3.546489783E-2,2.922850612E-1,1.638015604E-1
1.015300000E-1,-2.130388438E-1,-2.870624743E-2,-9.819287717E-2
1.115358750E-1,-3.972324226E-1,-1.804669290E-1,-2.846272552E-1
1.215418750E-1,-4.924812267E-1,-2.447469056E-1,-4.643858671E-1
1.315478750E-1,-4.284645210E-1,-2.489797050E-1,-4.247663033E-1
1.415538750E-1,-3.265191201E-1,-1.807989047E-1,-1.689354157E-1
1.515608750E-1,-1.794263439E-1,-6.523526542E-2,-1.304630756E-2
1.615668750E-1,1.085367478E-2,1.020858072E-1,5.750678122E-2
1.715728750E-1,9.503728107E-2,1.956444005E-1,-5.873878956E-2
1.815788750E-1,4.858319923E-2,1.940631672E-1,-2.478845215E-1
1.915858750E-1,-3.182347119E-3,1.121088119E-1,-2.730293030E-1
2.015918750E-1,1.090286449E-3,1.624936114E-1,-2.978688598E-1
2.115978750E-1,1.643942488E-1,3.034345320E-1,-2.264749414E-1
2.216038750E-1,3.629120442E-1,4.763540943E-1,-2.290009385E-1
2.316098750E-1,4.753741010E-1,6.632155383E-1,-3.721115416E-1
2.416168750E-1,4.149540907E-1,7.881174003E-1,-6.518856078E-1
2.516228750E-1,3.524804652E-1,8.499634002E-1,-9.613810712E-1
2.616288750E-1,2.813056713E-1,9.254962702E-1,-1.173517470E0
2.716348750E-1,2.908218686E-1,9.932877190E-1,-1.205894088E0
2.816408750E-1,2.625499231E-1,9.084823345E-1,-1.000349840E0
2.916478750E-1,7.243698858E-2,7.165929428E-1,-8.832283562E-1
3.016538750E-1,-1.170747060E-1,4.967127836E-1,-8.061912900E-1
3.116598750E-1,-3.207816128E-1,3.044173758E-1,-7.793812215E-1
3.216658750E-1,-4.184128650E-1,2.556467003E-1,-8.553511709E-1
3.316728750E-1,-4.331107917E-1,3.811090178E-1,-9.353288019E-1
3.416788750E-1,-3.705819100E-1,5.921014092E-1,-1.059366372E0
3.516848750E-1,-2.998643683E-1,8.408639632E-1,-1.240645845E0
3.616908750E-1,-3.542306100E-1,9.492748497E-1,-1.371455660E0
3.716968750E-1,-2.881667210E-1,7.930704305E-1,-9.692087388E-1
3.817038750E-1,-2.272962559E-1,5.964310531E-1,-1.820723552E-1
3.917098750E-1,-2.115190794E-1,3.953273997E-1,5.712583512E-1
4.017158750E-1,-2.541761986E-1,1.200334702E-1,1.263152947E0
4.117218750E-1,-3.305844699E-1,-4.564358465E-2,1.627345605E0
4.217288750E-1,-2.679309694E-1,6.058227047E-2,1.505984305E0
4.317348750E-1,-1.947725075E-1,4.568552381E-1,8.307501805E-1
4.417408750E-1,-1.689923530E-1,9.180187047E-1,-1.361500776E-1
4.517468750E-1,-2.533244055E-1,1.331407350E0,-9.549795395E-1
4.617528750E-1,-4.003822080E-1,1.611431238E0,-1.565310740E0
4.717598750E-1,-6.203009954E-1,1.788572782E0,-1.930442460E0
4.817658750E-1,-6.644632611E-1,1.832674529E0,-1.810957532E0
4.917718750E-1,-6.488230556E-1,1.851759549E0,-1.627207026E0
5.017778750E-1,-5.083124900E-1,1.962188456E0,-1.402226048E0
5.117838750E-1,-2.380297704E-1,2.116612836E0,-1.145544975E0
5.217908750E-1,5.435776323E-2,2.240787085E0,-8.040330827E-1
5.317968750E-1,2.852991368E-1,2.329753495E0,-4.426932818E-1
5.418028750E-1,4.797590742E-1,2.387596199E0,-1.283709419E-1
5.518088750E-1,4.789545704E-1,2.378525121E0,2.056553453E-1
5.618158750E-1,4.086586129E-1,2.231645841E0,6.666732162E-1
5.718218750E-1,2.870597700E-1,2.019043565E0,1.202530185E0
5.818278750E-1,1.541605251E-1,1.872706614E0,1.633114468E0
5.918338750E-1,3.111084178E-2,1.784955987E0,1.759861638E0
6.018398750E-1,-1.223382964E-1,1.786388847E0,1.551966224E0
6.118468750E-1,-2.044144200E-1,1.841510549E0,1.160146058E0
6.218528750E-1,-2.631463391E-1,1.971890448E0,8.237124717E-1
6.318588750E-1,-3.392401763E-1,2.041600953E0,6.931903392E-1
6.418648750E-1,-3.901955909E-1,2.000602031E0,8.060720068E-1
6.518708750E-1,-4.971006732E-1,1.906862101E0,8.302619380E-1
