"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.745146043014309E9,"2025-04-20 18:47:23.014 UTC+08:00"
"PAUSE",2.930090400416520E2,1.745146336004875E9,"2025-04-20 18:52:16.005 UTC+08:00"
